time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-18T09:00:00.0000000Z,2021-02-28T23:59:41.4350000Z,7.43,18.9,5.88,7.829,14802018.128,518038
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:06.0400000Z,2021-03-31T23:59:55.9910000Z,7.828,16.0,6.22,9.254,18956848.684,478649
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:02.7300000Z,2021-04-30T23:59:12.8910000Z,9.255,9.51,4.55,6.629,13990718.736,327351
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:49.0200000Z,2021-05-31T23:58:19.7280000Z,6.649,7.59,1.532,2.696,18835981.429,288494
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:30.0180000Z,2021-06-30T23:44:58.5120000Z,2.689,2.85,1.516,1.975,12666193.954,133966
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:10.9030000Z,2021-07-31T23:59:44.6820000Z,1.971,3.696,1.92,3.051,17076569.274,281894
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:01:19.2610000Z,2021-08-31T23:50:17.7990000Z,3.052,7.357,2.912,6.152,21718919.466,393816
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:27.4450000Z,2021-09-30T23:53:36.6700000Z,6.121,9.8,4.301,4.481,26513970.63,513075
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:02:50.0370000Z,2021-10-31T23:59:52.2130000Z,4.495,16.665,4.425,13.935,34973345.161,1057085
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:11.8650000Z,2021-11-30T23:58:47.1210000Z,13.928,27.499,13.409,17.834,8269708.159,433463
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:58.9580000Z,2021-12-02T16:09:29.1560000Z,17.868,18.545,17.5,17.588,91342.7,6571
