time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-18T12:00:00.0000000Z,2021-03-31T23:59:33.8220000Z,0.085,0.488,0.085,0.1384,606153524.78,442337
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:55.0400000Z,2021-04-30T23:59:29.9460000Z,0.1384,0.1655,0.0693,0.1064,1102708138.14,566314
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:05.7770000Z,2021-05-31T23:59:56.5430000Z,0.1064,0.136,0.0317,0.0436,2186086114.34,780972
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:03.9130000Z,2021-06-30T23:53:57.3750000Z,0.0436,0.0507,0.0202,0.026,1563230886.83,333491
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:20.3520000Z,2021-07-31T23:59:57.9690000Z,0.0259,0.0455,0.0233,0.0407,4274028511.49,661587
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:07.5370000Z,2021-08-31T23:59:57.9970000Z,0.0408,0.069,0.0376,0.05847,4826970845.25,742159
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:10.7980000Z,2021-09-30T23:59:30.9930000Z,0.05847,0.06665,0.03174,0.0344,2205083280.33,330934
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:46.4070000Z,2021-10-31T23:59:59.5500000Z,0.03435,0.0639,0.03386,0.05156,4416952925.22,672077
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:25.3310000Z,2021-11-30T23:59:54.5400000Z,0.05152,0.0887,0.04608,0.05313,3080575335.74,716593
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:05.0610000Z,2021-12-02T16:09:54.1670000Z,0.0532,0.05592,0.05014,0.05225,39095471.63,10010
