time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-23T12:00:04.0640000Z,2021-02-28T23:59:14.3240000Z,5.98,5.98,3.6416,4.2675,368101.23,10889
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:52.4800000Z,2021-03-31T23:59:07.1680000Z,4.2886,8.3915,4.2093,7.875,2912996.44,81110
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:42.4610000Z,2021-04-30T23:58:21.1080000Z,7.934,11.3298,5.5808,7.7456,4912589.35,145731
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:33.0030000Z,2021-05-31T23:59:58.9030000Z,7.7455,15.3642,3.3766,6.6044,12284098.99,297511
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:06.6070000Z,2021-06-30T23:59:58.1850000Z,6.6,7.1464,2.8995,4.3753,5621631.35,134762
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:41.8850000Z,2021-07-31T23:59:44.3540000Z,4.3707,4.8762,3.0443,4.4563,3927527.74,107585
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:25.5570000Z,2021-08-31T23:56:51.4450000Z,4.4665,7.3544,4.0613,6.336,6201142.28,168729
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:08.4560000Z,2021-09-30T23:59:54.9850000Z,6.322,12.488,6.148,12.475,29303808.51,733595
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:05.9570000Z,2021-10-31T23:59:52.9970000Z,12.477,18.222,11.921,13.425,20464784.43,879420
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:20.2150000Z,2021-11-30T23:59:50.0780000Z,13.425,20.126,7.464,8.646,30928986.43,1489039
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:00.3700000Z,2021-12-02T16:09:26.4500000Z,8.645,8.762,8.018,8.2,342639.6,9580
