time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-25T09:00:00.0000000Z,2021-02-28T23:59:59.5810000Z,0.4513,1.488,0.4513,0.6228,75010360.0,225489
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:05.7590000Z,2021-03-31T23:59:52.0570000Z,0.6228,1.17,0.5484,0.9316,393575869.82,762729
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:08.5090000Z,2021-04-30T23:59:50.7960000Z,0.9302,1.15,0.6401,0.9259,346163948.61,577832
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:03.9110000Z,2021-05-31T23:59:35.8560000Z,0.9253,1.44,0.4037,0.6649,521470559.69,989002
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:00.7350000Z,2021-06-30T23:59:35.3260000Z,0.6631,1.083,0.5,0.8911,235714343.63,648483
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:08.7900000Z,2021-07-31T23:59:51.3020000Z,0.8945,0.9753,0.6152,0.7593,64385541.13,351073
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:09.2110000Z,2021-08-31T23:59:28.6340000Z,0.7604,0.9294,0.741,0.838,61361339.81,301511
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:01:31.0950000Z,2021-09-30T23:59:49.7950000Z,0.8385,1.244,0.6024,0.6301,155191673.87,477210
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:14.7060000Z,2021-10-31T23:56:29.1970000Z,0.6303,1.0873,0.6275,0.7608,83001901.0,317610
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:02:43.1220000Z,2021-11-30T23:57:59.8210000Z,0.7608,0.9604,0.6118,0.629,35469110.0,180634
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:39.9450000Z,2021-12-02T16:08:52.0960000Z,0.6283,0.642,0.5868,0.6057,1390243.0,6646
