time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-07T13:00:00.0000000Z,2021-01-31T23:58:41.9850000Z,0.1936,0.5,0.1269,0.1611,227416940.13,182490
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:02:28.9850000Z,2021-02-28T23:59:54.8480000Z,0.161,0.37,0.1555,0.2402,311350904.87,423780
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:48.6370000Z,2021-03-31T23:59:06.9350000Z,0.2403,0.3718,0.2364,0.351,136035898.22,297157
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:02.7170000Z,2021-04-30T23:59:56.2230000Z,0.3513,0.46,0.26,0.3303,288094810.12,601565
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:01.2110000Z,2021-05-31T23:59:11.3140000Z,0.3303,0.3798,0.1465,0.202,435103336.51,707473
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:08.4750000Z,2021-06-30T23:59:33.4560000Z,0.2015,0.2115,0.124,0.1597,304513502.78,156261
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:00:53.7630000Z,2021-07-31T23:59:40.3630000Z,0.1602,0.2011,0.1444,0.1968,156568303.62,112376
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:20.0600000Z,2021-08-31T23:55:59.7690000Z,0.197,0.2574,0.1804,0.243,225116297.06,159704
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:10.6860000Z,2021-09-30T23:53:54.6450000Z,0.2425,0.2729,0.1929,0.2078,144311034.28,117739
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:52.2780000Z,2021-10-31T23:52:53.5170000Z,0.2083,0.3042,0.2058,0.2683,178487356.38,158893
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:12:00.6030000Z,2021-11-30T23:59:40.4210000Z,0.2682,0.3077,0.2317,0.2469,111483368.94,111240
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:54.1110000Z,2021-12-02T16:08:48.3950000Z,0.2469,0.2552,0.238,0.2455,6829800.0,5798
