time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-08T13:00:01.5790000Z,2021-02-28T23:59:57.0260000Z,0.5501,4.47,0.5,1.471,133239541.53,1172863
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:03.2010000Z,2021-03-31T23:59:10.8980000Z,1.4721,3.9851,1.4673,3.2366,56504621.04,730860
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:15.3710000Z,2021-04-30T23:57:10.3780000Z,3.2412,3.6221,1.6611,2.6685,32462688.18,413107
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:25.4750000Z,2021-05-31T23:59:12.0100000Z,2.6678,3.1,0.6222,1.103,44603961.59,305899
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:21.6990000Z,2021-06-30T23:59:59.9920000Z,1.0983,1.4171,0.6002,0.7222,35746098.83,199121
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:00.0220000Z,2021-07-31T23:59:55.2550000Z,0.7203,1.08,0.6101,0.9729,43217443.22,216857
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:02.1210000Z,2021-08-31T23:58:41.6920000Z,0.9738,1.7726,0.8867,1.5328,44726518.29,280054
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:16.1370000Z,2021-09-30T23:59:24.5850000Z,1.5311,1.71,0.78,0.893,32337994.87,173199
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:58.7110000Z,2021-10-31T23:59:54.0340000Z,0.8938,3.1628,0.8833,1.698,202296295.5,1202524
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:01.6430000Z,2021-11-30T23:59:38.2800000Z,1.7,2.5972,1.2292,1.9678,106549393.0,564712
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:51.2520000Z,2021-12-02T16:09:53.7730000Z,1.969,3.099,1.9367,2.4207,31891861.0,165770
