time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-01T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-25T10:00:00.0000000Z,2021-01-31T23:57:31.2200000Z,1.0,4.8875,0.21,1.0,12729046.35,13668
2021-02-01T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-01T00:00:25.2500000Z,2021-02-28T23:59:57.6320000Z,1.0,1.1374,0.955,1.0,134720787.91,160417
2021-03-01T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-01T00:00:07.6670000Z,2021-03-31T23:59:19.7990000Z,1.0,1.001,0.98,1.0,101559137.93,96030
2021-04-01T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-01T00:00:08.1610000Z,2021-04-30T23:59:35.0960000Z,0.9999,1.009,0.9199,0.9999,131772718.99,104909
2021-05-01T00:00:00.0000000Z,2021-06-01T00:00:00.0000000Z,2021-05-01T00:00:37.3170000Z,2021-05-31T23:59:36.4080000Z,1.0001,1.0899,0.9524,1.0,204275799.66,120312
2021-06-01T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-01T00:00:00.9210000Z,2021-06-30T23:58:34.4230000Z,1.0,1.0016,0.9996,1.0,83933427.32,83756
2021-07-01T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-01T00:01:44.8910000Z,2021-07-31T23:59:59.1270000Z,0.9999,1.0003,0.9998,0.9999,69545340.47,50225
2021-08-01T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-01T00:00:03.7820000Z,2021-08-31T23:55:07.4610000Z,0.9999,1.0002,0.9998,1.0,86576086.61,32626
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-01T00:00:36.4050000Z,2021-09-30T23:35:03.4440000Z,0.9999,1.0011,0.9998,0.9999,113900507.9,35555
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:01:38.2630000Z,2021-10-31T23:59:35.1620000Z,0.9999,1.0002,0.9998,1.0001,101406660.6,33239
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:03:19.0150000Z,2021-11-30T23:59:31.2050000Z,1.0001,1.0002,0.9998,0.9999,129305529.3,51028
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:17.3650000Z,2021-12-02T16:09:08.3040000Z,1.0,1.0,0.9999,0.9999,3054327.4,2388
