Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,"4.230,66","4.268,07","4.311,46","4.125,98","-0,88%",2021,11,22
1,21.11.2021,"4.268,08","4.409,02","4.422,60","4.246,20","-3,19%",2021,11,21
2,20.11.2021,"4.408,85","4.295,27","4.434,27","4.206,75","2,64%",2021,11,20
3,19.11.2021,"4.295,43","3.996,29","4.305,41","3.978,08","7,34%",2021,11,19
4,18.11.2021,"4.001,87","4.290,31","4.342,74","3.958,44","-6,74%",2021,11,18
5,17.11.2021,"4.290,88","4.208,29","4.298,30","4.071,01","1,97%",2021,11,17
6,16.11.2021,"4.208,16","4.562,97","4.562,97","4.115,31","-7,78%",2021,11,16
7,15.11.2021,"4.562,98","4.625,71","4.769,38","4.543,47","-1,35%",2021,11,15
8,14.11.2021,"4.625,59","4.644,40","4.692,76","4.514,95","-0,41%",2021,11,14
9,13.11.2021,"4.644,61","4.665,76","4.705,02","4.585,37","-0,49%",2021,11,13
10,12.11.2021,"4.667,31","4.720,50","4.807,16","4.511,96","-1,13%",2021,11,12
11,11.11.2021,"4.720,87","4.633,98","4.778,17","4.578,66","1,87%",2021,11,11
12,10.11.2021,"4.634,03","4.731,83","4.864,06","4.498,78","-2,07%",2021,11,10
13,09.11.2021,"4.731,83","4.808,34","4.836,69","4.715,43","-1,59%",2021,11,09
14,08.11.2021,"4.808,38","4.612,05","4.822,97","4.612,05","4,26%",2021,11,08
15,07.11.2021,"4.612,06","4.517,27","4.634,39","4.502,70","2,10%",2021,11,07
16,06.11.2021,"4.517,36","4.475,00","4.526,75","4.330,29","0,95%",2021,11,06
17,05.11.2021,"4.475,00","4.534,96","4.569,31","4.439,67","-1,33%",2021,11,05
18,04.11.2021,"4.535,11","4.601,93","4.604,83","4.421,87","-1,46%",2021,11,04
19,03.11.2021,"4.602,21","4.586,96","4.661,88","4.458,87","0,35%",2021,11,03
20,02.11.2021,"4.586,06","4.320,85","4.598,38","4.287,36","6,14%",2021,11,02
21,01.11.2021,"4.320,85","4.287,41","4.376,94","4.157,51","0,78%",2021,11,01
22,31.10.2021,"4.287,56","4.322,00","4.393,61","4.169,48","-0,77%",2021,10,31
23,30.10.2021,"4.320,65","4.413,70","4.428,41","4.250,24","-2,11%",2021,10,30
24,29.10.2021,"4.413,70","4.284,90","4.458,30","4.268,21","3,01%",2021,10,29
25,28.10.2021,"4.284,90","3.921,54","4.289,80","3.896,33","9,25%",2021,10,28
26,27.10.2021,"3.921,93","4.130,06","4.299,61","3.914,06","-5,03%",2021,10,27
27,26.10.2021,"4.129,51","4.219,92","4.291,98","4.098,19","-2,14%",2021,10,26
28,25.10.2021,"4.219,92","4.082,68","4.234,76","4.069,94","3,36%",2021,10,25
29,24.10.2021,"4.082,80","4.168,80","4.184,00","3.965,84","-2,06%",2021,10,24
30,23.10.2021,"4.168,85","3.970,94","4.169,33","3.938,79","4,98%",2021,10,23
31,22.10.2021,"3.970,94","4.053,89","4.164,11","3.896,40","-2,05%",2021,10,22
32,21.10.2021,"4.054,16","4.160,51","4.366,91","4.029,48","-2,54%",2021,10,21
33,20.10.2021,"4.159,89","3.876,76","4.168,12","3.830,26","7,30%",2021,10,20
34,19.10.2021,"3.876,78","3.745,46","3.884,34","3.733,78","3,45%",2021,10,19
35,18.10.2021,"3.747,60","3.848,64","3.892,01","3.685,82","-2,55%",2021,10,18
36,17.10.2021,"3.845,47","3.827,55","3.917,56","3.664,63","0,47%",2021,10,17
37,16.10.2021,"3.827,55","3.869,05","3.967,43","3.804,55","-1,02%",2021,10,16
38,15.10.2021,"3.866,90","3.790,34","3.904,91","3.735,21","2,02%",2021,10,15
39,14.10.2021,"3.790,41","3.607,36","3.820,47","3.588,24","5,08%",2021,10,14
40,13.10.2021,"3.607,28","3.491,08","3.612,04","3.416,00","3,36%",2021,10,13
41,12.10.2021,"3.489,90","3.541,49","3.545,35","3.404,49","-1,56%",2021,10,12
42,11.10.2021,"3.545,06","3.414,93","3.622,53","3.381,43","3,81%",2021,10,11
43,10.10.2021,"3.415,03","3.574,52","3.599,18","3.409,22","-4,45%",2021,10,10
44,09.10.2021,"3.574,20","3.559,96","3.626,11","3.541,40","0,42%",2021,10,09
45,08.10.2021,"3.559,42","3.586,91","3.668,35","3.537,24","-0,74%",2021,10,08
46,07.10.2021,"3.586,00","3.575,43","3.650,18","3.473,47","0,30%",2021,10,07
47,06.10.2021,"3.575,41","3.515,35","3.627,19","3.345,56","1,65%",2021,10,06
48,05.10.2021,"3.517,26","3.383,32","3.540,83","3.365,28","3,97%",2021,10,05
49,04.10.2021,"3.382,90","3.417,26","3.436,34","3.273,22","-1,01%",2021,10,04
50,03.10.2021,"3.417,34","3.388,83","3.485,48","3.346,63","0,84%",2021,10,03
51,02.10.2021,"3.388,97","3.309,14","3.467,95","3.265,97","2,41%",2021,10,02
52,01.10.2021,"3.309,13","2.999,86","3.329,32","2.972,75","10,28%",2021,10,01
53,30.09.2021,"3.000,59","2.851,06","3.047,08","2.837,68","5,23%",2021,09,30
54,29.09.2021,"2.851,50","2.807,15","2.948,50","2.784,66","1,57%",2021,09,29
55,28.09.2021,"2.807,28","2.926,04","2.969,18","2.791,42","-4,07%",2021,09,28
56,27.09.2021,"2.926,24","3.061,86","3.163,86","2.926,24","-4,48%",2021,09,27
57,26.09.2021,"3.063,51","2.922,47","3.113,65","2.740,12","4,82%",2021,09,26
