Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,"1,50860","1,35366","1,57314","1,29705","11,44%",2021,11,22
1,21.11.2021,"1,35370","1,31018","1,38692","1,28803","3,38%",2021,11,21
2,20.11.2021,"1,30938","1,29937","1,32906","1,25382","0,75%",2021,11,20
3,19.11.2021,"1,29968","1,24743","1,31464","1,21388","4,18%",2021,11,19
4,18.11.2021,"1,24749","1,45052","1,46939","1,23162","-14,00%",2021,11,18
5,17.11.2021,"1,45052","1,34551","1,48009","1,28934","7,76%",2021,11,17
6,16.11.2021,"1,34605","1,32203","1,43464","1,12734","1,82%",2021,11,16
7,15.11.2021,"1,32198","1,29851","1,33150","1,28115","1,81%",2021,11,15
8,14.11.2021,"1,29845","1,31026","1,32033","1,27972","-0,92%",2021,11,14
9,13.11.2021,"1,31044","1,28342","1,32381","1,26688","2,11%",2021,11,13
10,12.11.2021,"1,28342","1,33002","1,33841","1,24573","-3,50%",2021,11,12
11,11.11.2021,"1,32998","1,29658","1,34791","1,28001","2,55%",2021,11,11
12,10.11.2021,"1,29687","1,40676","1,43444","1,21042","-7,81%",2021,11,10
13,09.11.2021,"1,40676","1,37640","1,44870","1,36294","2,21%",2021,11,09
14,08.11.2021,"1,37630","1,33137","1,37974","1,31353","3,38%",2021,11,08
15,07.11.2021,"1,33129","1,32945","1,33439","1,31345","0,16%",2021,11,07
16,06.11.2021,"1,32920","1,35589","1,35622","1,27671","-1,96%",2021,11,06
17,05.11.2021,"1,35583","1,33616","1,36956","1,31742","1,42%",2021,11,05
18,04.11.2021,"1,33686","1,35319","1,37346","1,31012","-1,20%",2021,11,04
19,03.11.2021,"1,35309","1,37872","1,38081","1,29405","-1,82%",2021,11,03
20,02.11.2021,"1,37820","1,38451","1,38571","1,35197","-0,43%",2021,11,02
21,01.11.2021,"1,38409","1,45808","1,47086","1,35625","-5,03%",2021,11,01
22,31.10.2021,"1,45736","1,38887","1,50000","1,31279","4,98%",2021,10,31
23,30.10.2021,"1,38818","1,28180","1,43244","1,22737","8,44%",2021,10,30
24,29.10.2021,"1,28012","1,23587","1,29116","1,23210","3,60%",2021,10,29
25,28.10.2021,"1,23568","1,18308","1,24947","1,17192","4,41%",2021,10,28
26,27.10.2021,"1,18351","1,36232","1,38240","1,11866","-13,07%",2021,10,27
27,26.10.2021,"1,36138","1,32427","1,41684","1,31621","2,80%",2021,10,26
28,25.10.2021,"1,32435","1,29139","1,32859","1,28094","2,57%",2021,10,25
29,24.10.2021,"1,29119","1,31145","1,33970","1,25673","-1,60%",2021,10,24
30,23.10.2021,"1,31222","1,33320","1,33524","1,29020","-1,57%",2021,10,23
31,22.10.2021,"1,33320","1,26742","1,36351","1,26675","5,26%",2021,10,22
32,21.10.2021,"1,26657","1,28708","1,30752","1,24294","-1,58%",2021,10,21
33,20.10.2021,"1,28696","1,22250","1,30043","1,20642","5,26%",2021,10,20
34,19.10.2021,"1,22262","1,22167","1,23441","1,20103","0,04%",2021,10,19
35,18.10.2021,"1,22207","1,23200","1,23773","1,19321","-0,82%",2021,10,18
36,17.10.2021,"1,23214","1,28007","1,29152","1,19066","-3,72%",2021,10,17
37,16.10.2021,"1,27980","1,27693","1,32271","1,25807","0,25%",2021,10,16
38,15.10.2021,"1,27659","1,33656","1,33952","1,24652","-4,52%",2021,10,15
39,14.10.2021,"1,33695","1,34465","1,37114","1,31864","-0,57%",2021,10,14
40,13.10.2021,"1,34460","1,32990","1,35074","1,28435","1,12%",2021,10,13
41,12.10.2021,"1,32973","1,43450","1,43450","1,26856","-7,28%",2021,10,12
42,11.10.2021,"1,43413","1,39640","1,58522","1,39012","2,64%",2021,10,11
