Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,"4,5510","4,6410","4,6465","4,3862","-2,00%",2021,11,22
1,21.11.2021,"4,6438","4,9095","4,9318","4,6278","-5,41%",2021,11,21
2,20.11.2021,"4,9095","4,6842","4,9800","4,6842","4,81%",2021,11,20
3,19.11.2021,"4,6842","4,1930","4,7160","4,1351","11,71%",2021,11,19
4,18.11.2021,"4,1930","4,6430","4,6625","4,0897","-9,69%",2021,11,18
5,17.11.2021,"4,6430","4,6110","4,7075","4,4086","0,69%",2021,11,17
6,16.11.2021,"4,6110","5,0344","5,0344","4,3922","-8,41%",2021,11,16
7,15.11.2021,"5,0344","5,0995","5,2160","5,0000","-1,28%",2021,11,15
8,14.11.2021,"5,0995","5,1552","5,2937","4,9849","-1,14%",2021,11,14
9,13.11.2021,"5,1583","5,0400","5,2297","4,9392","2,35%",2021,11,13
10,12.11.2021,"5,0400","5,1256","5,2377","4,8615","-1,86%",2021,11,12
11,11.11.2021,"5,1356","5,0414","5,2819","4,9721","1,87%",2021,11,11
12,10.11.2021,"5,0414","5,4325","5,6150","4,6313","-7,20%",2021,11,10
13,09.11.2021,"5,4325","5,6084","5,7046","5,3966","-3,07%",2021,11,09
14,08.11.2021,"5,6046","5,5132","5,6632","5,4431","1,66%",2021,11,08
15,07.11.2021,"5,5132","5,5570","5,5951","5,4564","-0,79%",2021,11,07
16,06.11.2021,"5,5570","5,5953","5,9049","5,4223","-0,75%",2021,11,06
17,05.11.2021,"5,5989","5,4811","5,9375","5,4033","2,15%",2021,11,05
18,04.11.2021,"5,4811","5,4352","5,5844","5,2945","0,84%",2021,11,04
19,03.11.2021,"5,4352","5,4078","5,6086","5,2416","0,65%",2021,11,03
20,02.11.2021,"5,4000","5,3955","5,4866","5,2965","0,08%",2021,11,02
21,01.11.2021,"5,3955","5,5048","5,5188","5,2450","-1,99%",2021,11,01
22,31.10.2021,"5,5048","5,4631","5,6681","5,2200","0,76%",2021,10,31
23,30.10.2021,"5,4631","5,6738","5,8668","5,3485","-3,71%",2021,10,30
24,29.10.2021,"5,6738","5,2644","5,8556","5,2094","7,78%",2021,10,29
25,28.10.2021,"5,2644","5,1168","5,4063","5,0200","2,88%",2021,10,28
26,27.10.2021,"5,1168","5,8933","5,9394","4,8510","-13,18%",2021,10,27
27,26.10.2021,"5,8933","5,7080","6,1868","5,7080","3,25%",2021,10,26
28,25.10.2021,"5,7080","5,5498","5,7800","5,5226","2,85%",2021,10,25
29,24.10.2021,"5,5498","5,7926","5,7941","5,4095","-4,19%",2021,10,24
30,23.10.2021,"5,7926","5,7589","5,8530","5,7104","0,59%",2021,10,23
31,22.10.2021,"5,7589","5,7223","5,9310","5,6432","0,64%",2021,10,22
32,21.10.2021,"5,7223","6,0196","6,1122","5,6654","-4,94%",2021,10,21
33,20.10.2021,"6,0196","5,7988","6,1012","5,6427","3,81%",2021,10,20
34,19.10.2021,"5,7988","5,6339","5,9153","5,5923","2,93%",2021,10,19
35,18.10.2021,"5,6339","5,7004","5,7390","5,4890","-1,17%",2021,10,18
36,17.10.2021,"5,7004","5,9511","5,9941","5,4901","-4,21%",2021,10,17
37,16.10.2021,"5,9511","5,8953","6,1388","5,8852","0,95%",2021,10,16
38,15.10.2021,"5,8953","6,1448","6,1578","5,8081","-4,06%",2021,10,15
39,14.10.2021,"6,1448","6,2898","6,3834","6,0903","-2,31%",2021,10,14
40,13.10.2021,"6,2898","6,1630","6,3129","5,9416","2,06%",2021,10,13
41,12.10.2021,"6,1630","5,9768","6,2939","5,7291","3,12%",2021,10,12
42,11.10.2021,"5,9768","6,0210","6,3882","5,7530","-0,73%",2021,10,11
43,10.10.2021,"6,0210","6,5714","6,9805","6,0027","-8,38%",2021,10,10
44,09.10.2021,"6,5714","6,2953","6,5852","6,2349","4,39%",2021,10,09
45,08.10.2021,"6,2953","6,5704","6,7385","6,2600","-4,19%",2021,10,08
46,07.10.2021,"6,5704","6,6854","6,9714","6,4210","-1,72%",2021,10,07
47,06.10.2021,"6,6854","6,8429","7,3800","6,2000","-2,30%",2021,10,06
48,05.10.2021,"6,8429","7,1716","7,3634","6,6538","-4,58%",2021,10,05
49,04.10.2021,"7,1716","7,4817","7,8538","7,0499","-4,14%",2021,10,04
50,03.10.2021,"7,4817","6,3249","7,6703","6,3023","18,29%",2021,10,03
51,02.10.2021,"6,3249","5,7556","6,6900","5,6256","9,89%",2021,10,02
52,01.10.2021,"5,7556","5,2444","5,9217","5,2003","9,48%",2021,10,01
53,30.09.2021,"5,2574","4,8559","5,2574","4,8293","8,27%",2021,09,30
54,29.09.2021,"4,8559","4,6851","5,2069","4,5800","3,65%",2021,09,29
55,28.09.2021,"4,6851","5,1589","5,3577","4,6378","-9,18%",2021,09,28
56,27.09.2021,"5,1589","5,5632","5,6844","5,1589","-7,27%",2021,09,27
57,26.09.2021,"5,5632","5,8263","6,0411","5,5070","-4,52%",2021,09,26
58,25.09.2021,"5,8263","5,9962","6,4188","5,8100","-2,83%",2021,09,25
59,24.09.2021,"5,9962","5,2889","6,3220","4,9259","13,37%",2021,09,24
60,23.09.2021,"5,2889","4,7797","5,6107","4,7221","10,49%",2021,09,23
61,22.09.2021,"4,7867","3,9861","4,8072","3,8549","20,08%",2021,09,22
62,21.09.2021,"3,9861","4,4954","4,7029","3,8245","-11,33%",2021,09,21
63,20.09.2021,"4,4954","5,5302","5,5734","4,3352","-18,71%",2021,09,20
64,19.09.2021,"5,5302","5,4662","5,9178","5,2188","1,17%",2021,09,19
65,18.09.2021,"5,4662","5,2174","5,7341","5,0610","4,77%",2021,09,18
66,17.09.2021,"5,2174","5,9102","5,9263","5,1660","-11,72%",2021,09,17
67,16.09.2021,"5,9102","5,8503","5,9823","5,4994","1,02%",2021,09,16
68,15.09.2021,"5,8503","6,0241","6,4700","5,7012","-2,89%",2021,09,15
69,14.09.2021,"6,0241","6,0667","6,7815","5,7903","-0,70%",2021,09,14
70,13.09.2021,"6,0667","5,9526","6,6798","5,3423","1,92%",2021,09,13
71,12.09.2021,"5,9526","5,1781","6,1230","5,0135","14,96%",2021,09,12
72,11.09.2021,"5,1781","5,2341","5,8827","5,1281","-1,00%",2021,09,11
73,10.09.2021,"5,2302","4,7101","5,8247","4,5034","11,04%",2021,09,10
74,09.09.2021,"4,7101","3,6613","4,8190","3,6145","28,65%",2021,09,09
75,08.09.2021,"3,6613","3,7310","3,8075","3,3058","-1,87%",2021,09,08
76,07.09.2021,"3,7310","4,7173","4,8128","3,3299","-20,91%",2021,09,07
77,06.09.2021,"4,7173","4,6657","4,8628","4,5500","1,11%",2021,09,06
78,05.09.2021,"4,6657","4,5559","4,7060","4,4405","2,41%",2021,09,05
79,04.09.2021,"4,5559","4,4561","4,7122","4,4160","2,24%",2021,09,04
80,03.09.2021,"4,4561","4,4619","4,6104","4,3145","-0,13%",2021,09,03
81,02.09.2021,"4,4619","4,5769","4,5863","4,3862","-2,51%",2021,09,02
82,01.09.2021,"4,5769","4,3778","4,6489","4,2487","4,55%",2021,09,01
83,31.08.2021,"4,3778","4,5672","4,7200","4,2420","-4,15%",2021,08,31
84,30.08.2021,"4,5672","5,0050","5,0888","4,4882","-8,75%",2021,08,30
85,29.08.2021,"5,0050","4,7733","5,1997","4,5820","4,85%",2021,08,29
86,28.08.2021,"4,7733","4,4474","4,8187","4,2633","7,53%",2021,08,28
87,27.08.2021,"4,4392","3,7760","4,6764","3,6252","17,56%",2021,08,27
88,26.08.2021,"3,7760","4,3342","4,3379","3,6717","-12,86%",2021,08,26
89,25.08.2021,"4,3332","3,3752","4,6009","3,3700","28,38%",2021,08,25
90,24.08.2021,"3,3752","3,6718","3,8066","3,3175","-8,08%",2021,08,24
91,23.08.2021,"3,6718","3,2514","3,6955","3,2335","12,93%",2021,08,23
92,22.08.2021,"3,2514","3,1581","3,3241","3,1479","2,95%",2021,08,22
93,21.08.2021,"3,1581","3,1917","3,2950","3,1066","-1,05%",2021,08,21
94,20.08.2021,"3,1917","3,1159","3,1917","3,0718","2,43%",2021,08,20
95,19.08.2021,"3,1159","2,8924","3,1182","2,8211","7,73%",2021,08,19
96,18.08.2021,"2,8924","2,9041","2,9660","2,7688","-0,40%",2021,08,18
97,17.08.2021,"2,9041","3,1035","3,2351","2,8812","-6,43%",2021,08,17
98,16.08.2021,"3,1035","3,1650","3,3000","3,0666","-1,94%",2021,08,16
99,15.08.2021,"3,1650","3,1299","3,1837","3,0140","1,12%",2021,08,15
100,14.08.2021,"3,1299","3,0419","3,1527","2,9466","2,89%",2021,08,14
101,13.08.2021,"3,0419","2,8500","3,0500","2,8141","6,73%",2021,08,13
102,12.08.2021,"2,8500","2,9464","3,0724","2,7498","-3,27%",2021,08,12
103,11.08.2021,"2,9464","2,7819","3,0334","2,7819","5,91%",2021,08,11
104,10.08.2021,"2,7819","2,7976","2,8530","2,7187","-0,56%",2021,08,10
105,09.08.2021,"2,7976","2,7127","2,8491","2,6428","3,13%",2021,08,09
106,08.08.2021,"2,7127","2,9067","2,9597","2,6755","-6,67%",2021,08,08
107,07.08.2021,"2,9067","2,8476","3,0075","2,8083","2,08%",2021,08,07
108,06.08.2021,"2,8476","2,7168","2,8497","2,6643","4,81%",2021,08,06
109,05.08.2021,"2,7168","2,6865","2,7640","2,6030","1,13%",2021,08,05
110,04.08.2021,"2,6865","2,5641","2,6895","2,5310","4,77%",2021,08,04
111,03.08.2021,"2,5641","2,6488","2,6982","2,5057","-3,20%",2021,08,03
112,02.08.2021,"2,6488","2,4919","2,7847","2,4383","5,75%",2021,08,02
113,01.08.2021,"2,5047","2,5717","2,6750","2,4530","-2,61%",2021,08,01
114,31.07.2021,"2,5717","2,4967","2,6145","2,4682","3,00%",2021,07,31
115,30.07.2021,"2,4967","2,3915","2,4974","2,3265","4,40%",2021,07,30
116,29.07.2021,"2,3915","2,3687","2,4120","2,3127","0,96%",2021,07,29
117,28.07.2021,"2,3687","2,4200","2,4549","2,3367","-2,12%",2021,07,28
118,27.07.2021,"2,4200","2,4123","2,4804","2,3186","0,32%",2021,07,27
119,26.07.2021,"2,4123","2,4471","2,6392","2,3959","-1,42%",2021,07,26
120,25.07.2021,"2,4471","2,3711","2,4653","2,3116","6,96%",2021,07,25
121,24.07.2021,"2,2879","2,2854","2,3607","2,2492","0,11%",2021,07,24
122,23.07.2021,"2,2854","2,1192","2,2854","2,1159","7,84%",2021,07,23
123,22.07.2021,"2,1192","2,0348","2,1314","1,9881","4,49%",2021,07,22
124,21.07.2021,"2,0282","1,8281","2,0673","1,7912","10,82%",2021,07,21
125,20.07.2021,"1,8301","1,9417","2,4769","1,7832","-5,75%",2021,07,20
126,19.07.2021,"1,9417","2,0586","2,0736","1,9173","-5,68%",2021,07,19
127,18.07.2021,"2,0586","2,0367","2,1074","2,0260","1,08%",2021,07,18
128,17.07.2021,"2,0367","2,0402","2,1003","2,0123","-0,17%",2021,07,17
129,16.07.2021,"2,0402","2,1697","2,2355","2,0354","-5,97%",2021,07,16
