Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,"3,5219","3,3647","3,5859","3,3278","4,67%",2021,11,22
1,21.11.2021,"3,3647","3,4403","3,6450","3,3618","-2,20%",2021,11,21
2,20.11.2021,"3,4403","3,1964","3,7833","3,1140","7,63%",2021,11,20
3,19.11.2021,"3,1965","3,1389","3,2266","2,9921","1,83%",2021,11,19
4,18.11.2021,"3,1389","3,4131","3,5012","3,0017","-8,03%",2021,11,18
5,17.11.2021,"3,4131","3,2512","3,4421","3,1363","4,98%",2021,11,17
6,16.11.2021,"3,2512","3,3935","3,3983","3,0568","-4,21%",2021,11,16
7,15.11.2021,"3,3940","3,4504","3,4750","3,3712","-1,63%",2021,11,15
8,14.11.2021,"3,4504","3,4683","3,5160","3,4055","-0,52%",2021,11,14
9,13.11.2021,"3,4683","3,4427","3,5367","3,4062","0,74%",2021,11,13
10,12.11.2021,"3,4427","3,4820","3,6218","3,2941","-1,13%",2021,11,12
11,11.11.2021,"3,4820","3,4280","3,5401","3,3562","1,58%",2021,11,11
12,10.11.2021,"3,4280","3,7635","3,8174","3,3501","-8,91%",2021,11,10
13,09.11.2021,"3,7635","3,6350","3,7892","3,5882","3,34%",2021,11,09
14,08.11.2021,"3,6419","3,5673","3,7128","3,5051","2,10%",2021,11,08
15,07.11.2021,"3,5671","3,4309","3,5780","3,4062","3,97%",2021,11,07
16,06.11.2021,"3,4309","3,4852","3,5616","3,3821","-1,56%",2021,11,06
17,05.11.2021,"3,4852","3,5368","3,6651","3,4322","-1,46%",2021,11,05
18,04.11.2021,"3,5368","3,6610","3,6976","3,5111","-3,39%",2021,11,04
19,03.11.2021,"3,6610","3,5418","3,7465","3,4312","3,37%",2021,11,03
20,02.11.2021,"3,5418","3,4452","3,6115","3,4174","2,80%",2021,11,02
21,01.11.2021,"3,4452","3,4740","3,5427","3,3203","-0,83%",2021,11,01
22,31.10.2021,"3,4740","3,3780","3,5849","3,3704","2,84%",2021,10,31
23,30.10.2021,"3,3780","3,4069","3,5512","3,3131","-0,85%",2021,10,30
24,29.10.2021,"3,4069","3,4289","3,4779","3,3830","-0,64%",2021,10,29
25,28.10.2021,"3,4289","3,3051","3,4549","3,2471","3,72%",2021,10,28
26,27.10.2021,"3,3061","3,6781","3,7220","3,3061","-10,28%",2021,10,27
27,26.10.2021,"3,6850","3,8209","4,0736","3,6561","-3,56%",2021,10,26
28,25.10.2021,"3,8209","3,7710","4,0081","3,7521","1,32%",2021,10,25
29,24.10.2021,"3,7710","3,7251","3,7866","3,6161","1,23%",2021,10,24
30,23.10.2021,"3,7251","3,7310","3,7790","3,6832","-0,16%",2021,10,23
31,22.10.2021,"3,7310","3,6140","3,9502","3,5952","3,24%",2021,10,22
32,21.10.2021,"3,6140","3,4730","3,6417","3,4443","4,06%",2021,10,21
33,20.10.2021,"3,4730","3,3530","3,4730","3,2801","3,58%",2021,10,20
34,19.10.2021,"3,3530","3,4548","3,4719","3,3160","-2,95%",2021,10,19
35,18.10.2021,"3,4548","3,3560","3,6410","3,2694","2,94%",2021,10,18
36,17.10.2021,"3,3560","3,4425","3,5596","3,2470","-2,51%",2021,10,17
37,16.10.2021,"3,4425","3,4460","3,5697","3,4157","-0,10%",2021,10,16
38,15.10.2021,"3,4460","3,2997","3,5219","3,2300","4,43%",2021,10,15
39,14.10.2021,"3,2997","3,2437","3,5147","3,2251","1,73%",2021,10,14
40,13.10.2021,"3,2437","3,1509","3,3619","3,0791","2,94%",2021,10,13
41,12.10.2021,"3,1509","3,2230","3,3594","2,9919","-2,24%",2021,10,12
42,11.10.2021,"3,2230","3,1759","3,4379","3,1433","1,48%",2021,10,11
43,10.10.2021,"3,1759","3,4339","3,5739","3,1563","-7,67%",2021,10,10
44,09.10.2021,"3,4399","3,3270","3,4820","3,3041","3,39%",2021,10,09
45,08.10.2021,"3,3270","3,4390","3,5874","3,3211","-3,25%",2021,10,08
46,07.10.2021,"3,4390","3,3443","3,5996","3,2383","2,83%",2021,10,07
47,06.10.2021,"3,3443","3,4174","3,4934","3,2294","-2,14%",2021,10,06
48,05.10.2021,"3,4174","3,3285","3,4684","3,2245","2,67%",2021,10,05
49,04.10.2021,"3,3285","3,2180","3,4239","3,1228","3,43%",2021,10,04
50,03.10.2021,"3,2180","3,1299","3,3015","3,0663","2,82%",2021,10,03
51,02.10.2021,"3,1299","3,1684","3,2608","3,1086","-1,22%",2021,10,02
52,01.10.2021,"3,1684","3,0110","3,2180","2,9142","5,40%",2021,10,01
53,30.09.2021,"3,0061","2,6559","3,3399","2,6361","13,18%",2021,09,30
54,29.09.2021,"2,6559","2,5632","2,8028","2,5323","3,62%",2021,09,29
55,28.09.2021,"2,5632","2,6540","2,7529","2,5583","-3,42%",2021,09,28
56,27.09.2021,"2,6540","2,7946","2,8912","2,6510","-5,03%",2021,09,27
57,26.09.2021,"2,7946","2,9010","2,9200","2,6101","-3,67%",2021,09,26
58,25.09.2021,"2,9010","2,9377","3,0860","2,7551","-1,25%",2021,09,25
59,24.09.2021,"2,9377","3,0979","3,1139","2,6902","-5,17%",2021,09,24
60,23.09.2021,"3,0979","3,0770","3,1691","2,9441","0,68%",2021,09,23
61,22.09.2021,"3,0770","2,7434","3,0849","2,7124","12,16%",2021,09,22
62,21.09.2021,"2,7434","2,9644","3,1926","2,6760","-7,30%",2021,09,21
63,20.09.2021,"2,9595","3,6020","3,6080","2,9051","-17,84%",2021,09,20
64,19.09.2021,"3,6020","3,5758","3,7518","3,5333","0,73%",2021,09,19
65,18.09.2021,"3,5758","3,5109","3,6349","3,4661","1,85%",2021,09,18
66,17.09.2021,"3,5109","3,6109","3,6398","3,4771","-2,77%",2021,09,17
67,16.09.2021,"3,6109","3,7881","3,8385","3,5085","-4,68%",2021,09,16
68,15.09.2021,"3,7881","3,5710","3,8050","3,5001","6,08%",2021,09,15
69,14.09.2021,"3,5710","3,4333","3,5710","3,3754","4,01%",2021,09,14
70,13.09.2021,"3,4333","3,6400","3,6755","3,2222","-5,68%",2021,09,13
71,12.09.2021,"3,6400","3,5500","3,7968","3,4501","2,53%",2021,09,12
72,11.09.2021,"3,5500","3,3536","3,9818","3,3460","5,86%",2021,09,11
73,10.09.2021,"3,3536","3,5722","3,7059","3,2490","-6,14%",2021,09,10
74,09.09.2021,"3,5732","3,5521","3,8000","3,4775","0,79%",2021,09,09
75,08.09.2021,"3,5451","3,5869","3,7069","3,3010","-1,17%",2021,09,08
76,07.09.2021,"3,5869","4,5240","4,7418","3,2175","-20,71%",2021,09,07
77,06.09.2021,"4,5240","4,5810","4,7388","4,3869","-1,24%",2021,09,06
78,05.09.2021,"4,5810","4,1971","4,7220","4,1920","9,33%",2021,09,05
79,04.09.2021,"4,1901","4,2654","4,4193","4,1300","-1,76%",2021,09,04
80,03.09.2021,"4,2654","4,0390","4,3488","3,9400","5,61%",2021,09,03
81,02.09.2021,"4,0390","4,2030","4,2030","3,9661","-3,90%",2021,09,02
82,01.09.2021,"4,2030","3,8440","4,2498","3,7750","9,34%",2021,09,01
83,31.08.2021,"3,8440","3,8709","3,9949","3,7719","-0,69%",2021,08,31
84,30.08.2021,"3,8709","4,1091","4,1740","3,8252","-5,80%",2021,08,30
85,29.08.2021,"4,1091","4,0860","4,1839","3,8261","0,57%",2021,08,29
86,28.08.2021,"4,0860","4,2488","4,2670","3,9440","-3,83%",2021,08,28
87,27.08.2021,"4,2488","3,9631","4,2497","3,8130","7,21%",2021,08,27
88,26.08.2021,"3,9631","4,4100","4,5064","3,9211","-10,13%",2021,08,26
89,25.08.2021,"4,4100","4,3181","4,4696","4,1299","2,12%",2021,08,25
90,24.08.2021,"4,3182","4,8362","4,8562","4,1917","-10,71%",2021,08,24
91,23.08.2021,"4,8362","4,7845","4,8630","4,5849","1,08%",2021,08,23
92,22.08.2021,"4,7845","4,8768","4,9122","4,6445","-1,94%",2021,08,22
93,21.08.2021,"4,8791","5,1091","5,1671","4,8038","-4,50%",2021,08,21
94,20.08.2021,"5,1092","4,8935","5,4398","4,8572","4,56%",2021,08,20
95,19.08.2021,"4,8862","4,4111","4,8935","4,2446","10,77%",2021,08,19
96,18.08.2021,"4,4111","4,3300","4,6828","4,0058","1,87%",2021,08,18
97,17.08.2021,"4,3300","4,4200","4,8550","4,2601","-2,04%",2021,08,17
98,16.08.2021,"4,4200","4,3958","4,8717","4,3228","0,55%",2021,08,16
99,15.08.2021,"4,3958","4,3650","4,4524","4,1277","0,70%",2021,08,15
100,14.08.2021,"4,3650","4,2181","4,6003","4,1588","3,48%",2021,08,14
101,13.08.2021,"4,2181","3,9567","4,2297","3,8803","6,61%",2021,08,13
102,12.08.2021,"3,9567","4,0927","4,2045","3,7489","-3,36%",2021,08,12
103,11.08.2021,"4,0942","3,9095","4,3777","3,8613","4,73%",2021,08,11
104,10.08.2021,"3,9095","3,9074","4,0954","3,7930","0,05%",2021,08,10
105,09.08.2021,"3,9074","3,7784","3,9439","3,6138","3,41%",2021,08,09
106,08.08.2021,"3,7784","3,9893","3,9932","3,7152","-5,29%",2021,08,08
107,07.08.2021,"3,9893","4,0485","4,1876","3,8198","-1,46%",2021,08,07
108,06.08.2021,"4,0485","3,5500","4,1698","3,5500","14,04%",2021,08,06
109,05.08.2021,"3,5500","3,3500","3,6274","3,3500","5,97%",2021,08,05
110,04.08.2021,"3,3500","3,1752","3,3698","3,0634","5,50%",2021,08,04
111,03.08.2021,"3,1752","3,3713","3,3713","3,1001","-5,82%",2021,08,03
112,02.08.2021,"3,3713","3,4037","3,4948","3,2215","-0,95%",2021,08,02
113,01.08.2021,"3,4037","3,1771","4,4695","3,1771","7,13%",2021,08,01
114,31.07.2021,"3,1771","2,9758","3,2848","2,9277","6,77%",2021,07,31
115,30.07.2021,"2,9758","2,8920","3,1227","2,7264","2,89%",2021,07,30
116,29.07.2021,"2,8920","2,6732","2,9313","2,5988","8,19%",2021,07,29
117,28.07.2021,"2,6732","2,7018","2,7111","2,5656","-0,71%",2021,07,28
118,27.07.2021,"2,6924","2,5711","2,7665","2,4587","4,72%",2021,07,27
119,26.07.2021,"2,5711","2,5357","2,7914","2,5152","1,58%",2021,07,26
120,25.07.2021,"2,5312","2,4889","2,5312","2,4500","2,51%",2021,07,25
121,24.07.2021,"2,4692","2,3872","2,5696","2,3551","3,43%",2021,07,24
122,23.07.2021,"2,3872","2,3072","2,3885","2,2562","3,47%",2021,07,23
123,22.07.2021,"2,3072","2,2748","2,3260","2,2034","1,42%",2021,07,22
124,21.07.2021,"2,2748","2,1401","2,3045","2,0259","6,29%",2021,07,21
125,20.07.2021,"2,1401","2,2814","2,3033","2,0055","-6,19%",2021,07,20
126,19.07.2021,"2,2814","2,6331","2,6457","2,2589","-13,36%",2021,07,19
127,18.07.2021,"2,6331","2,2950","2,9083","2,2912","14,73%",2021,07,18
128,17.07.2021,"2,2950","2,2254","2,4099","2,2000","3,13%",2021,07,17
