Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,"1,99294","2,05900","2,05900","1,93400","-3,21%",2021,11,22
1,21.11.2021,"2,05900","2,05000","2,09900","2,00800","0,44%",2021,11,21
2,20.11.2021,"2,05000","1,99300","2,06300","1,96800","2,86%",2021,11,20
3,19.11.2021,"1,99300","1,94000","2,00700","1,86800","2,73%",2021,11,19
4,18.11.2021,"1,94000","2,19800","2,22000","1,91699","-11,54%",2021,11,18
5,17.11.2021,"2,19300","1,99173","2,65800","1,92172","10,11%",2021,11,17
6,16.11.2021,"1,99173","2,13292","2,13292","1,88875","-6,62%",2021,11,16
7,15.11.2021,"2,13292","2,09361","2,14692","2,06492","1,83%",2021,11,15
8,14.11.2021,"2,09461","2,11199","2,11799","2,04268","-0,82%",2021,11,14
9,13.11.2021,"2,11199","2,07500","2,19100","2,06700","1,78%",2021,11,13
10,12.11.2021,"2,07500","2,12300","2,12600","2,00000","-2,26%",2021,11,12
11,11.11.2021,"2,12300","2,07799","2,18000","2,07099","2,17%",2021,11,11
12,10.11.2021,"2,07799","2,17797","2,23899","1,99899","-4,59%",2021,11,10
13,09.11.2021,"2,17797","2,16600","2,20700","2,13700","0,46%",2021,11,09
14,08.11.2021,"2,16800","2,14400","2,18000","2,11200","1,12%",2021,11,08
15,07.11.2021,"2,14400","2,15900","2,16300","2,10400","-0,69%",2021,11,07
16,06.11.2021,"2,15900","2,12733","2,24539","2,07999","1,49%",2021,11,06
17,05.11.2021,"2,12733","2,16496","2,18156","2,09934","-1,74%",2021,11,05
18,04.11.2021,"2,16496","2,17598","2,18698","2,09797","-0,51%",2021,11,04
19,03.11.2021,"2,17598","2,22889","2,23289","2,09390","-2,37%",2021,11,03
20,02.11.2021,"2,22889","2,19200","2,23900","2,13200","1,64%",2021,11,02
21,01.11.2021,"2,19300","2,26283","2,36683","2,09986","-3,09%",2021,11,01
22,31.10.2021,"2,26283","2,14300","2,38086","2,06500","5,59%",2021,10,31
23,30.10.2021,"2,14300","2,05684","2,14300","2,00882","4,19%",2021,10,30
24,29.10.2021,"2,05684","1,97593","2,05984","1,96093","4,09%",2021,10,29
25,28.10.2021,"1,97593","1,88300","1,98393","1,83300","4,88%",2021,10,28
26,27.10.2021,"1,88400","2,08522","2,10825","1,81863","-9,74%",2021,10,27
27,26.10.2021,"2,08722","2,12900","2,13903","2,07321","-1,96%",2021,10,26
