Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,40.8133,41.6322,41.6621,39.5662,"-1,97%",2021,11,22
1,21.11.2021,41.6322,42.1094,42.7815,41.2904,"-1,13%",2021,11,21
2,20.11.2021,42.109,41.5213,42.3298,40.3376,"1,42%",2021,11,20
3,19.11.2021,41.5213,39.8417,41.7421,39.2884,"4,10%",2021,11,19
4,18.11.2021,39.8841,43.2612,43.6334,38.4694,"-7,81%",2021,11,18
5,17.11.2021,43.2634,42.83,43.4872,41.2192,"1,01%",2021,11,17
6,16.11.2021,42.83,47.0656,47.0688,40.6032,"-8,99%",2021,11,16
7,15.11.2021,47.0604,48.5038,49.1602,46.9659,"-2,97%",2021,11,15
8,14.11.2021,48.4992,49.0858,49.486,47.1475,"-1,22%",2021,11,14
9,13.11.2021,49.0961,47.3301,49.8005,46.6944,"3,72%",2021,11,13
10,12.11.2021,47.3337,48.5411,48.9811,45.6635,"-2,59%",2021,11,12
11,11.11.2021,48.5939,48.2686,50.1002,47.2235,"0,67%",2021,11,11
12,10.11.2021,48.2686,52.5354,53.1052,45.3279,"-8,05%",2021,11,10
13,09.11.2021,52.4916,50.5473,53.4092,49.9862,"3,84%",2021,11,9
14,08.11.2021,50.5519,46.3082,50.8623,45.7855,"9,23%",2021,11,8
15,07.11.2021,46.2797,44.9865,46.3374,44.677,"2,86%",2021,11,7
16,06.11.2021,44.9935,45.1567,45.6498,42.6293,"-0,34%",2021,11,6
17,05.11.2021,45.1474,46.4303,46.4303,44.6883,"-2,82%",2021,11,5
18,04.11.2021,46.4596,46.979,47.9769,45.0703,"-1,11%",2021,11,4
19,03.11.2021,46.979,46.3501,47.4911,44.6309,"1,38%",2021,11,3
20,02.11.2021,46.3401,45.1843,46.5771,44.8411,"2,56%",2021,11,2
21,01.11.2021,45.1843,44.6753,47.8557,42.1731,"1,27%",2021,11,1
22,31.10.2021,44.6175,42.5839,46.2976,42.364,"4,78%",2021,10,31
23,30.10.2021,42.5839,43.1623,43.3105,41.2184,"-1,30%",2021,10,30
24,29.10.2021,43.1469,41.3014,43.1584,41.0137,"4,47%",2021,10,29
25,28.10.2021,41.3014,39.1747,41.9427,39.0613,"5,43%",2021,10,28
26,27.10.2021,39.1747,44.2959,45.1619,37.5787,"-11,56%",2021,10,27
