Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,14.9708,15.2559,15.3184,14.5335,"-1,91%",2021,11,22
1,21.11.2021,15.2623,15.2064,16.0835,14.9879,"0,38%",2021,11,21
2,20.11.2021,15.2045,14.8106,15.476,14.4485,"2,66%",2021,11,20
3,19.11.2021,14.811,13.682,15.1143,13.2715,"8,23%",2021,11,19
4,18.11.2021,13.6846,15.132,15.5017,13.4254,"-9,62%",2021,11,18
5,17.11.2021,15.142,15.1262,15.4854,14.4416,"0,10%",2021,11,17
6,16.11.2021,15.1262,16.5439,16.5682,14.3015,"-8,57%",2021,11,16
7,15.11.2021,16.5439,17.3117,17.6426,16.5275,"-4,38%",2021,11,15
8,14.11.2021,17.3012,16.5939,18.0245,16.3585,"4,26%",2021,11,14
9,13.11.2021,16.5937,16.1402,16.8025,16.077,"2,60%",2021,11,13
10,12.11.2021,16.1737,16.3097,16.4634,15.3736,"-0,84%",2021,11,12
11,11.11.2021,16.3104,16.2573,16.5481,15.9094,"0,34%",2021,11,11
12,10.11.2021,16.2549,17.8184,17.9794,15.2864,"-8,72%",2021,11,10
13,09.11.2021,17.8085,17.046,18.3238,16.6853,"4,47%",2021,11,9
14,08.11.2021,17.0469,16.4675,17.3845,15.9922,"3,53%",2021,11,8
15,07.11.2021,16.4657,16.866,16.873,16.2557,"-2,36%",2021,11,7
16,06.11.2021,16.8636,15.8451,17.8399,15.719,"6,43%",2021,11,6
17,05.11.2021,15.8446,15.8552,16.2595,15.4578,"-0,06%",2021,11,5
18,04.11.2021,15.8549,16.2727,16.6228,15.3615,"-2,56%",2021,11,4
19,03.11.2021,16.2708,17.0029,17.014,15.2897,"-4,34%",2021,11,3
20,02.11.2021,17.0088,16.8229,18.0805,16.6403,"1,14%",2021,11,2
21,01.11.2021,16.8174,15.8009,19.1615,14.3883,"6,46%",2021,11,1
22,31.10.2021,15.7972,13.0847,16.381,12.9273,"20,88%",2021,10,31
23,30.10.2021,13.0685,13.2988,13.3984,12.6817,"-1,60%",2021,10,30
24,29.10.2021,13.2808,13.0307,13.4472,12.7608,"1,83%",2021,10,29
25,28.10.2021,13.0421,11.6625,13.5969,11.6591,"11,78%",2021,10,28
26,27.10.2021,11.6672,13.0798,13.2003,10.8654,"-10,76%",2021,10,27
27,26.10.2021,13.0741,13.2432,13.6585,12.9521,"-1,25%",2021,10,26
