Index,Fecha,Ultimo,Apertura,Maximo,Minimo,Var,Year,Month,Day
0,22.11.2021,1.99294,2.059,2.059,1.934,"-3,21%",2021,11,22
1,21.11.2021,2.059,2.05,2.099,2.008,"0,44%",2021,11,21
2,20.11.2021,2.05,1.993,2.063,1.968,"2,86%",2021,11,20
3,19.11.2021,1.993,1.94,2.007,1.868,"2,73%",2021,11,19
4,18.11.2021,1.94,2.198,2.22,1.91699,"-11,54%",2021,11,18
5,17.11.2021,2.193,1.99173,2.658,1.92172,"10,11%",2021,11,17
6,16.11.2021,1.99173,2.13292,2.13292,1.88875,"-6,62%",2021,11,16
7,15.11.2021,2.13292,2.09361,2.14692,2.06492,"1,83%",2021,11,15
8,14.11.2021,2.09461,2.11199,2.11799,2.04268,"-0,82%",2021,11,14
9,13.11.2021,2.11199,2.075,2.191,2.067,"1,78%",2021,11,13
10,12.11.2021,2.075,2.123,2.126,2.0,"-2,26%",2021,11,12
11,11.11.2021,2.123,2.07799,2.18,2.07099,"2,17%",2021,11,11
12,10.11.2021,2.07799,2.17797,2.23899,1.99899,"-4,59%",2021,11,10
13,09.11.2021,2.17797,2.166,2.207,2.137,"0,46%",2021,11,9
14,08.11.2021,2.168,2.144,2.18,2.112,"1,12%",2021,11,8
15,07.11.2021,2.144,2.159,2.163,2.104,"-0,69%",2021,11,7
16,06.11.2021,2.159,2.12733,2.24539,2.07999,"1,49%",2021,11,6
17,05.11.2021,2.12733,2.16496,2.18156,2.09934,"-1,74%",2021,11,5
18,04.11.2021,2.16496,2.17598,2.18698,2.09797,"-0,51%",2021,11,4
19,03.11.2021,2.17598,2.22889,2.23289,2.0939,"-2,37%",2021,11,3
20,02.11.2021,2.22889,2.192,2.239,2.132,"1,64%",2021,11,2
21,01.11.2021,2.193,2.26283,2.36683,2.09986,"-3,09%",2021,11,1
22,31.10.2021,2.26283,2.143,2.38086,2.065,"5,59%",2021,10,31
23,30.10.2021,2.143,2.05684,2.143,2.00882,"4,19%",2021,10,30
24,29.10.2021,2.05684,1.97593,2.05984,1.96093,"4,09%",2021,10,29
25,28.10.2021,1.97593,1.883,1.98393,1.833,"4,88%",2021,10,28
26,27.10.2021,1.884,2.08522,2.10825,1.81863,"-9,74%",2021,10,27
27,26.10.2021,2.08722,2.129,2.13903,2.07321,"-1,96%",2021,10,26
28,25.10.2021,2.129,2.08999,2.13,2.07099,"1,87%",2021,10,25
29,24.10.2021,2.08999,2.142,2.153,2.04899,"-2,43%",2021,10,24
30,23.10.2021,2.142,2.145,2.206,2.096,"-0,14%",2021,10,23
31,22.10.2021,2.145,2.056,2.344,2.055,"4,33%",2021,10,22
32,21.10.2021,2.056,2.16394,2.16811,2.03431,"-4,99%",2021,10,21
33,20.10.2021,2.16394,2.068,2.16394,2.034,"4,64%",2021,10,20
34,19.10.2021,2.068,2.019,2.076,1.99,"2,43%",2021,10,19
35,18.10.2021,2.019,2.08985,2.09986,1.97293,"-3,39%",2021,10,18
36,17.10.2021,2.08985,2.12589,2.13388,2.01583,"-1,70%",2021,10,17
37,16.10.2021,2.12589,2.13061,2.16197,2.08262,"-0,22%",2021,10,16
38,15.10.2021,2.13061,2.302,2.307,2.08553,"-7,45%",2021,10,15
