"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.11.2021","1,50860","1,35366","1,57314","1,29705","203,82M","11,44%"
"21.11.2021","1,35370","1,31018","1,38692","1,28803","40,38M","3,38%"
"20.11.2021","1,30938","1,29937","1,32906","1,25382","30,20M","0,75%"
"19.11.2021","1,29968","1,24743","1,31464","1,21388","38,94M","4,18%"
"18.11.2021","1,24749","1,45052","1,46939","1,23162","82,03M","-14,00%"
"17.11.2021","1,45052","1,34551","1,48009","1,28934","172,13M","7,76%"
"16.11.2021","1,34605","1,32203","1,43464","1,12734","147,15M","1,82%"
"15.11.2021","1,32198","1,29851","1,33150","1,28115","23,26M","1,81%"
"14.11.2021","1,29845","1,31026","1,32033","1,27972","12,20M","-0,92%"
"13.11.2021","1,31044","1,28342","1,32381","1,26688","22,96M","2,11%"
"12.11.2021","1,28342","1,33002","1,33841","1,24573","26,85M","-3,50%"
"11.11.2021","1,32998","1,29658","1,34791","1,28001","33,87M","2,55%"
"10.11.2021","1,29687","1,40676","1,43444","1,21042","75,44M","-7,81%"
"09.11.2021","1,40676","1,37640","1,44870","1,36294","58,87M","2,21%"
"08.11.2021","1,37630","1,33137","1,37974","1,31353","34,95M","3,38%"
"07.11.2021","1,33129","1,32945","1,33439","1,31345","15,88M","0,16%"
"06.11.2021","1,32920","1,35589","1,35622","1,27671","25,61M","-1,96%"
"05.11.2021","1,35583","1,33616","1,36956","1,31742","31,22M","1,42%"
"04.11.2021","1,33686","1,35319","1,37346","1,31012","32,92M","-1,20%"
"03.11.2021","1,35309","1,37872","1,38081","1,29405","36,15M","-1,82%"
"02.11.2021","1,37820","1,38451","1,38571","1,35197","31,69M","-0,43%"
"01.11.2021","1,38409","1,45808","1,47086","1,35625","38,54M","-5,03%"
"31.10.2021","1,45736","1,38887","1,50000","1,31279","84,68M","4,98%"
"30.10.2021","1,38818","1,28180","1,43244","1,22737","81,28M","8,44%"
"29.10.2021","1,28012","1,23587","1,29116","1,23210","26,36M","3,60%"
"28.10.2021","1,23568","1,18308","1,24947","1,17192","35,88M","4,41%"
"27.10.2021","1,18351","1,36232","1,38240","1,11866","66,09M","-13,07%"
"26.10.2021","1,36138","1,32427","1,41684","1,31621","48,67M","2,80%"
"25.10.2021","1,32435","1,29139","1,32859","1,28094","21,73M","2,57%"
"24.10.2021","1,29119","1,31145","1,33970","1,25673","27,48M","-1,60%"
"23.10.2021","1,31222","1,33320","1,33524","1,29020","25,88M","-1,57%"
"22.10.2021","1,33320","1,26742","1,36351","1,26675","50,74M","5,26%"
"21.10.2021","1,26657","1,28708","1,30752","1,24294","40,97M","-1,58%"
"20.10.2021","1,28696","1,22250","1,30043","1,20642","44,08M","5,26%"
"19.10.2021","1,22262","1,22167","1,23441","1,20103","19,51M","0,04%"
"18.10.2021","1,22207","1,23200","1,23773","1,19321","26,20M","-0,82%"
"17.10.2021","1,23214","1,28007","1,29152","1,19066","32,00M","-3,72%"
"16.10.2021","1,27980","1,27693","1,32271","1,25807","33,28M","0,25%"
"15.10.2021","1,27659","1,33656","1,33952","1,24652","41,79M","-4,52%"
"14.10.2021","1,33695","1,34465","1,37114","1,31864","28,30M","-0,57%"
"13.10.2021","1,34460","1,32990","1,35074","1,28435","33,77M","1,12%"
"12.10.2021","1,32973","1,43450","1,43450","1,26856","57,49M","-7,28%"
"11.10.2021","1,43413","1,39640","1,58522","1,39012","122,79M","2,64%"
"10.10.2021","1,39721","1,37902","1,50682","1,35869","98,10M","1,32%"
"09.10.2021","1,37898","1,33247","1,38210","1,29547","40,05M","3,60%"
"08.10.2021","1,33108","1,28117","1,34383","1,26703","46,55M","3,89%"
"07.10.2021","1,28120","1,28904","1,30149","1,24330","54,83M","-0,59%"
"06.10.2021","1,28885","1,22414","1,33726","1,19257","86,74M","5,18%"
"05.10.2021","1,22539","1,19485","1,24082","1,17555","35,12M","2,59%"
"04.10.2021","1,19447","1,21930","1,23380","1,15951","53,54M","-2,05%"
"03.10.2021","1,21945","1,26732","1,33001","1,20930","81,97M","-3,78%"
"02.10.2021","1,26732","1,31417","1,34158","1,18916","129,62M","-3,58%"
"01.10.2021","1,31432","1,14696","1,34714","1,13597","72,02M","14,58%"
"30.09.2021","1,14709","1,04190","1,15972","1,02600","55,75M","9,97%"
"29.09.2021","1,04307","1,04639","1,11181","1,01863","64,69M","-0,32%"
"28.09.2021","1,04642","1,13053","1,14842","1,04510","40,40M","-7,44%"
"27.09.2021","1,13055","1,17104","1,21186","1,13055","39,09M","-3,45%"
"26.09.2021","1,17094","1,22233","1,22782","1,10914","49,97M","-4,22%"
"25.09.2021","1,22255","1,25747","1,27125","1,20839","33,56M","-2,78%"
"24.09.2021","1,25747","1,38200","1,38466","1,18491","59,86M","-8,98%"
"23.09.2021","1,38153","1,35811","1,39909","1,31949","42,67M","1,74%"
"22.09.2021","1,35788","1,21348","1,37228","1,19726","67,25M","11,88%"
"21.09.2021","1,21368","1,29247","1,34571","1,17950","72,38M","-6,09%"
"20.09.2021","1,29240","1,52379","1,52726","1,26959","85,81M","-15,18%"
"19.09.2021","1,52379","1,65407","1,65478","1,49777","37,11M","-7,88%"
"18.09.2021","1,65410","1,73585","1,74192","1,60175","52,99M","-4,67%"
"17.09.2021","1,73519","1,51308","1,75240","1,48148","119,98M","14,68%"
"16.09.2021","1,51308","1,60010","1,62490","1,46470","41,63M","-5,39%"
"15.09.2021","1,59932","1,55418","1,65019","1,51240","55,26M","3,19%"
"14.09.2021","1,54990","1,39540","1,55993","1,37660","65,39M","11,06%"
"13.09.2021","1,39553","1,50720","1,51902","1,30093","54,38M","-7,45%"
"12.09.2021","1,50783","1,49768","1,53911","1,44698","39,45M","0,68%"
"11.09.2021","1,49768","1,53417","1,56379","1,47399","42,54M","-2,28%"
"10.09.2021","1,53257","1,55597","1,76001","1,48899","109,97M","-1,49%"
"09.09.2021","1,55576","1,51473","1,61658","1,48615","84,26M","2,72%"
"08.09.2021","1,51462","1,51263","1,71717","1,41815","129,20M","0,41%"
"07.09.2021","1,50848","1,79809","1,87563","1,26376","154,12M","-16,07%"
"06.09.2021","1,79723","1,79880","1,97195","1,75913","113,37M","-0,09%"
"05.09.2021","1,79880","1,97913","1,97913","1,72897","118,74M","-9,04%"
"04.09.2021","1,97767","1,56801","2,06553","1,54623","244,88M","26,13%"
"03.09.2021","1,56801","1,54037","1,64823","1,49029","155,37M","1,79%"
"02.09.2021","1,54037","1,13063","1,64934","1,12175","373,87M","36,14%"
"01.09.2021","1,13145","0,98532","1,14530","0,95915","106,92M","14,61%"
"31.08.2021","0,98722","0,96332","1,01882","0,95078","34,94M","2,45%"
"30.08.2021","0,96365","0,99739","1,01679","0,95440","36,14M","-3,32%"
"29.08.2021","0,99678","1,00861","1,02787","0,97705","25,66M","-1,16%"
"28.08.2021","1,00851","1,03485","1,03953","0,99708","24,27M","-2,57%"
"27.08.2021","1,03512","0,96899","1,03891","0,93489","39,34M","6,82%"
"26.08.2021","0,96899","1,07771","1,08685","0,95671","40,68M","-10,10%"
"25.08.2021","1,07789","1,05614","1,08342","1,00204","45,28M","2,07%"
"24.08.2021","1,05604","1,15289","1,17131","1,05003","42,74M","-8,42%"
"23.08.2021","1,15318","1,16300","1,18579","1,12198","41,75M","-0,85%"
"22.08.2021","1,16304","1,06757","1,16871","1,06076","51,76M","8,92%"
"21.08.2021","1,06775","1,10212","1,11463","1,05513","30,92M","-3,12%"
"20.08.2021","1,10212","1,05442","1,11349","1,03499","37,90M","4,52%"
"19.08.2021","1,05442","0,99678","1,05442","0,94761","41,11M","5,78%"
"18.08.2021","0,99678","1,01508","1,05342","0,96013","40,04M","-1,80%"
"17.08.2021","1,01508","1,09719","1,13350","0,99539","48,79M","-7,48%"
"16.08.2021","1,09719","1,15772","1,20960","1,09175","47,16M","-5,23%"
"15.08.2021","1,15777","1,15358","1,17056","1,09447","31,90M","0,35%"
"14.08.2021","1,15377","1,09907","1,16070","1,07160","60,69M","4,98%"
"13.08.2021","1,09907","1,03503","1,10424","1,02172","64,94M","6,35%"
"12.08.2021","1,03348","1,03860","1,10250","0,96343","51,64M","-0,51%"
"11.08.2021","1,03877","0,96245","1,06726","0,95517","71,66M","7,93%"
"10.08.2021","0,96249","0,90062","0,98267","0,88670","59,24M","6,85%"
"09.08.2021","0,90078","0,85266","0,90876","0,82869","30,71M","5,64%"
"08.08.2021","0,85266","0,91322","0,92079","0,83536","30,70M","-6,62%"
"07.08.2021","0,91312","0,88655","0,93038","0,87682","33,96M","3,03%"
"06.08.2021","0,88628","0,84659","0,91024","0,82236","34,63M","4,70%"
"05.08.2021","0,84651","0,84725","0,85332","0,80163","31,76M","-0,08%"
"04.08.2021","0,84722","0,82307","0,86277","0,81151","24,37M","2,93%"
"03.08.2021","0,82307","0,86611","0,87574","0,82072","30,12M","-4,99%"
"02.08.2021","0,86631","0,85456","0,90100","0,84286","27,66M","1,09%"
"01.08.2021","0,85695","0,91308","0,93856","0,84423","40,49M","-6,17%"
"31.07.2021","0,91329","0,81965","0,91896","0,80920","44,22M","11,43%"
"30.07.2021","0,81964","0,83028","0,84491","0,77324","33,00M","-1,29%"
"29.07.2021","0,83039","0,82773","0,86185","0,80637","23,35M","0,50%"
"28.07.2021","0,82626","0,86240","0,86611","0,81298","29,86M","-4,16%"
"27.07.2021","0,86213","0,74354","0,87617","0,72413","58,69M","15,96%"
"26.07.2021","0,74346","0,72963","0,81886","0,72497","57,01M","1,91%"
"25.07.2021","0,72952","0,73409","0,73545","0,69698","26,83M","7,29%"
"24.07.2021","0,67998","0,67521","0,69138","0,67098","28,01M","0,72%"
"23.07.2021","0,67512","0,64360","0,68149","0,63441","37,35M","4,93%"
"22.07.2021","0,64340","0,63917","0,65463","0,62278","29,47M","0,67%"
"21.07.2021","0,63909","0,58355","0,64525","0,56916","41,98M","9,52%"
"20.07.2021","0,58355","0,61763","0,63063","0,56932","45,55M","-5,52%"
"19.07.2021","0,61763","0,67471","0,67774","0,61555","34,26M","-8,46%"
"18.07.2021","0,67471","0,67972","0,70687","0,65985","29,24M","-0,74%"
"17.07.2021","0,67972","0,64889","0,70648","0,64316","38,75M","4,70%"
"16.07.2021","0,64921","0,68547","0,70615","0,64506","33,49M","-5,21%"
"15.07.2021","0,68490","0,73077","0,74394","0,67644","32,42M","-6,31%"
"14.07.2021","0,73104","0,74859","0,74987","0,69109","32,82M","-2,40%"
"13.07.2021","0,74899","0,78614","0,80013","0,72635","30,66M","-4,76%"
"12.07.2021","0,78642","0,83150","0,83548","0,77352","19,86M","-5,42%"
"11.07.2021","0,83150","0,78369","0,83910","0,77162","21,68M","6,12%"
"10.07.2021","0,78357","0,81284","0,82803","0,77037","21,98M","-3,55%"
"09.07.2021","0,81239","0,80861","0,83408","0,77952","30,70M","0,45%"
"08.07.2021","0,80877","0,88125","0,88125","0,79545","28,73M","-8,20%"
"07.07.2021","0,88100","0,84370","0,91947","0,83090","42,78M","4,42%"
"06.07.2021","0,84370","0,81495","0,87200","0,81381","31,69M","3,64%"
"05.07.2021","0,81405","0,83741","0,86110","0,79909","35,19M","-2,80%"
"04.07.2021","0,83747","0,83279","0,86903","0,81184","31,77M","0,56%"
