"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.11.2021","4,5510","4,6410","4,6465","4,3862","167,34K","-2,00%"
"21.11.2021","4,6438","4,9095","4,9318","4,6278","169,95K","-5,41%"
"20.11.2021","4,9095","4,6842","4,9800","4,6842","116,11K","4,81%"
"19.11.2021","4,6842","4,1930","4,7160","4,1351","123,96K","11,71%"
"18.11.2021","4,1930","4,6430","4,6625","4,0897","326,59K","-9,69%"
"17.11.2021","4,6430","4,6110","4,7075","4,4086","132,27K","0,69%"
"16.11.2021","4,6110","5,0344","5,0344","4,3922","584,35K","-8,41%"
"15.11.2021","5,0344","5,0995","5,2160","5,0000","144,99K","-1,28%"
"14.11.2021","5,0995","5,1552","5,2937","4,9849","78,60K","-1,14%"
"13.11.2021","5,1583","5,0400","5,2297","4,9392","180,97K","2,35%"
"12.11.2021","5,0400","5,1256","5,2377","4,8615","220,63K","-1,86%"
"11.11.2021","5,1356","5,0414","5,2819","4,9721","335,21K","1,87%"
"10.11.2021","5,0414","5,4325","5,6150","4,6313","553,68K","-7,20%"
"09.11.2021","5,4325","5,6084","5,7046","5,3966","690,43K","-3,07%"
"08.11.2021","5,6046","5,5132","5,6632","5,4431","290,02K","1,66%"
"07.11.2021","5,5132","5,5570","5,5951","5,4564","174,46K","-0,79%"
"06.11.2021","5,5570","5,5953","5,9049","5,4223","188,40K","-0,75%"
"05.11.2021","5,5989","5,4811","5,9375","5,4033","350,96K","2,15%"
"04.11.2021","5,4811","5,4352","5,5844","5,2945","189,36K","0,84%"
"03.11.2021","5,4352","5,4078","5,6086","5,2416","315,86K","0,65%"
"02.11.2021","5,4000","5,3955","5,4866","5,2965","334,90K","0,08%"
"01.11.2021","5,3955","5,5048","5,5188","5,2450","348,00K","-1,99%"
"31.10.2021","5,5048","5,4631","5,6681","5,2200","429,36K","0,76%"
"30.10.2021","5,4631","5,6738","5,8668","5,3485","334,97K","-3,71%"
"29.10.2021","5,6738","5,2644","5,8556","5,2094","330,63K","7,78%"
"28.10.2021","5,2644","5,1168","5,4063","5,0200","428,30K","2,88%"
"27.10.2021","5,1168","5,8933","5,9394","4,8510","881,24K","-13,18%"
"26.10.2021","5,8933","5,7080","6,1868","5,7080","415,72K","3,25%"
"25.10.2021","5,7080","5,5498","5,7800","5,5226","337,28K","2,85%"
"24.10.2021","5,5498","5,7926","5,7941","5,4095","291,34K","-4,19%"
"23.10.2021","5,7926","5,7589","5,8530","5,7104","161,30K","0,59%"
"22.10.2021","5,7589","5,7223","5,9310","5,6432","374,53K","0,64%"
"21.10.2021","5,7223","6,0196","6,1122","5,6654","395,30K","-4,94%"
