"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.11.2021","3,5219","3,3647","3,5859","3,3278","751,42K","4,67%"
"21.11.2021","3,3647","3,4403","3,6450","3,3618","873,86K","-2,20%"
"20.11.2021","3,4403","3,1964","3,7833","3,1140","2,09M","7,63%"
"19.11.2021","3,1965","3,1389","3,2266","2,9921","533,42K","1,83%"
"18.11.2021","3,1389","3,4131","3,5012","3,0017","646,69K","-8,03%"
"17.11.2021","3,4131","3,2512","3,4421","3,1363","729,21K","4,98%"
"16.11.2021","3,2512","3,3935","3,3983","3,0568","824,99K","-4,21%"
"15.11.2021","3,3940","3,4504","3,4750","3,3712","478,10K","-1,63%"
"14.11.2021","3,4504","3,4683","3,5160","3,4055","293,75K","-0,52%"
"13.11.2021","3,4683","3,4427","3,5367","3,4062","390,43K","0,74%"
"12.11.2021","3,4427","3,4820","3,6218","3,2941","881,26K","-1,13%"
"11.11.2021","3,4820","3,4280","3,5401","3,3562","509,73K","1,58%"
"10.11.2021","3,4280","3,7635","3,8174","3,3501","1,65M","-8,91%"
"09.11.2021","3,7635","3,6350","3,7892","3,5882","658,03K","3,34%"
"08.11.2021","3,6419","3,5673","3,7128","3,5051","1,43M","2,10%"
"07.11.2021","3,5671","3,4309","3,5780","3,4062","579,49K","3,97%"
"06.11.2021","3,4309","3,4852","3,5616","3,3821","886,17K","-1,56%"
"05.11.2021","3,4852","3,5368","3,6651","3,4322","834,43K","-1,46%"
"04.11.2021","3,5368","3,6610","3,6976","3,5111","465,87K","-3,39%"
"03.11.2021","3,6610","3,5418","3,7465","3,4312","1,39M","3,37%"
"02.11.2021","3,5418","3,4452","3,6115","3,4174","637,70K","2,80%"
"01.11.2021","3,4452","3,4740","3,5427","3,3203","650,61K","-0,83%"
"31.10.2021","3,4740","3,3780","3,5849","3,3704","1,05M","2,84%"
"30.10.2021","3,3780","3,4069","3,5512","3,3131","937,55K","-0,85%"
"29.10.2021","3,4069","3,4289","3,4779","3,3830","596,05K","-0,64%"
"28.10.2021","3,4289","3,3051","3,4549","3,2471","1,06M","3,72%"
"27.10.2021","3,3061","3,6781","3,7220","3,3061","919,94K","-10,28%"
"26.10.2021","3,6850","3,8209","4,0736","3,6561","2,11M","-3,56%"
"25.10.2021","3,8209","3,7710","4,0081","3,7521","1,14M","1,32%"
"24.10.2021","3,7710","3,7251","3,7866","3,6161","646,04K","1,23%"
"23.10.2021","3,7251","3,7310","3,7790","3,6832","542,11K","-0,16%"
"22.10.2021","3,7310","3,6140","3,9502","3,5952","2,25M","3,24%"
"21.10.2021","3,6140","3,4730","3,6417","3,4443","1,05M","4,06%"
"20.10.2021","3,4730","3,3530","3,4730","3,2801","1,07M","3,58%"
"19.10.2021","3,3530","3,4548","3,4719","3,3160","384,70K","-2,95%"
"18.10.2021","3,4548","3,3560","3,6410","3,2694","2,55M","2,94%"
