time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T12:00:01.7720000Z,2021-02-23T23:59:52.0400000Z,2.6401,3.9,2.64,3.6667,297523.13,4380
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:00.3460000Z,2021-02-24T23:59:38.2320000Z,3.6972,4.6,3.4073,3.6385,595524.89,14150
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:24.0640000Z,2021-02-25T23:59:48.0820000Z,3.6435,4.6778,3.5116,3.934,1532077.75,31776
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:11.6210000Z,2021-02-26T23:59:52.0430000Z,3.9186,5.188,3.7881,4.5048,2697869.9,53579
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:07.3500000Z,2021-02-27T23:59:41.2620000Z,4.5048,4.8685,4.006,4.1732,1036470.63,28232
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:24.4470000Z,2021-02-28T23:59:54.0330000Z,4.1492,4.2328,3.51,3.8466,988510.32,15210
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:00.3060000Z,2021-03-01T23:59:28.1940000Z,3.8544,4.2,3.784,4.1206,752767.01,13522
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:02.8050000Z,2021-03-02T23:59:24.9560000Z,4.1206,4.3519,3.811,4.016,641745.72,14383
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:17.9250000Z,2021-03-03T23:59:57.0470000Z,4.004,4.3161,3.99,4.072,526711.62,10911
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:03.0030000Z,2021-03-04T23:59:22.1050000Z,4.0712,4.2399,3.75,3.8272,630019.44,11208
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:01.8600000Z,2021-03-05T23:59:25.8740000Z,3.8332,3.8504,3.5263,3.727,445786.77,9328
