time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T11:00:01.4130000Z,2021-02-24T23:59:59.7380000Z,19.7,28.0,15.0,17.829,1144278.508,77775
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:00.1350000Z,2021-02-25T23:59:54.2370000Z,17.829,23.0,14.221,14.229,692527.726,54827
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:03.0880000Z,2021-02-26T23:59:56.7060000Z,14.229,16.048,11.157,11.676,128597.544,9300
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:44.6960000Z,2021-02-27T23:57:02.7170000Z,11.595,14.142,11.222,11.624,86352.047,9780
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:01:24.2830000Z,2021-02-28T23:59:40.5710000Z,11.554,11.954,8.547,9.464,107465.21,9164
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:01:41.6330000Z,2021-03-01T23:59:39.6740000Z,9.464,14.5,9.329,13.8,227198.819,22772
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:08.4250000Z,2021-03-02T23:59:01.8130000Z,13.8,15.0,11.551,12.012,87563.132,9377
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:38.0160000Z,2021-03-03T23:30:29.6880000Z,12.014,13.096,11.63,12.398,45071.062,4076
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:25.4930000Z,2021-03-04T23:44:28.8330000Z,12.3,12.772,10.449,10.735,29298.441,2917
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:01:36.6840000Z,2021-03-05T23:59:14.7190000Z,10.811,11.0,10.0,10.655,26596.992,2298
