time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T07:11:23.9100000Z,2021-10-05T23:59:56.3190000Z,3.654,5.437,3.45,4.73,39203021.7,345878
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:00.0550000Z,2021-10-06T23:59:56.1320000Z,4.732,5.19,4.005,4.37,22401785.2,197912
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:01.7230000Z,2021-10-07T23:59:58.6760000Z,4.372,4.399,3.69,3.809,10611440.7,77709
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:00.5470000Z,2021-10-08T23:59:48.0520000Z,3.814,4.075,3.534,3.672,6683106.7,48956
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:10.1660000Z,2021-10-09T23:59:31.9430000Z,3.674,4.144,3.598,3.707,7293931.1,50046
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:13.7300000Z,2021-10-10T23:59:53.1560000Z,3.711,3.864,3.404,3.451,4062361.8,25886
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:00.3720000Z,2021-10-11T23:59:54.1100000Z,3.45,4.23,3.382,3.793,7711978.6,54961
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:01.7920000Z,2021-10-12T23:59:18.6380000Z,3.792,3.824,3.4,3.545,4086111.1,24844
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:19.0130000Z,2021-10-13T23:59:52.4240000Z,3.541,3.699,3.265,3.477,4529029.3,31946
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:03.0340000Z,2021-10-14T23:59:07.1410000Z,3.472,3.989,3.452,3.661,5272825.8,37554
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:11.7900000Z,2021-10-15T23:59:12.4160000Z,3.661,3.85,3.475,3.578,3547898.5,26616
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:21.6330000Z,2021-10-16T23:59:57.3730000Z,3.578,3.81,3.488,3.711,2820172.3,23374
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:12.4180000Z,2021-10-17T23:59:56.5860000Z,3.716,4.139,3.639,3.847,6035062.7,44682
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:09.8380000Z,2021-10-18T23:59:34.0910000Z,3.843,4.06,3.584,3.641,2632118.6,20473
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:11.4880000Z,2021-10-19T23:59:40.3680000Z,3.642,3.71,3.55,3.623,1431137.8,10736
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:01.9540000Z,2021-10-20T23:59:59.6400000Z,3.623,3.686,3.454,3.565,2268452.8,13407
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:25.2480000Z,2021-10-21T23:59:49.5520000Z,3.565,3.787,3.316,3.358,2999988.8,17821
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:03.0600000Z,2021-10-22T23:59:59.2070000Z,3.354,3.429,3.173,3.272,2093632.4,19550
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:01.1250000Z,2021-10-23T23:59:38.5080000Z,3.273,3.369,3.11,3.123,1496761.2,9893
