time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T06:00:01.2870000Z,2021-03-15T23:59:59.9980000Z,49.4998,50.0,5.1,20.7403,69881625.48,2582669
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:00.1000000Z,2021-03-16T23:59:58.7210000Z,20.7406,25.6958,15.501,17.059,15782336.05,665707
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:00.3320000Z,2021-03-17T23:59:59.2460000Z,17.0148,18.8171,14.0851,14.5949,5941521.83,291493
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:00.2010000Z,2021-03-18T23:59:59.5370000Z,14.5948,19.9247,14.3023,17.0141,10488967.7,450473
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:00.2420000Z,2021-03-19T23:59:59.6030000Z,17.0125,17.9999,14.96,15.1616,4100834.18,212683
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:01.2810000Z,2021-03-20T23:59:59.0770000Z,15.163,15.58,14.27,14.354,2333038.7,115503
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:02.2780000Z,2021-03-21T23:59:59.2940000Z,14.3576,14.6557,13.11,14.0612,3167133.68,145254
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:02.2560000Z,2021-03-22T23:59:59.3650000Z,14.0595,14.1569,12.0,12.05,3011574.37,125443
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:05.1980000Z,2021-03-23T23:59:48.4420000Z,12.0766,12.4644,11.4406,11.6019,2531767.67,96192
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:02.5330000Z,2021-03-24T23:59:59.1780000Z,11.6029,14.6731,11.46,11.8748,4817684.07,172834
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:02.2140000Z,2021-03-25T23:59:52.7330000Z,11.8748,12.4991,10.482,10.9276,2823302.94,95311
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:01.4660000Z,2021-03-26T23:59:56.6790000Z,10.9269,13.85,10.8856,13.4349,3326521.55,110815
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:07.1230000Z,2021-03-27T23:59:59.9900000Z,13.4349,14.5089,12.2,13.4282,3065054.71,103139
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:00.0310000Z,2021-03-28T23:59:59.8320000Z,13.3973,18.23,13.3208,16.6867,9202503.68,323685
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:00.4550000Z,2021-03-29T23:59:57.1480000Z,16.6697,16.8456,15.251,15.8213,2855370.0,115289
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:08.4200000Z,2021-03-30T23:59:54.4850000Z,15.8213,17.2768,15.1509,16.0268,2737484.44,105038
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:04.9220000Z,2021-03-31T23:59:46.6450000Z,16.0496,16.5417,13.5,14.6286,2759091.69,113908
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:02.9730000Z,2021-04-01T23:59:52.9440000Z,14.6269,15.31,13.73,14.3355,1672813.13,72130
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:01.6290000Z,2021-04-02T23:59:59.2860000Z,14.335,15.1002,14.1,14.7097,1452239.75,63860
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:19.2510000Z,2021-04-03T23:59:59.7910000Z,14.7098,15.489,13.2,13.4899,1682466.13,88488
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:01.0700000Z,2021-04-04T23:59:52.7390000Z,13.4898,14.5,13.2641,14.3339,2071416.81,102659
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:09.7930000Z,2021-04-05T23:59:52.2930000Z,14.3339,15.1632,13.5533,14.204,1271183.98,66841
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:01.4070000Z,2021-04-06T23:59:57.0140000Z,14.204,15.4138,13.81,14.1492,1634974.25,79293
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:03.5400000Z,2021-04-07T23:59:57.2510000Z,14.1491,14.25,11.56,12.1977,2136380.79,86585
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:00.3590000Z,2021-04-08T23:59:47.8080000Z,12.1987,13.3153,12.0595,12.8567,1361226.05,57216
