time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T08:09:15.5950000Z,2021-08-11T23:59:52.2770000Z,1.3673,1.48,1.2002,1.2514,13564038.9,55136
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:42.9740000Z,2021-08-12T23:59:30.0060000Z,1.2516,1.2586,1.0101,1.1273,6923008.4,28381
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:01.0750000Z,2021-08-13T23:59:48.3710000Z,1.1274,1.1673,1.025,1.1058,2503017.7,10321
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:03:18.6920000Z,2021-08-14T23:59:43.3250000Z,1.1051,1.1175,1.025,1.0874,2049835.5,9481
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:07.3070000Z,2021-08-15T23:58:06.8410000Z,1.0902,1.1581,1.073,1.1153,1813375.8,8856
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:01:33.4340000Z,2021-08-16T23:58:21.2550000Z,1.1164,1.2068,1.1,1.1331,2118357.7,11832
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:01:05.3060000Z,2021-08-17T23:59:58.8410000Z,1.1302,1.79,1.0983,1.3959,26754366.6,121458
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:01.2560000Z,2021-08-18T23:59:49.2160000Z,1.4005,1.6,1.2576,1.3964,22565782.0,106383
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:00:43.0260000Z,2021-08-19T23:59:35.4470000Z,1.3961,1.446,1.3,1.3905,4617753.8,25839
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:58.0800000Z,2021-08-20T23:59:07.0620000Z,1.3904,1.5004,1.3827,1.4412,3667725.8,20536
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:21.3520000Z,2021-08-21T23:56:12.2950000Z,1.4436,1.62,1.3917,1.413,3738300.7,25063
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:01:14.0500000Z,2021-08-22T23:58:32.5860000Z,1.4127,1.4648,1.3105,1.3512,1855379.7,11786
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:00:02.3630000Z,2021-08-23T23:56:04.3540000Z,1.3514,1.4477,1.3455,1.3941,1419290.3,9072
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:03:00.9970000Z,2021-08-24T23:59:50.5790000Z,1.3992,1.4067,1.2561,1.2784,1460004.1,7163
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:04:30.6370000Z,2021-08-25T23:59:01.7310000Z,1.281,1.4,1.2134,1.3692,1708108.8,9805
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:04:11.5040000Z,2021-08-26T23:59:13.8290000Z,1.3673,1.371,1.2232,1.2369,1487751.6,7467
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:01:31.5660000Z,2021-08-27T23:59:43.0350000Z,1.2369,1.2972,1.1608,1.2972,1335252.3,8188
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:31.4690000Z,2021-08-28T23:59:23.7660000Z,1.2971,1.3,1.2,1.2333,1546250.4,9988
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:02:19.4530000Z,2021-08-29T23:59:56.2500000Z,1.2359,1.4417,1.2085,1.3657,4596014.9,25492
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:00.2260000Z,2021-08-30T23:58:47.2380000Z,1.3656,1.3656,1.2033,1.2124,1959294.7,10120
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:20.8750000Z,2021-08-31T23:56:11.5080000Z,1.2078,1.284,1.2002,1.2134,1281410.0,7181
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:10.3640000Z,2021-09-01T23:59:59.3260000Z,1.2102,1.2677,1.17,1.261,1670087.5,8362
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:15.3640000Z,2021-09-02T23:57:41.5210000Z,1.261,1.2848,1.1902,1.2128,1313221.2,6929
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:01:50.1820000Z,2021-09-03T23:59:01.0700000Z,1.2128,1.2281,1.18,1.2182,969043.4,5069
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:01:50.4020000Z,2021-09-04T23:55:35.7500000Z,1.2144,1.2182,1.1635,1.1779,1132355.1,6518
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:11:04.7340000Z,2021-09-05T23:59:41.7450000Z,1.1773,1.1965,1.143,1.1875,1167063.7,7115
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:01:15.5130000Z,2021-09-06T23:59:54.2640000Z,1.1888,1.3004,1.1834,1.2926,3040471.4,15885
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:02.7430000Z,2021-09-07T23:58:13.3110000Z,1.2909,1.35,0.8641,1.0548,4315666.6,17211
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:02.5870000Z,2021-09-08T23:58:01.7030000Z,1.0555,1.0603,0.8891,0.9915,2438098.7,9728
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:58.9490000Z,2021-09-09T23:59:41.8400000Z,0.9926,1.0706,0.9689,1.0361,1547755.8,7207
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:10:47.6180000Z,2021-09-10T23:59:51.0410000Z,1.032,1.0666,0.9097,0.9296,1208642.5,6150
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:43.2780000Z,2021-09-11T23:59:36.8150000Z,0.9277,1.0528,0.9195,1.0507,1556599.7,6733
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:08.1410000Z,2021-09-12T23:59:26.3380000Z,1.0507,1.293,1.0246,1.1269,19151932.9,83158
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:21.2250000Z,2021-09-13T23:58:16.8440000Z,1.1247,1.1372,0.9821,1.0173,3248690.9,15183
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:45.8420000Z,2021-09-14T23:59:25.3660000Z,1.0166,1.2059,1.0138,1.1499,3928472.3,17504
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:12.2680000Z,2021-09-15T23:58:26.5350000Z,1.1509,1.1685,1.118,1.1265,1137296.9,6411
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:04:27.2720000Z,2021-09-16T23:59:41.1390000Z,1.1277,1.3,1.1125,1.2167,2170378.8,11637
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:00.8880000Z,2021-09-17T23:59:21.0740000Z,1.2168,1.2433,1.0637,1.0827,2062172.7,8678
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:48.3690000Z,2021-09-18T23:58:10.3330000Z,1.0833,1.1762,1.0748,1.1334,1169582.5,6678
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:01:15.2130000Z,2021-09-19T23:47:08.3150000Z,1.1305,1.1325,1.0502,1.0602,1529050.7,5577
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:31.3010000Z,2021-09-20T23:59:13.5680000Z,1.0629,1.2279,0.88,1.0261,10589962.9,45419
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:02:05.0570000Z,2021-09-21T23:59:00.9260000Z,1.0255,1.1383,0.9577,0.9839,10093170.8,49401
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:18.3460000Z,2021-09-22T23:58:17.9680000Z,0.9839,1.0884,0.9772,1.0872,2165485.6,9951
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:48.3530000Z,2021-09-23T23:58:55.1590000Z,1.0884,1.0884,1.02,1.0461,1701025.4,7788
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:34.6610000Z,2021-09-24T23:59:09.2910000Z,1.0499,1.05,0.9,0.9535,2606476.4,8194
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:30.3710000Z,2021-09-25T23:58:22.3920000Z,0.9546,0.9547,0.9003,0.9108,1300822.8,4081
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:40.0190000Z,2021-09-26T23:58:23.2500000Z,0.9082,0.9087,0.8,0.8649,2752236.6,8628
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:09:58.0860000Z,2021-09-27T23:59:37.3960000Z,0.8645,0.9188,0.8204,0.8342,2391611.6,6525
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:01:54.4580000Z,2021-09-28T23:59:10.3490000Z,0.8353,0.9228,0.8248,0.87,4628323.0,14069
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:25.0610000Z,2021-09-29T23:59:13.3810000Z,0.87,0.9143,0.835,0.844,2281686.3,7834
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:02:43.7530000Z,2021-09-30T23:59:30.4890000Z,0.8423,0.95,0.8327,0.8487,4259510.7,12618
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:09.9970000Z,2021-10-01T23:59:56.4170000Z,0.8488,0.9138,0.826,0.9055,3365612.7,9852
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:01:10.3330000Z,2021-10-02T23:59:04.8040000Z,0.9053,0.9179,0.8793,0.8964,1709678.9,4859
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:01:20.3650000Z,2021-10-03T23:53:15.9670000Z,0.8958,0.9033,0.8758,0.886,1112717.3,4105
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:33.2990000Z,2021-10-04T23:59:04.1830000Z,0.8864,0.8904,0.8244,0.8444,2531062.2,8114
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:01:01.4960000Z,2021-10-05T23:55:34.0260000Z,0.8461,0.8832,0.835,0.8681,2647052.7,7148
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:03:16.3690000Z,2021-10-06T23:54:31.1720000Z,0.8658,0.8781,0.83,0.8514,1354995.9,5982
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:03:42.7460000Z,2021-10-07T23:59:40.7770000Z,0.8514,0.9488,0.8455,0.9076,2037810.8,8446
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:04:10.9720000Z,2021-10-08T23:58:09.0600000Z,0.9071,0.9152,0.8741,0.8756,1784042.7,6526
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:41.5980000Z,2021-10-09T23:53:19.6580000Z,0.8773,0.8997,0.8574,0.8668,1092667.2,3833
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:02:02.9890000Z,2021-10-10T23:56:46.2520000Z,0.8693,0.8737,0.828,0.8312,1476685.7,4860
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:01:17.8650000Z,2021-10-11T23:59:49.6340000Z,0.8294,0.8717,0.8153,0.855,1508059.5,6344
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:01:50.9180000Z,2021-10-12T23:59:35.4230000Z,0.8553,1.082,0.8269,0.9879,19243676.4,79918
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:09.6210000Z,2021-10-13T23:59:33.6510000Z,0.9893,1.0453,0.901,0.9327,5774646.2,24408
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:01:49.0950000Z,2021-10-14T23:54:00.5670000Z,0.9341,0.978,0.9096,0.9197,2582378.8,10797
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:11.7400000Z,2021-10-15T23:59:53.3220000Z,0.9208,1.0079,0.9035,0.9533,2609454.5,10445
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:03:22.2390000Z,2021-10-16T23:58:22.7100000Z,0.953,0.9783,0.9335,0.9384,806883.3,4653
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:02:32.2600000Z,2021-10-17T23:58:35.2000000Z,0.9394,1.06,0.9255,0.9455,3014551.5,11071
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:03:15.2990000Z,2021-10-18T23:57:39.2680000Z,0.9454,1.0397,0.9215,0.957,4856699.4,16276
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:23.7600000Z,2021-10-19T23:59:31.6940000Z,0.957,0.9679,0.9267,0.9475,1314646.4,5210
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:01:12.9660000Z,2021-10-20T23:58:43.6020000Z,0.9475,0.9477,0.903,0.9309,1559180.9,5644
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:02:16.6510000Z,2021-10-21T23:54:01.9050000Z,0.932,0.9338,0.894,0.9135,1293201.4,4776
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:21.3240000Z,2021-10-22T23:57:00.2250000Z,0.9119,0.945,0.891,0.8968,979042.5,4863
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:01:48.1860000Z,2021-10-23T23:56:55.2360000Z,0.8968,0.9073,0.8863,0.8996,471639.2,2723
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:02:44.4250000Z,2021-10-24T23:58:09.6660000Z,0.9009,0.9115,0.8762,0.8802,569284.9,3327
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:01:03.5410000Z,2021-10-25T23:58:50.6150000Z,0.8812,0.8915,0.8651,0.8754,1219940.0,4738
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:20.0800000Z,2021-10-26T23:57:10.8340000Z,0.875,0.908,0.869,0.8832,996635.6,4974
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:02:38.5380000Z,2021-10-27T23:58:47.5020000Z,0.8832,0.8967,0.8284,0.829,1309099.9,5990
