time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T10:02:53.9370000Z,2021-11-12T23:59:09.9650000Z,0.12172,0.12946,0.1186,0.12384,6031217.3,1957
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:04:43.8070000Z,2021-11-13T23:59:26.0700000Z,0.1245,0.13365,0.12312,0.12381,5787546.7,2219
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:08:03.6250000Z,2021-11-14T23:59:54.2170000Z,0.12444,0.15972,0.12026,0.13669,92852202.4,29317
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:00.8770000Z,2021-11-15T23:58:48.7070000Z,0.13704,0.15387,0.13431,0.1349,51496311.3,20680
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:38.2440000Z,2021-11-16T23:58:52.7420000Z,0.13484,0.13484,0.11792,0.12634,16244961.6,4953
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:21.1210000Z,2021-11-17T23:58:57.8090000Z,0.12659,0.13697,0.12579,0.13189,13501369.0,4120
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:26.2280000Z,2021-11-18T23:58:24.9730000Z,0.13176,0.14348,0.12204,0.12319,26799464.5,7944
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:21.3610000Z,2021-11-19T23:59:02.1280000Z,0.12344,0.1316,0.11481,0.12851,12408565.8,3638
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:02:51.6940000Z,2021-11-20T23:58:42.6650000Z,0.12874,0.13506,0.12364,0.1312,14925761.7,3719
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:03:39.5000000Z,2021-11-21T23:57:45.4470000Z,0.13131,0.1369,0.12675,0.12809,11414110.9,4290
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:01:47.1710000Z,2021-11-22T23:59:50.3070000Z,0.12822,0.13432,0.12374,0.12636,8480414.1,3728
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:05:23.3380000Z,2021-11-23T23:59:40.9630000Z,0.12617,0.12841,0.12301,0.12603,5093282.0,2137
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:02:01.7350000Z,2021-11-24T23:57:35.7910000Z,0.12576,0.12631,0.11715,0.12044,9102787.2,2824
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:24.9010000Z,2021-11-25T23:57:29.9430000Z,0.12065,0.12589,0.1185,0.12471,6937284.1,2834
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:01:44.8570000Z,2021-11-26T23:59:59.1760000Z,0.12468,0.19589,0.12342,0.176,141688440.4,42733
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:03.1220000Z,2021-11-27T23:59:16.2950000Z,0.17598,0.21413,0.16561,0.17199,135095429.1,49400
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:02.2020000Z,2021-11-28T23:59:57.1180000Z,0.17246,0.18273,0.14742,0.16128,32645407.3,12449
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:17.5450000Z,2021-11-29T23:59:31.6730000Z,0.16147,0.16902,0.1552,0.16,18361899.6,7422
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:26.5330000Z,2021-11-30T23:59:47.9560000Z,0.16,0.16476,0.14538,0.14802,25683153.0,7951
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:06.3390000Z,2021-12-01T23:59:31.5370000Z,0.14793,0.15403,0.14284,0.14663,14094144.3,5237
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:32.2450000Z,2021-12-02T23:59:57.0270000Z,0.14663,0.1495,0.13838,0.14793,9321172.2,4118
