time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T06:04:17.8990000Z,2021-06-07T23:59:52.1170000Z,2.12245,2.56195,1.40006,1.51224,84481477.0,490407
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:02.2090000Z,2021-06-08T23:59:50.4740000Z,1.51222,1.59,0.97478,1.02172,24929473.0,115728
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:12.4000000Z,2021-06-09T23:59:42.5670000Z,1.01835,1.05902,0.822,0.91969,18422116.0,66085
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:06.7000000Z,2021-06-10T23:59:54.7480000Z,0.92128,0.949,0.65,0.73953,7328540.0,33558
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:02.7280000Z,2021-06-11T23:59:58.1830000Z,0.74,0.77453,0.60155,0.61283,5090869.0,20972
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:01.3340000Z,2021-06-12T23:59:26.7040000Z,0.61383,0.66631,0.54069,0.59951,5712680.0,18344
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:41.4260000Z,2021-06-13T23:59:59.8200000Z,0.60007,1.15,0.57515,0.97199,75943337.0,204598
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:00:00.2010000Z,2021-06-14T23:59:59.4510000Z,0.97199,1.14645,0.91,0.94502,53413287.0,156902
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:00:00.1250000Z,2021-06-15T23:59:54.8580000Z,0.94697,1.0848,0.88279,0.97125,19921571.0,76857
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:00:02.5820000Z,2021-06-16T23:59:51.3450000Z,0.97126,1.01816,0.87149,0.87369,8586838.0,39814
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:00.1650000Z,2021-06-17T23:59:47.8760000Z,0.87559,0.92988,0.81501,0.83116,4863463.0,23323
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:10.3990000Z,2021-06-18T23:59:00.4470000Z,0.83117,0.83824,0.70147,0.7379,6199268.0,24929
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:23.4700000Z,2021-06-19T23:59:52.3940000Z,0.73849,0.788,0.71101,0.72037,4991900.0,17265
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:21.7370000Z,2021-06-20T23:56:50.1520000Z,0.72037,0.73032,0.656,0.7155,4765834.0,14349
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:02:05.2250000Z,2021-06-21T23:59:54.4850000Z,0.71696,0.72047,0.51,0.51262,5570627.0,19559
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:07.8210000Z,2021-06-22T23:59:47.5530000Z,0.51261,0.66414,0.46172,0.49476,12717620.0,35920
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:18.7130000Z,2021-06-23T23:59:58.8010000Z,0.49501,0.62644,0.47892,0.538,8781380.0,24939
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:01:04.8040000Z,2021-06-24T23:59:49.5920000Z,0.538,0.541,0.51,0.5224,3253457.0,10219
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:12.3750000Z,2021-06-25T23:59:16.6380000Z,0.52345,0.54,0.46292,0.47,3781470.0,13865
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:26.2470000Z,2021-06-26T23:59:11.9850000Z,0.46977,0.49044,0.43751,0.45989,2175298.0,7798
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:37.7870000Z,2021-06-27T23:59:30.6160000Z,0.45989,0.47962,0.431,0.47672,3236645.0,10347
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:00:30.2320000Z,2021-06-28T23:59:54.9560000Z,0.47571,0.6,0.46666,0.51056,21131745.0,53048
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:09.3690000Z,2021-06-29T23:58:39.2270000Z,0.51068,0.56677,0.5079,0.51781,6641690.0,15965
