time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:49.0650000Z,2021-06-06T23:59:05.9930000Z,12.2,12.52,11.81,12.15,6065.1,575
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:02:02.5460000Z,2021-06-07T23:52:38.8880000Z,12.12,15.05,11.06,11.14,30609.54,2383
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:01:23.0040000Z,2021-06-08T23:59:00.3870000Z,11.21,12.4,9.7,10.63,11004.38,864
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:08:35.5690000Z,2021-06-09T23:58:08.7780000Z,10.45,11.19,10.18,10.9,8230.73,593
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:00:09.2540000Z,2021-06-10T23:59:25.2220000Z,10.89,14.8,10.26,13.39,75816.76,3427
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:00.5260000Z,2021-06-11T23:59:23.3170000Z,13.54,16.85,11.42,11.89,269547.16,14063
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:02:32.0050000Z,2021-06-12T23:59:01.5340000Z,11.7,12.29,10.57,10.89,34719.57,1667
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:03:15.1220000Z,2021-06-13T23:59:41.6950000Z,10.88,11.56,10.53,11.27,16902.13,744
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:02:49.8380000Z,2021-06-14T23:57:51.3680000Z,11.3,11.73,11.05,11.31,16326.51,894
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:18:46.2330000Z,2021-06-15T23:55:06.6170000Z,11.31,12.49,10.98,11.39,18086.01,1048
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:01:20.1090000Z,2021-06-16T23:59:02.1570000Z,11.41,11.73,10.87,11.09,6763.49,482
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:22:06.3780000Z,2021-06-17T23:58:22.9180000Z,11.09,13.2,10.97,11.54,44143.23,3046
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:01:29.8560000Z,2021-06-18T23:59:36.3150000Z,11.54,11.91,10.46,10.86,23275.19,1635
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:11:10.3450000Z,2021-06-19T23:58:00.1730000Z,10.86,11.97,10.52,10.95,28095.29,2363
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:00:30.5280000Z,2021-06-20T23:46:12.2700000Z,10.94,11.23,10.18,10.73,6488.7,716
