time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T09:00:02.1290000Z,2021-04-02T23:59:56.6350000Z,7298.0,7500.0,4050.0,4609.08,932.92053,20247
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:01:37.8410000Z,2021-04-03T23:59:29.2440000Z,4608.0,4951.25,3725.8,3768.04,238.50483,6813
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:58.4470000Z,2021-04-04T23:59:41.0120000Z,3770.73,4399.99,3732.7,4191.03,3813.2768,149491
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:31.9860000Z,2021-04-05T23:51:14.8680000Z,4191.02,4345.45,3815.0,3838.51,82.76835,2516
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:18.0010000Z,2021-04-06T23:56:08.6650000Z,3813.68,4243.0,3750.0,3849.63,140.25853,3777
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:51.5580000Z,2021-04-07T23:56:34.9800000Z,3881.9,3935.67,3232.67,3409.0,117.15343,1564
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:01:11.7690000Z,2021-04-08T23:45:22.1900000Z,3397.01,3792.78,3380.0,3515.61,117.888588,2297
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:03:01.1890000Z,2021-04-09T23:57:54.0580000Z,3519.54,4182.34,3348.53,3952.44,313.977187,6485
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:10.7870000Z,2021-04-10T05:33:53.7080000Z,3948.83,4485.2,3948.83,4285.36,119.537804,3322
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:26.0540000Z,2021-04-11T23:59:32.0400000Z,3962.5,4109.74,3679.58,4048.02,137.087971,3542
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:49.3790000Z,2021-04-12T23:59:53.8370000Z,4067.98,4700.0,3850.0,4071.94,275.658981,7889
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:03:54.4850000Z,2021-04-13T23:58:09.2770000Z,4072.42,4097.76,3650.0,3803.85,203.87417,5369
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:02:52.5750000Z,2021-04-14T23:59:08.6060000Z,3803.85,4133.75,3683.55,3891.62,199.068865,4795
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:01:12.7640000Z,2021-04-15T23:53:56.6270000Z,3905.1,4051.82,3779.68,3818.48,134.418091,3829
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:10:11.9460000Z,2021-04-16T23:59:05.2150000Z,3815.4,3823.58,3394.1,3486.51,151.907935,3778
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:39.8640000Z,2021-04-17T23:59:37.1850000Z,3497.0,3734.67,3385.39,3402.24,91.013329,2293
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:05:03.5690000Z,2021-04-18T23:57:27.9110000Z,3426.89,3435.95,2767.01,3080.08,161.640444,2633
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:03:17.0090000Z,2021-04-19T23:56:57.1250000Z,3081.63,3532.36,3015.0,3110.96,101.400151,3407
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:04:38.9230000Z,2021-04-20T01:51:56.2090000Z,3110.96,3110.96,2961.21,2970.35,2.410359,137
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:02:18.5570000Z,2021-04-21T23:58:31.0900000Z,3178.16,3190.98,2771.03,2865.0,293.231093,4522
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:01:01.3540000Z,2021-04-22T23:59:57.6410000Z,2865.6,2951.0,2235.24,2270.02,333.117637,3737
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:01:50.1020000Z,2021-04-23T23:55:39.4770000Z,2353.22,2386.0,1988.5,2255.19,228.232569,2481
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:01:27.7260000Z,2021-04-24T00:21:37.7630000Z,2255.19,2255.19,2215.0,2215.0,0.472138,6
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:02:50.0720000Z,2021-04-25T03:57:40.3310000Z,2099.97,2136.06,2055.02,2095.82,3.332703,115
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:06:01.6310000Z,2021-04-26T23:54:36.2910000Z,2111.85,2388.47,2106.2,2194.11,99.421601,1398
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:04:27.1670000Z,2021-04-27T23:59:09.2850000Z,2199.16,2656.64,2131.69,2622.89,190.887687,2511
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:01:08.1890000Z,2021-04-28T23:53:20.5890000Z,2605.32,2729.24,2351.15,2530.22,276.260961,2717
