time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T06:00:01.9850000Z,2021-02-19T23:59:59.8540000Z,2.49,3.0,1.3595,2.65,76638901.17,473494
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:00.3130000Z,2021-02-20T23:59:58.1980000Z,2.6428,2.69,1.525,1.8692,43966622.4,247085
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:02.1610000Z,2021-02-21T23:59:59.4590000Z,1.8699,2.685,1.8,2.2,34994612.9,212029
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:00.2440000Z,2021-02-22T23:59:59.2460000Z,2.2,2.25,1.55,2.0364,33351938.68,188844
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:04.2270000Z,2021-02-23T23:59:59.0690000Z,2.0304,2.0417,1.25,1.539,34843321.9,152116
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:04.6440000Z,2021-02-24T23:59:57.7850000Z,1.539,1.9831,1.42,1.6222,25211919.55,122604
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:09.1720000Z,2021-02-25T23:59:59.9560000Z,1.6221,1.67,1.17,1.2353,16275513.32,70749
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:00.0330000Z,2021-02-26T23:59:59.3570000Z,1.2435,1.38,1.0577,1.1822,19813759.89,70324
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:44.4570000Z,2021-02-27T23:59:59.0330000Z,1.1841,1.2857,0.98,1.1051,19658377.9,67355
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:03.6490000Z,2021-02-28T23:59:59.3460000Z,1.1051,1.19,0.8255,0.9752,20034226.93,59606
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:04.9900000Z,2021-03-01T23:59:57.1690000Z,0.975,1.607,0.9623,1.4474,54264480.37,186997
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:00.0990000Z,2021-03-02T23:59:56.0830000Z,1.4436,1.535,1.1618,1.2907,28531700.92,98872
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:09.0200000Z,2021-03-03T23:59:58.3020000Z,1.2904,1.384,1.2056,1.241,20267392.99,68181
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:00.5560000Z,2021-03-04T23:59:53.3170000Z,1.2443,1.45,1.2174,1.2696,23179038.65,85245
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:00.2850000Z,2021-03-05T23:59:43.2250000Z,1.2763,1.2766,1.1039,1.175,12814451.83,50939
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:05.2070000Z,2021-03-06T23:59:34.6230000Z,1.1763,1.22,1.1153,1.1571,7125867.54,29377
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:31.4790000Z,2021-03-07T23:59:50.7450000Z,1.1571,1.3088,1.129,1.2041,11496799.66,47521
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:22.8630000Z,2021-03-08T23:59:59.3280000Z,1.2035,1.2387,1.1231,1.1745,8927630.23,38897
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:02.4590000Z,2021-03-09T23:59:34.6520000Z,1.1711,1.5999,1.15,1.5599,32761287.97,134897
