time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T12:00:01.7810000Z,2021-02-23T23:59:25.0230000Z,13.199,18.5,10.321,13.375,74507.308,2535
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:02:20.2730000Z,2021-02-24T23:59:57.8020000Z,13.182,15.0,12.386,13.235,55879.369,4462
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:36.1380000Z,2021-02-25T23:59:15.7600000Z,13.236,14.44,11.966,11.98,41622.039,3274
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:57.1490000Z,2021-02-26T23:59:49.8390000Z,12.06,13.0,11.162,11.749,72194.29,3286
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:01:32.2310000Z,2021-02-27T23:58:57.5980000Z,11.881,14.39,11.838,12.481,45079.73,5464
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:36.2200000Z,2021-02-28T23:59:54.5740000Z,12.482,12.626,10.852,11.843,37604.519,4033
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:13.5640000Z,2021-03-01T23:59:29.0330000Z,11.866,13.53,11.78,13.443,60376.014,4623
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:00:04.1350000Z,2021-03-02T23:59:31.5220000Z,13.443,13.715,12.108,12.978,41628.531,4676
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:33.6520000Z,2021-03-03T23:59:11.9440000Z,12.978,14.323,12.817,13.35,47220.505,4207
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:17.3110000Z,2021-03-04T23:56:58.9750000Z,13.332,14.3,12.148,12.982,44777.384,4328
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:37.6050000Z,2021-03-05T23:53:00.0860000Z,12.929,12.929,12.08,12.457,17957.115,2404
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:04.5990000Z,2021-03-06T23:59:01.3330000Z,12.411,12.812,11.964,12.619,29339.875,2302
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:49.0390000Z,2021-03-07T23:58:12.7160000Z,12.668,13.487,12.432,13.465,33685.119,3076
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:12.8910000Z,2021-03-08T23:54:13.0460000Z,13.465,14.809,13.009,14.62,49198.788,4957
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:52.3370000Z,2021-03-09T23:48:42.0920000Z,14.667,15.3,14.366,14.964,40536.491,4082
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:38.5030000Z,2021-03-10T23:58:44.1280000Z,14.965,15.008,13.5,13.882,51660.32,4665
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:42.8440000Z,2021-03-11T23:59:56.9290000Z,13.888,14.921,13.309,14.0,45961.194,5201
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:02.5280000Z,2021-03-12T23:58:48.6900000Z,14.0,14.237,12.906,13.377,36853.167,4136
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:01:06.2010000Z,2021-03-13T23:59:48.8610000Z,13.377,14.388,12.721,14.236,31973.501,4130
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:09.6220000Z,2021-03-14T23:59:40.9490000Z,14.284,14.643,13.273,13.366,34428.335,4133
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:05.7040000Z,2021-03-15T23:59:47.0700000Z,13.366,13.818,12.0,12.627,83581.498,6415
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:03.2710000Z,2021-03-16T23:59:15.5390000Z,12.619,13.651,12.06,13.502,60851.917,5089
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:44.0530000Z,2021-03-17T23:59:30.1900000Z,13.515,14.5,13.076,14.215,63079.328,6453
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:52.9710000Z,2021-03-18T23:55:06.7070000Z,14.261,14.88,12.56,13.974,66263.182,7209
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:09.1090000Z,2021-03-19T23:59:02.2630000Z,14.012,14.81,13.632,14.178,38914.046,4120
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:01:12.4990000Z,2021-03-20T23:59:46.4600000Z,14.164,15.395,14.105,14.725,43588.671,5116
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:47.1760000Z,2021-03-21T23:59:15.3900000Z,14.732,14.748,13.507,13.882,24760.68,4359
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:29.2390000Z,2021-03-22T23:58:54.6110000Z,13.936,14.953,12.933,13.052,52039.533,6531
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:48.6770000Z,2021-03-23T23:59:46.6650000Z,13.111,14.019,12.7,13.05,31663.777,4229
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:03:48.7320000Z,2021-03-24T23:59:42.3960000Z,13.153,14.773,11.378,11.85,43801.343,5248
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:09.5060000Z,2021-03-25T23:58:19.3590000Z,11.827,12.331,11.212,11.715,30527.658,3201
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:03:21.4930000Z,2021-03-26T23:58:08.2040000Z,11.773,13.3,11.773,12.716,28639.832,3344
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:15:03.8140000Z,2021-03-27T23:58:59.5400000Z,12.765,14.655,12.17,13.708,59709.465,4611
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:03.0320000Z,2021-03-28T23:58:07.0300000Z,13.724,14.861,13.48,14.028,55328.767,6403
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:06.4830000Z,2021-03-29T23:59:54.5410000Z,14.056,14.758,13.694,14.622,47014.339,4778
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:01:55.4840000Z,2021-03-30T23:59:30.4830000Z,14.569,15.0,14.032,14.175,39471.996,4051
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:01:11.8610000Z,2021-03-31T23:59:23.2910000Z,14.174,17.238,13.421,16.765,131333.283,9944
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:09.8890000Z,2021-04-01T23:59:02.6020000Z,16.766,17.75,15.728,16.394,85427.831,9130
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:08.6700000Z,2021-04-02T23:56:31.4610000Z,16.446,17.2,15.728,16.177,47123.875,4747
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:02:40.0380000Z,2021-04-03T23:58:10.7640000Z,16.179,17.6,15.68,15.75,61178.354,7057
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:22.8990000Z,2021-04-04T23:56:51.9840000Z,15.707,17.47,15.456,17.299,42163.445,5064
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:13.9170000Z,2021-04-05T23:59:44.5990000Z,17.294,18.888,16.264,17.669,84608.034,8899
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:12.5090000Z,2021-04-06T23:53:40.6720000Z,17.671,18.62,16.573,18.267,57999.041,6253
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:28.9210000Z,2021-04-07T23:59:17.6470000Z,18.32,18.378,15.08,16.023,65767.461,7337
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:31.0680000Z,2021-04-08T23:53:32.7940000Z,16.027,17.599,15.809,17.101,35472.688,3823
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:07:08.8370000Z,2021-04-09T23:59:49.1700000Z,17.18,17.833,16.378,17.44,44128.376,4482
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:02:59.3060000Z,2021-04-10T05:34:00.8200000Z,17.4,17.656,17.055,17.329,9423.609,928
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:08.4260000Z,2021-04-11T23:57:52.5500000Z,17.024,18.528,16.475,17.931,67643.864,7342
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:11.3060000Z,2021-04-12T23:59:29.7920000Z,17.969,18.2,16.432,16.838,54369.776,5687
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:58.4840000Z,2021-04-13T23:59:27.5730000Z,16.913,17.275,16.122,17.01,53194.626,4428
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:06.1690000Z,2021-04-14T18:45:05.0040000Z,17.011,17.414,15.863,16.405,57456.912,4512
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:00.9770000Z,2021-04-15T23:59:58.8690000Z,17.537,23.302,17.487,20.91,330627.674,22993
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:01.3960000Z,2021-04-16T23:59:28.5630000Z,20.91,22.05,19.067,20.982,125425.537,13859
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:02.1800000Z,2021-04-17T23:59:15.5150000Z,21.044,22.873,19.54,19.84,103780.15,10328
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:30.7030000Z,2021-04-18T23:58:56.5990000Z,19.876,20.024,12.097,17.164,176573.877,13628
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:04.4090000Z,2021-04-19T23:59:01.7380000Z,17.165,18.56,14.726,15.329,114647.222,7680
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:16.6110000Z,2021-04-20T01:59:46.6440000Z,15.394,15.395,14.154,14.46,14437.603,743
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:12.5500000Z,2021-04-21T23:59:23.8710000Z,16.298,17.5,15.383,15.9,77255.716,6764
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:21.9480000Z,2021-04-22T23:59:49.0690000Z,16.0,19.349,15.0,15.947,187643.245,16794
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:46.4630000Z,2021-04-23T23:59:01.5520000Z,15.84,16.472,12.736,15.313,143435.263,7098
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:22.6400000Z,2021-04-24T00:23:37.0710000Z,15.305,15.305,14.803,14.891,689.653,45
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:01:10.8640000Z,2021-04-25T03:59:46.2570000Z,13.744,13.98,13.409,13.524,3245.892,255
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:58.7140000Z,2021-04-26T23:59:12.7600000Z,13.555,15.515,13.35,15.096,92423.537,4620
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:02:15.2860000Z,2021-04-27T23:59:42.3590000Z,15.14,17.338,14.775,16.797,116168.511,7723
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:34.4690000Z,2021-04-28T23:58:49.0620000Z,16.808,17.9,15.555,17.474,138822.935,9683
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:20.3330000Z,2021-04-29T23:59:00.5530000Z,17.477,17.592,15.85,16.51,77221.194,6789
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:12.4870000Z,2021-04-30T23:59:22.6600000Z,16.507,17.499,16.07,17.202,70208.305,5133
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:17.3790000Z,2021-05-01T23:59:26.0460000Z,17.21,18.788,16.891,18.485,128565.575,7410
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:00:19.0340000Z,2021-05-02T23:58:38.2840000Z,18.548,18.574,17.063,17.662,72185.805,6119
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:01:30.2010000Z,2021-05-03T23:59:26.7790000Z,17.662,18.958,17.633,18.345,93099.328,7246
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:00:08.0860000Z,2021-05-04T23:59:23.6870000Z,18.343,19.8,15.804,18.329,227862.871,13592
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:23.3970000Z,2021-05-05T23:47:25.7240000Z,18.385,20.676,17.976,19.416,214020.419,13347
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:29.8220000Z,2021-05-06T23:58:46.8430000Z,18.973,19.787,17.79,18.283,91656.276,7412
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:01:16.8290000Z,2021-05-07T23:58:30.9740000Z,18.293,19.285,17.339,17.928,96552.893,7856
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:22.0600000Z,2021-05-08T23:58:27.3940000Z,17.889,18.438,17.25,17.723,45113.32,4314
