time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T12:14:53.0090000Z,2021-10-08T23:59:59.5390000Z,3.08,4.75,2.59641,3.23,283780684.0,1683098
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:00.7800000Z,2021-10-09T23:59:59.9050000Z,3.2331,4.5,3.15953,3.4519,184210294.0,1311730
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:00.3290000Z,2021-10-10T23:59:59.2020000Z,3.45191,3.76,3.16635,3.17,36350065.0,276588
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:00.1310000Z,2021-10-11T23:59:59.1180000Z,3.17,3.35,2.54179,2.72332,41836287.0,273245
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:01.0460000Z,2021-10-12T23:59:59.6250000Z,2.72054,2.89665,2.46,2.74879,29458874.0,201630
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:03.5720000Z,2021-10-13T23:59:59.9520000Z,2.74685,2.76,2.26,2.368,23644851.0,149663
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:04.1660000Z,2021-10-14T23:59:58.2370000Z,2.37253,2.66481,2.3,2.37003,26950914.0,152930
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:08.4880000Z,2021-10-15T23:59:57.1980000Z,2.37041,2.45,2.097,2.19761,21161469.0,100311
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:02.4640000Z,2021-10-16T23:59:56.5730000Z,2.1986,2.37,2.16,2.167,11993149.0,67580
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:04.3530000Z,2021-10-17T23:59:59.7610000Z,2.16696,2.8325,2.1,2.39391,55334240.0,278163
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:00.3120000Z,2021-10-18T23:59:56.5090000Z,2.39434,2.5703,2.23,2.26306,13491354.0,74707
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:10.7420000Z,2021-10-19T23:59:57.9610000Z,2.26306,2.33422,2.18223,2.2,7286192.0,41792
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:03.3500000Z,2021-10-20T23:59:56.0560000Z,2.2,2.29877,2.1831,2.21998,7642752.0,38673
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:02.6710000Z,2021-10-21T23:59:58.8970000Z,2.21726,2.2948,2.01,2.08089,14050820.0,69203
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:03.0620000Z,2021-10-22T23:59:39.9560000Z,2.07498,2.10299,1.875,1.92728,10675626.0,55268
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:12.4210000Z,2021-10-23T23:59:47.2870000Z,1.92733,1.96855,1.79943,1.80925,6491100.0,33528
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:10.0190000Z,2021-10-24T23:59:56.8440000Z,1.80795,1.935,1.65162,1.72681,11773134.0,52038
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:05.1310000Z,2021-10-25T23:59:48.3620000Z,1.7254,2.05531,1.70444,1.80036,27180017.0,107710
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:02.6970000Z,2021-10-26T23:59:54.3190000Z,1.80265,1.95967,1.76716,1.78373,10155468.0,48721
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:00:00.7550000Z,2021-10-27T23:59:59.9210000Z,1.78109,1.8269,1.61,1.61862,10556934.0,47080
