time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T11:04:01.0350000Z,2021-11-04T23:59:57.0910000Z,187.6,190.0,115.2,131.5,117609.923,51581
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:01.6200000Z,2021-11-05T23:59:43.0630000Z,131.9,132.4,108.1,115.5,37566.32,14728
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:02:00.6050000Z,2021-11-06T23:59:59.4660000Z,115.0,156.5,111.3,135.8,62898.125,33035
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:42.2040000Z,2021-11-07T23:59:38.7730000Z,135.6,160.0,131.1,149.0,59383.218,40784
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:43.3330000Z,2021-11-08T23:59:57.8270000Z,149.1,158.9,143.8,144.8,18897.774,12716
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:01:38.9920000Z,2021-11-09T23:55:15.0390000Z,144.7,149.4,137.3,145.0,11160.153,6771
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:01:31.2930000Z,2021-11-10T23:58:24.8230000Z,144.8,174.0,142.9,164.0,24079.659,16649
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:01.0960000Z,2021-11-11T23:59:14.3070000Z,164.4,177.6,159.0,166.1,23755.857,14266
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:05:56.6230000Z,2021-11-12T23:55:21.2340000Z,166.1,170.6,156.0,167.3,10365.935,5378
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:02:33.8360000Z,2021-11-13T23:58:56.3500000Z,167.3,199.3,167.0,195.0,30046.517,17386
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:09.1550000Z,2021-11-14T23:59:54.2030000Z,194.2,225.6,186.4,199.7,32517.779,20089
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:34.9900000Z,2021-11-15T23:59:58.7410000Z,199.7,212.6,177.7,184.2,19414.708,10683
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:11.2750000Z,2021-11-16T23:59:48.1390000Z,184.4,186.5,169.2,178.4,20069.673,9478
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:16.5010000Z,2021-11-17T23:57:36.7620000Z,178.4,195.5,173.6,190.1,16865.76,8817
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:13.4660000Z,2021-11-18T23:58:40.4490000Z,189.9,205.3,168.0,170.7,23503.959,9288
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:01:34.0770000Z,2021-11-19T23:52:46.1560000Z,170.7,185.0,169.0,180.6,11209.437,4202
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:01:20.1740000Z,2021-11-20T23:50:48.9490000Z,181.2,193.2,178.6,188.6,11021.512,6237
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:12.2650000Z,2021-11-21T23:59:17.3920000Z,188.6,194.1,180.0,180.8,14212.422,6976
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:02.7460000Z,2021-11-22T23:59:19.2860000Z,181.0,187.5,173.2,182.7,10285.747,5189
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:03.5560000Z,2021-11-23T23:59:27.0310000Z,182.6,201.8,182.0,190.8,14854.756,7250
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:17.0740000Z,2021-11-24T23:58:49.8160000Z,191.3,199.6,188.7,193.2,11144.436,4587
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:01:26.0490000Z,2021-11-25T23:59:39.5470000Z,192.5,195.2,182.8,186.7,9251.63,4902
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:01:16.6400000Z,2021-11-26T23:58:06.5520000Z,187.0,187.2,150.0,164.6,19343.312,8704
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:01:47.2750000Z,2021-11-27T23:59:09.9730000Z,165.1,170.9,135.0,138.6,16482.3,6662
