time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-13T00:00:00.0000000Z,2021-01-14T00:00:00.0000000Z,2021-01-13T06:00:02.9260000Z,2021-01-13T23:59:58.8510000Z,40.0,1000.0,34.244,62.75,1807560.835,321574
2021-01-14T00:00:00.0000000Z,2021-01-15T00:00:00.0000000Z,2021-01-14T00:00:02.4450000Z,2021-01-14T23:59:59.6410000Z,62.75,114.0,58.999,92.449,767421.694,201271
2021-01-15T00:00:00.0000000Z,2021-01-16T00:00:00.0000000Z,2021-01-15T00:00:01.6700000Z,2021-01-15T23:59:54.6090000Z,92.271,97.8,70.585,80.008,269043.732,87950
2021-01-16T00:00:00.0000000Z,2021-01-17T00:00:00.0000000Z,2021-01-16T00:00:00.0690000Z,2021-01-16T23:59:50.2230000Z,79.633,81.471,66.89,72.63,176076.678,51876
2021-01-17T00:00:00.0000000Z,2021-01-18T00:00:00.0000000Z,2021-01-17T00:00:01.8150000Z,2021-01-17T23:59:56.5800000Z,72.52,79.349,66.89,76.343,117675.372,37308
2021-01-18T00:00:00.0000000Z,2021-01-19T00:00:00.0000000Z,2021-01-18T00:00:22.5050000Z,2021-01-18T23:59:51.7480000Z,76.342,77.27,70.0,71.11,60037.392,20040
2021-01-19T00:00:00.0000000Z,2021-01-20T00:00:00.0000000Z,2021-01-19T00:00:15.1470000Z,2021-01-19T23:59:50.6360000Z,71.171,72.32,63.456,65.0,66182.827,18719
2021-01-20T00:00:00.0000000Z,2021-01-21T00:00:00.0000000Z,2021-01-20T00:00:06.4630000Z,2021-01-20T23:59:57.1230000Z,65.037,66.007,57.16,63.5,43239.456,14250
2021-01-21T00:00:00.0000000Z,2021-01-22T00:00:00.0000000Z,2021-01-21T00:00:06.1950000Z,2021-01-21T23:58:56.9650000Z,63.7,67.7,57.0,58.185,47384.499,14215
2021-01-22T00:00:00.0000000Z,2021-01-23T00:00:00.0000000Z,2021-01-22T00:00:28.0930000Z,2021-01-22T23:59:10.5010000Z,58.19,62.0,56.0,60.198,32714.247,9114
2021-01-23T00:00:00.0000000Z,2021-01-24T00:00:00.0000000Z,2021-01-23T00:00:14.7940000Z,2021-01-23T23:59:15.9720000Z,60.197,68.058,58.002,60.906,40091.078,13113
2021-01-24T00:00:00.0000000Z,2021-01-25T00:00:00.0000000Z,2021-01-24T00:00:23.2980000Z,2021-01-24T23:59:54.6140000Z,60.808,79.999,60.1,72.22,107187.027,31957
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T00:00:05.1910000Z,2021-01-25T23:59:47.0300000Z,72.162,75.0,65.5,67.955,45446.282,16122
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:01:00.3310000Z,2021-01-26T23:59:53.0050000Z,67.506,71.0,62.975,69.999,23179.127,8336
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:00:08.9910000Z,2021-01-27T23:58:42.3560000Z,69.999,70.0,60.14,63.031,19239.765,7689
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:01:51.7740000Z,2021-01-28T23:59:53.7030000Z,63.411,68.0,61.722,65.861,23974.802,10460
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:05.9360000Z,2021-01-29T23:59:44.7330000Z,65.862,70.0,63.0,65.31,40455.473,16396
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:01:23.0810000Z,2021-01-30T23:58:39.0800000Z,65.31,66.5,63.1,64.537,20418.509,8548
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:00:01.5380000Z,2021-01-31T23:59:32.6300000Z,64.538,72.0,63.831,68.387,34234.592,14464
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:01:34.4430000Z,2021-02-01T23:58:17.2640000Z,68.122,79.9,64.36,71.554,108694.379,34710
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:00:17.6640000Z,2021-02-02T23:59:59.6870000Z,71.554,78.05,67.973,74.287,25166.057,12503
