time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T07:27:04.3120000Z,2021-04-16T23:59:11.3950000Z,110.957,117.65,109.895,114.5,135.287,122
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:01.3940000Z,2021-04-17T23:59:58.2020000Z,116.899,120.95,105.452,106.9,1942.301,997
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:01:27.8060000Z,2021-04-18T23:57:47.4410000Z,107.764,109.469,81.636,93.187,4163.192,1597
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:12.4070000Z,2021-04-19T23:45:49.1630000Z,93.069,105.0,82.992,87.501,3017.11,1330
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:23.7970000Z,2021-04-20T01:52:32.6600000Z,89.999,89.999,74.885,79.172,272.28,176
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:05:29.3380000Z,2021-04-21T23:53:49.6350000Z,94.243,97.702,85.0,85.0,1757.481,841
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:01:40.7120000Z,2021-04-22T23:59:40.4330000Z,85.524,89.278,71.256,73.144,4285.981,1118
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:01:02.4720000Z,2021-04-23T23:58:05.4680000Z,73.431,235.0,72.694,82.692,84217.813,21775
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:19.5950000Z,2021-04-24T00:23:43.7380000Z,82.736,87.999,82.736,83.417,794.3,138
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:01:03.2620000Z,2021-04-25T03:52:36.4590000Z,77.624,79.989,75.933,79.273,1470.574,205
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:04:14.3680000Z,2021-04-26T23:59:48.5690000Z,73.839,87.0,73.42,86.775,9735.995,2031
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:37.7080000Z,2021-04-27T23:58:45.2810000Z,85.95,94.5,84.988,90.155,6747.84,2147
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:24.6190000Z,2021-04-28T23:56:47.4350000Z,89.29,98.0,85.959,90.898,4455.219,1575
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:03:00.3150000Z,2021-04-29T23:59:29.3410000Z,90.898,92.096,84.731,88.683,4754.68,1497
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:02:18.9000000Z,2021-04-30T23:59:28.0010000Z,87.77,94.205,86.127,93.5,3679.383,1420
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:19.8330000Z,2021-05-01T23:58:34.4610000Z,93.501,98.172,91.738,95.666,2768.644,1265
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:01:54.5260000Z,2021-05-02T23:56:03.1710000Z,94.849,95.777,89.912,92.993,1918.658,1004
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:04:04.6020000Z,2021-05-03T23:56:00.4700000Z,92.993,98.03,91.502,96.198,3764.145,1564
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:02:04.6820000Z,2021-05-04T23:59:32.2650000Z,95.835,113.208,95.354,107.948,18892.737,7640
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:02.8690000Z,2021-05-05T23:47:06.1940000Z,108.354,138.467,104.282,132.921,20638.561,11352
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:41.5450000Z,2021-05-06T23:59:59.2970000Z,145.591,169.5,133.976,141.203,73283.529,36056
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:00:00.4140000Z,2021-05-07T23:59:55.2130000Z,141.203,143.157,119.269,130.519,20454.284,12785
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:00.0710000Z,2021-05-08T23:58:47.8760000Z,129.897,138.9,124.533,131.334,9035.569,6846
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:08.8160000Z,2021-05-09T23:57:01.8990000Z,131.628,131.658,116.514,125.086,4456.027,2866
2021-05-10T00:00:00.0000000Z,2021-05-11T00:00:00.0000000Z,2021-05-10T00:00:30.5110000Z,2021-05-10T23:48:31.0630000Z,125.959,131.752,107.804,111.834,4939.843,3378
2021-05-11T00:00:00.0000000Z,2021-05-12T00:00:00.0000000Z,2021-05-11T00:00:50.3130000Z,2021-05-11T23:59:59.2000000Z,111.834,119.59,103.665,119.59,9945.191,4477
2021-05-12T00:00:00.0000000Z,2021-05-13T00:00:00.0000000Z,2021-05-12T00:00:18.6240000Z,2021-05-12T23:59:40.2010000Z,119.59,120.858,89.35,91.415,4997.384,3322
2021-05-13T00:00:00.0000000Z,2021-05-14T00:00:00.0000000Z,2021-05-13T00:00:00.1200000Z,2021-05-13T23:59:20.1560000Z,90.71,102.476,85.306,93.553,6640.105,4382
2021-05-14T00:00:00.0000000Z,2021-05-15T00:00:00.0000000Z,2021-05-14T00:00:00.6180000Z,2021-05-14T23:57:27.8690000Z,93.709,106.604,92.301,102.222,5670.524,4182
2021-05-15T00:00:00.0000000Z,2021-05-16T00:00:00.0000000Z,2021-05-15T00:00:39.1430000Z,2021-05-15T23:58:55.9950000Z,102.82,110.02,93.335,95.687,3154.479,2587
2021-05-16T00:00:00.0000000Z,2021-05-17T00:00:00.0000000Z,2021-05-16T00:00:13.8970000Z,2021-05-16T23:54:49.9790000Z,95.687,101.29,87.542,95.16,2748.411,1804
2021-05-17T00:00:00.0000000Z,2021-05-18T00:00:00.0000000Z,2021-05-17T00:00:07.8480000Z,2021-05-17T23:57:36.8940000Z,95.16,96.628,80.145,86.337,5124.796,3060
2021-05-18T00:00:00.0000000Z,2021-05-19T00:00:00.0000000Z,2021-05-18T00:00:08.2160000Z,2021-05-18T23:56:08.1750000Z,87.124,91.596,84.647,87.285,2312.557,1939
2021-05-19T00:00:00.0000000Z,2021-05-20T00:00:00.0000000Z,2021-05-19T00:01:20.1580000Z,2021-05-19T23:59:48.9820000Z,86.994,88.303,40.962,58.33,6249.269,3460
2021-05-20T00:00:00.0000000Z,2021-05-21T00:00:00.0000000Z,2021-05-20T00:01:16.5750000Z,2021-05-20T23:59:00.3220000Z,59.397,73.546,50.001,68.877,6006.317,2561
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T00:00:37.8030000Z,2021-05-21T23:58:36.2990000Z,68.877,73.185,51.27,61.03,4661.187,1848
