time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T12:18:11.8820000Z,2021-04-30T23:59:56.9570000Z,11.39,14.25,9.9,10.09,1110274.6,35783
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:05.3200000Z,2021-05-01T23:59:55.0480000Z,10.08,13.5,9.46,12.31,1231348.0,44131
2021-05-02T00:00:00.0000000Z,2021-05-03T00:00:00.0000000Z,2021-05-02T00:00:08.6040000Z,2021-05-02T23:59:57.8240000Z,12.31,22.0,11.64,20.69,2164281.6,101863
2021-05-03T00:00:00.0000000Z,2021-05-04T00:00:00.0000000Z,2021-05-03T00:00:01.0110000Z,2021-05-03T23:59:59.4720000Z,20.72,29.0,18.23,18.7,2820124.1,186256
2021-05-04T00:00:00.0000000Z,2021-05-05T00:00:00.0000000Z,2021-05-04T00:00:13.1370000Z,2021-05-04T23:59:57.6830000Z,18.69,21.99,16.41,17.68,1072068.5,64981
2021-05-05T00:00:00.0000000Z,2021-05-06T00:00:00.0000000Z,2021-05-05T00:00:04.3200000Z,2021-05-05T23:47:15.6630000Z,17.71,19.59,15.53,15.81,628169.6,44276
2021-05-06T00:00:00.0000000Z,2021-05-07T00:00:00.0000000Z,2021-05-06T00:38:25.5080000Z,2021-05-06T23:59:58.9950000Z,15.31,16.94,13.51,13.87,559223.6,33903
2021-05-07T00:00:00.0000000Z,2021-05-08T00:00:00.0000000Z,2021-05-07T00:00:12.9610000Z,2021-05-07T23:59:59.6590000Z,13.87,19.77,12.55,14.95,1330323.7,82944
2021-05-08T00:00:00.0000000Z,2021-05-09T00:00:00.0000000Z,2021-05-08T00:00:20.1720000Z,2021-05-08T23:59:54.8540000Z,15.01,21.06,14.72,18.02,1730872.2,122877
2021-05-09T00:00:00.0000000Z,2021-05-10T00:00:00.0000000Z,2021-05-09T00:00:01.9640000Z,2021-05-09T23:59:36.1490000Z,17.98,19.27,16.24,16.85,429189.7,37767
