time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-05T00:00:00.0000000Z,2021-01-06T00:00:00.0000000Z,2021-01-05T08:30:00.0000000Z,2021-01-05T23:59:57.3900000Z,1.588,4.12,1.588,2.5765,17056965.98,133533
2021-01-06T00:00:00.0000000Z,2021-01-07T00:00:00.0000000Z,2021-01-06T00:00:11.8050000Z,2021-01-06T23:58:14.0800000Z,2.5765,2.6909,2.2032,2.302,2898056.48,19524
2021-01-07T00:00:00.0000000Z,2021-01-08T00:00:00.0000000Z,2021-01-07T00:00:34.9800000Z,2021-01-07T23:59:53.6190000Z,2.3183,2.51,2.1155,2.2091,1606421.12,9602
2021-01-08T00:00:00.0000000Z,2021-01-09T00:00:00.0000000Z,2021-01-08T00:00:09.2900000Z,2021-01-08T23:56:20.0000000Z,2.2102,2.49,2.0,2.2961,1312937.21,7624
2021-01-09T00:00:00.0000000Z,2021-01-10T00:00:00.0000000Z,2021-01-09T00:00:41.7980000Z,2021-01-09T23:58:48.0380000Z,2.3001,2.3714,2.1536,2.2937,405540.78,2598
2021-01-10T00:00:00.0000000Z,2021-01-11T00:00:00.0000000Z,2021-01-10T00:01:03.0500000Z,2021-01-10T23:53:49.1830000Z,2.2899,2.3,2.0911,2.14,296626.37,2120
2021-01-11T00:00:00.0000000Z,2021-01-12T00:00:00.0000000Z,2021-01-11T00:01:25.3140000Z,2021-01-11T23:54:43.5740000Z,2.1534,2.1798,1.755,1.9482,468574.13,3555
2021-01-12T00:00:00.0000000Z,2021-01-13T00:00:00.0000000Z,2021-01-12T00:02:02.0990000Z,2021-01-12T23:56:03.1890000Z,1.946,2.1334,1.8607,1.957,310354.67,1845
2021-01-13T00:00:00.0000000Z,2021-01-14T00:00:00.0000000Z,2021-01-13T00:07:46.3100000Z,2021-01-13T23:56:26.4060000Z,1.9713,2.1499,1.9099,2.0711,393159.14,1943
2021-01-14T00:00:00.0000000Z,2021-01-15T00:00:00.0000000Z,2021-01-14T00:00:51.8810000Z,2021-01-14T23:56:26.3370000Z,2.0929,2.2432,2.0556,2.0974,334830.83,2670
2021-01-15T00:00:00.0000000Z,2021-01-16T00:00:00.0000000Z,2021-01-15T00:00:18.8140000Z,2021-01-15T23:59:15.3060000Z,2.0989,2.168,1.9,2.0,299975.19,1935
2021-01-16T00:00:00.0000000Z,2021-01-17T00:00:00.0000000Z,2021-01-16T00:08:50.2520000Z,2021-01-16T23:58:14.3490000Z,2.0125,2.2323,2.0001,2.0678,428586.51,2840
2021-01-17T00:00:00.0000000Z,2021-01-18T00:00:00.0000000Z,2021-01-17T00:04:56.4900000Z,2021-01-17T23:58:55.9760000Z,2.067,2.1946,2.0228,2.125,346601.39,2461
2021-01-18T00:00:00.0000000Z,2021-01-19T00:00:00.0000000Z,2021-01-18T00:00:23.8950000Z,2021-01-18T23:59:28.7580000Z,2.125,2.45,2.0683,2.2371,1580511.14,9135
2021-01-19T00:00:00.0000000Z,2021-01-20T00:00:00.0000000Z,2021-01-19T00:00:23.6030000Z,2021-01-19T23:57:58.3680000Z,2.2488,2.253,2.14,2.1608,725645.4,4506
2021-01-20T00:00:00.0000000Z,2021-01-21T00:00:00.0000000Z,2021-01-20T00:02:21.3950000Z,2021-01-20T23:58:58.8440000Z,2.1608,2.6397,2.1,2.2784,2898212.37,13870
2021-01-21T00:00:00.0000000Z,2021-01-22T00:00:00.0000000Z,2021-01-21T00:01:12.8180000Z,2021-01-21T23:59:53.2700000Z,2.2699,3.75,2.219,3.0923,12940790.51,75755
2021-01-22T00:00:00.0000000Z,2021-01-23T00:00:00.0000000Z,2021-01-22T00:00:02.7290000Z,2021-01-22T23:59:41.5100000Z,3.0741,3.85,2.8,3.14,14670393.86,95321
2021-01-23T00:00:00.0000000Z,2021-01-24T00:00:00.0000000Z,2021-01-23T00:00:07.0500000Z,2021-01-23T23:59:35.6490000Z,3.1409,3.1409,2.702,2.82,3523697.26,20645
2021-01-24T00:00:00.0000000Z,2021-01-25T00:00:00.0000000Z,2021-01-24T00:00:08.6090000Z,2021-01-24T23:59:56.2400000Z,2.8199,3.0,2.705,2.7848,2692530.02,15377
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T00:00:40.4870000Z,2021-01-25T23:59:40.5500000Z,2.7848,3.4229,2.7641,3.1347,6899182.1,45399
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:00:12.0220000Z,2021-01-26T23:59:25.7550000Z,3.1498,3.5998,3.0421,3.1029,4355640.92,37844
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:00:11.5830000Z,2021-01-27T23:58:51.9280000Z,3.0926,3.3,2.756,2.949,1689064.72,19599
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:01:08.8710000Z,2021-01-28T23:59:59.0720000Z,2.9411,3.0609,2.8118,2.9657,1089910.89,12518
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:00:07.2320000Z,2021-01-29T23:59:32.2790000Z,2.9745,3.0,2.81,2.8914,798570.9,10850
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:00:57.3700000Z,2021-01-30T23:58:20.4770000Z,2.8915,2.9725,2.7968,2.8785,597421.97,7152
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:01:17.8020000Z,2021-01-31T23:57:26.2620000Z,2.8782,2.9383,2.753,2.8041,724541.78,7986
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:02:04.9990000Z,2021-02-01T23:59:38.8790000Z,2.8042,2.98,2.765,2.8528,529886.41,5627
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:02:33.0140000Z,2021-02-02T23:58:19.9270000Z,2.8529,2.904,2.7939,2.87,394251.52,5225
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:02:39.5720000Z,2021-02-03T23:59:22.8230000Z,2.87,3.1947,2.8659,2.956,1787261.42,16867
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:00:00.1090000Z,2021-02-04T23:59:54.9020000Z,2.9638,3.038,2.9197,2.9574,635200.57,7126
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:02.6390000Z,2021-02-05T23:59:58.6830000Z,2.9614,3.34,2.926,3.2,1644109.39,17882
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:10.8870000Z,2021-02-06T23:55:21.3980000Z,3.2,3.2297,2.9974,3.0871,687860.75,8582
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:30.1770000Z,2021-02-07T23:59:06.1810000Z,3.0871,3.85,3.0811,3.6017,4096908.91,54440
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:29.0710000Z,2021-02-08T23:59:43.0820000Z,3.6129,3.706,3.2902,3.5348,1305564.07,24199
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:20.9830000Z,2021-02-09T23:59:50.3780000Z,3.5444,3.75,3.438,3.7065,988435.54,17359
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:00:01.7930000Z,2021-02-10T23:59:14.7390000Z,3.7065,5.98,3.616,4.8091,11251563.31,140027
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:00:10.4410000Z,2021-02-11T23:59:56.5880000Z,4.7906,5.225,3.9022,4.789,3874322.02,61188
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:02:15.6020000Z,2021-02-12T23:59:57.1270000Z,4.7809,5.0261,4.5776,4.8282,1113950.29,21232
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:00:00.8960000Z,2021-02-13T23:59:59.4210000Z,4.8399,5.48,4.514,4.6054,1771785.86,32197
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:00:05.9410000Z,2021-02-14T23:57:46.6830000Z,4.5912,4.722,4.122,4.3421,1417955.27,20816
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:00:41.4440000Z,2021-02-15T23:59:40.6710000Z,4.3511,4.4142,3.75,4.0775,910627.59,13992
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:01:16.9750000Z,2021-02-16T23:59:59.9900000Z,4.0799,4.7,3.8701,4.593,1255663.53,19562
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:00:04.0210000Z,2021-02-17T23:59:47.1220000Z,4.5887,5.3305,4.1045,4.7948,4758803.35,75679
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:00:06.2580000Z,2021-02-18T23:59:40.8130000Z,4.8059,6.6,4.5329,5.2015,6807928.65,99325
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:01.4710000Z,2021-02-19T23:59:59.3260000Z,5.213,5.84,4.9758,5.275,2459846.15,56105
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:00.8180000Z,2021-02-20T23:59:59.2180000Z,5.265,5.7164,4.9624,5.0808,930550.99,23812
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:00.1180000Z,2021-02-21T23:59:50.9030000Z,5.0808,5.3695,4.9587,5.1249,596228.11,15042
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:01.2430000Z,2021-02-22T23:59:50.6800000Z,5.1249,5.1289,3.98,4.5622,981913.29,19103
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:02.4490000Z,2021-02-23T23:59:44.9150000Z,4.563,4.6394,3.3565,4.0326,1204984.14,19717
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:04.7040000Z,2021-02-24T23:59:46.6800000Z,4.042,5.0,3.8319,4.5046,791580.32,15735
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:31.7870000Z,2021-02-25T23:58:42.8560000Z,4.5046,4.5875,4.0547,4.0548,456105.85,10277
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:01:17.4760000Z,2021-02-26T23:57:33.5840000Z,4.0759,4.2388,3.711,3.859,555601.08,10716
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:14.7130000Z,2021-02-27T23:58:29.1670000Z,3.8817,4.1491,3.8213,3.9224,337167.9,7536
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:44.8480000Z,2021-02-28T23:56:02.8550000Z,3.9224,3.9855,3.5569,3.818,303334.78,5483
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:01:05.9200000Z,2021-03-01T23:57:42.1760000Z,3.7991,4.0299,3.7286,3.99,454008.88,8144
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:01:06.0130000Z,2021-03-02T23:59:27.4480000Z,3.991,4.1392,3.7974,3.8701,457450.28,7896
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:19.3130000Z,2021-03-03T23:59:21.3440000Z,3.8704,4.2,3.8663,4.0944,628537.18,10881
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:40.3720000Z,2021-03-04T23:58:44.0000000Z,4.0944,4.2948,3.65,3.8679,719619.47,12419
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:14.2110000Z,2021-03-05T23:57:21.2420000Z,3.8678,4.0176,3.6003,3.7663,774696.74,11705
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:16.9470000Z,2021-03-06T23:59:50.1670000Z,3.7739,3.9447,3.7501,3.806,338382.46,6926
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:14.0750000Z,2021-03-07T23:57:27.9640000Z,3.8203,3.9806,3.8043,3.8943,377429.46,7344
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:51.6470000Z,2021-03-08T23:59:32.0370000Z,3.8941,3.9576,3.7921,3.9147,438405.92,9026
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:03.2660000Z,2021-03-09T23:59:55.9860000Z,3.92,4.1055,3.8,3.98,879513.06,15898
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:13.2550000Z,2021-03-10T23:59:24.1070000Z,3.98,4.8,3.85,4.1503,1842027.96,31773
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:06.2990000Z,2021-03-11T23:59:31.7430000Z,4.1566,4.3551,3.9381,3.9967,955252.65,18909
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:24.6670000Z,2021-03-12T23:59:34.0220000Z,4.003,4.1098,3.7307,3.768,894732.97,15056
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:00:44.8240000Z,2021-03-13T23:58:54.1260000Z,3.7717,4.154,3.6991,3.98,1279128.58,18101
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:06.7680000Z,2021-03-14T23:59:56.1870000Z,3.98,4.058,3.8316,3.856,731327.34,12284
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:15.7070000Z,2021-03-15T23:59:27.0150000Z,3.856,3.9693,3.65,3.6768,827500.02,12211
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:20.9130000Z,2021-03-16T23:59:29.3950000Z,3.6768,3.8693,3.591,3.7682,903172.72,13083
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:04.1300000Z,2021-03-17T23:59:39.5950000Z,3.7687,4.0539,3.668,3.967,1200128.03,20783
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:00.0370000Z,2021-03-18T23:59:55.9320000Z,3.967,4.6,3.9451,4.1075,2888761.01,43454
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:02.4610000Z,2021-03-19T23:59:53.9000000Z,4.1058,4.2446,4.0111,4.0613,1001127.66,15992
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:01.4050000Z,2021-03-20T23:59:57.4470000Z,4.0613,4.1628,3.9446,3.9685,876430.9,15426
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:19.7450000Z,2021-03-21T23:59:52.6810000Z,3.9743,4.0546,3.85,3.8941,776370.9,15239
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:05.7210000Z,2021-03-22T23:58:25.6970000Z,3.8857,4.252,3.723,3.9443,2127317.41,40947
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:00.9250000Z,2021-03-23T23:59:12.7810000Z,3.9452,4.0304,3.7441,3.8379,1284081.42,18634
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:04:28.1890000Z,2021-03-24T23:59:50.7750000Z,3.7858,4.0335,3.5185,3.5487,1272230.9,17864
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:14.6460000Z,2021-03-25T23:59:55.3710000Z,3.5405,3.6935,3.2493,3.3333,1700832.46,21335
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:00.4860000Z,2021-03-26T23:58:57.1480000Z,3.327,3.7347,3.3042,3.6251,1035925.79,14834
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:04.3230000Z,2021-03-27T23:59:04.2110000Z,3.6251,3.6899,3.4836,3.552,636085.84,9564
