time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T11:00:00.0000000Z,2021-03-29T23:59:57.6200000Z,1.289,1.85,1.278,1.379,34225533.652,170738
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:02.5110000Z,2021-03-30T23:59:58.6450000Z,1.379,1.388,1.22,1.281,14295244.986,80447
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:11.3190000Z,2021-03-31T23:59:56.7630000Z,1.281,1.308,1.1,1.117,15505314.347,65718
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:17.8700000Z,2021-04-01T23:59:47.6810000Z,1.118,1.191,1.003,1.023,14264685.101,57663
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:07.9060000Z,2021-04-02T23:59:59.5150000Z,1.022,1.18,1.001,1.128,11015354.153,48937
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:02.1270000Z,2021-04-03T23:59:59.6720000Z,1.128,1.134,1.021,1.029,6325630.683,24629
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:37.2980000Z,2021-04-04T23:59:59.9240000Z,1.024,1.16,1.021,1.138,9723854.66,61704
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:32.2830000Z,2021-04-05T23:59:40.0000000Z,1.137,1.277,1.101,1.222,12136809.209,54323
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:54.6490000Z,2021-04-06T23:59:53.4990000Z,1.225,1.24,1.09,1.142,5332904.061,25476
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:20.0890000Z,2021-04-07T23:59:59.2090000Z,1.142,1.177,1.074,1.129,6731099.053,26022
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:01.7680000Z,2021-04-08T23:59:58.7230000Z,1.129,1.31,1.114,1.274,12247680.077,48931
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:00:05.9010000Z,2021-04-09T23:59:21.8350000Z,1.274,1.371,1.243,1.266,6834042.66,31419
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:12.6380000Z,2021-04-10T05:34:21.5600000Z,1.266,1.33,1.236,1.303,2020425.316,6994
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:10.7300000Z,2021-04-11T14:31:12.9920000Z,1.235,1.264,1.18,1.211,2749090.505,11806
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:09.4100000Z,2021-04-12T23:59:54.2870000Z,1.206,1.264,1.172,1.202,4640536.583,20583
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:01:29.5390000Z,2021-04-13T23:59:48.2660000Z,1.202,1.209,1.1,1.127,5887276.796,23390
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:16.0650000Z,2021-04-14T23:59:52.4390000Z,1.127,1.155,1.069,1.141,5527962.05,20534
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:11.3150000Z,2021-04-15T23:58:44.1770000Z,1.142,1.2,1.098,1.108,6713811.72,30639
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:01.6030000Z,2021-04-16T23:59:14.1530000Z,1.107,1.137,1.051,1.075,5346312.559,23731
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:07.5890000Z,2021-04-17T23:59:56.9780000Z,1.073,1.119,1.026,1.05,5878298.181,22507
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:04.2590000Z,2021-04-18T23:59:52.1270000Z,1.05,1.051,0.8,0.972,11601766.086,34797
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:12.1630000Z,2021-04-19T23:59:03.4280000Z,0.97,1.2,0.96,1.067,15522079.168,58299
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:06.7900000Z,2021-04-20T01:59:57.3270000Z,1.066,1.107,1.035,1.088,957293.817,3544
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:03.6190000Z,2021-04-21T23:59:12.3400000Z,1.043,1.043,0.937,0.942,5340811.62,18010
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:14.5130000Z,2021-04-22T23:59:35.0480000Z,0.942,1.034,0.9,0.904,6490566.596,22492
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:03.8710000Z,2021-04-23T23:59:42.6430000Z,0.904,0.905,0.779,0.869,4860712.137,16100
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:17.0840000Z,2021-04-24T00:23:01.5550000Z,0.868,0.87,0.86,0.86,40371.63,136
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:09.1790000Z,2021-04-25T03:57:21.7020000Z,0.849,0.86,0.827,0.834,254475.312,1021
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:08.3170000Z,2021-04-26T23:59:18.6940000Z,0.862,0.96,0.86,0.943,3622908.04,15956
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:19.1510000Z,2021-04-27T23:59:57.1490000Z,0.941,1.076,0.935,1.014,5917344.646,23812
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:53.0250000Z,2021-04-28T23:59:55.7230000Z,1.014,1.13,0.989,1.045,12515765.577,31284
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:02.8330000Z,2021-04-29T23:59:06.1240000Z,1.043,1.049,0.95,0.997,9986996.266,28219
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:06.4420000Z,2021-04-30T23:59:23.6320000Z,0.997,1.029,0.966,1.0,6924929.968,18493
2021-05-01T00:00:00.0000000Z,2021-05-02T00:00:00.0000000Z,2021-05-01T00:00:01.8830000Z,2021-05-01T23:59:45.1500000Z,1.0,1.011,0.975,0.99,5270637.404,14266
