time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T06:01:56.7730000Z,2021-10-22T23:59:58.2720000Z,6.071,6.3,4.492,4.617,9941019.1,179419
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:03.6220000Z,2021-10-23T23:59:47.2310000Z,4.606,4.889,3.735,3.788,2406060.4,41952
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:04.6730000Z,2021-10-24T23:59:55.8310000Z,3.784,3.952,3.246,3.43,1631884.6,23913
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:05.5200000Z,2021-10-25T23:59:51.8050000Z,3.422,4.098,3.287,3.446,3069822.8,49103
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:01.1360000Z,2021-10-26T23:59:53.9290000Z,3.446,3.998,3.35,3.529,2560030.3,43098
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:00:51.7700000Z,2021-10-27T23:59:10.3760000Z,3.529,3.734,2.958,2.975,1504765.3,26163
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:17.7850000Z,2021-10-28T23:59:59.8740000Z,2.979,3.154,2.795,2.943,1603979.6,26636
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:04.6680000Z,2021-10-29T23:58:02.9400000Z,2.949,3.174,2.912,3.06,1014057.3,19764
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:01:04.6220000Z,2021-10-30T23:59:56.4450000Z,3.063,3.285,2.955,2.992,801106.0,17667
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:11.4630000Z,2021-10-31T23:59:29.3360000Z,2.994,3.019,2.811,2.925,630906.7,11820
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:01:46.6650000Z,2021-11-01T23:59:42.4340000Z,2.926,3.509,2.853,3.263,1094958.7,27169
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:24.5660000Z,2021-11-02T23:59:29.6960000Z,3.263,3.819,3.162,3.221,1443271.4,30219
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:21.5930000Z,2021-11-03T23:59:31.1920000Z,3.226,3.581,3.144,3.292,770581.2,17520
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:35.5540000Z,2021-11-04T23:59:51.7040000Z,3.287,3.398,2.905,3.058,626383.5,12463
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:01:06.2720000Z,2021-11-05T23:56:48.9610000Z,3.055,3.055,2.82,2.866,631497.0,9335
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:01:17.0130000Z,2021-11-06T23:59:16.8340000Z,2.862,2.947,2.812,2.937,381048.8,6248
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:03.4940000Z,2021-11-07T23:59:17.5490000Z,2.941,3.102,2.869,2.887,423830.0,7484
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:20.6320000Z,2021-11-08T23:56:37.1420000Z,2.891,2.998,2.78,2.913,473425.2,6875
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:01:04.9070000Z,2021-11-09T23:57:25.9860000Z,2.913,3.053,2.776,2.804,369128.0,6973
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:01:36.1990000Z,2021-11-10T23:59:36.8410000Z,2.807,2.906,2.553,2.589,607171.6,8277
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:04:07.2580000Z,2021-11-11T23:58:30.8160000Z,2.586,2.694,2.49,2.558,623508.3,7899
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:01:10.8560000Z,2021-11-12T23:47:52.8310000Z,2.561,2.64,2.321,2.395,548090.3,6945
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:02:46.9700000Z,2021-11-13T23:59:32.3030000Z,2.41,2.628,2.336,2.617,712123.7,10441
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:01.1150000Z,2021-11-14T23:59:49.5810000Z,2.619,2.752,2.462,2.53,1079277.4,15524
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:13.4190000Z,2021-11-15T23:58:17.6020000Z,2.532,2.537,2.35,2.351,319544.1,4941
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:20.3570000Z,2021-11-16T23:59:40.0130000Z,2.354,2.358,2.012,2.077,1100012.5,11449
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:32.4530000Z,2021-11-17T23:56:10.8190000Z,2.076,2.168,1.968,2.091,399223.7,5448
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:58.0900000Z,2021-11-18T23:59:26.2120000Z,2.095,2.154,1.767,1.791,586417.9,6272
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:03:10.3240000Z,2021-11-19T23:59:53.5660000Z,1.795,1.977,1.747,1.885,582667.5,6700
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:15.1040000Z,2021-11-20T23:59:42.9460000Z,1.88,2.469,1.82,2.169,1557133.5,20545
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:52.1930000Z,2021-11-21T23:59:59.4850000Z,2.167,6.105,2.15,3.564,23849676.2,305662
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-22T23:59:56.4570000Z,3.573,4.248,2.82,2.827,20486041.0,244706
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:01.3460000Z,2021-11-23T23:59:56.8330000Z,2.831,3.042,2.751,2.835,4097338.7,49475
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:22.7750000Z,2021-11-24T23:58:07.3030000Z,2.832,2.843,2.485,2.583,2384902.5,34954
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:01:41.4800000Z,2021-11-25T23:59:33.1770000Z,2.584,2.66,2.356,2.588,1993694.4,28905
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:08.3390000Z,2021-11-26T23:59:49.0340000Z,2.586,3.332,2.155,2.621,5715720.5,88329
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:00.8820000Z,2021-11-27T23:59:21.6740000Z,2.628,4.116,2.508,3.137,13615362.4,197696
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:11.0050000Z,2021-11-28T23:59:37.6160000Z,3.131,3.293,2.733,2.882,4769228.2,73469
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:32.8610000Z,2021-11-29T23:59:51.8180000Z,2.884,2.979,2.681,2.716,2239323.3,28824
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:17.1840000Z,2021-11-30T23:59:55.9550000Z,2.717,2.73,2.553,2.556,958241.7,12314
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:01:18.6060000Z,2021-12-01T23:59:41.5470000Z,2.552,2.749,2.461,2.581,1640059.3,25396
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:06.5570000Z,2021-12-02T23:59:55.6050000Z,2.581,2.659,2.415,2.497,1480658.3,24024
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:39.6760000Z,2021-12-03T23:57:59.8610000Z,2.502,2.592,2.247,2.317,1306636.1,18664
