time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T10:01:52.8750000Z,2021-06-18T23:47:46.4800000Z,0.1899,0.1997,0.1716,0.1797,455192.0,1071
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:03:26.2230000Z,2021-06-19T23:51:28.6880000Z,0.1791,0.1867,0.1702,0.1744,1050473.0,990
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:19.8950000Z,2021-06-20T23:57:39.3800000Z,0.1718,0.1802,0.1603,0.1746,345983.0,638
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:02:06.5460000Z,2021-06-21T23:54:00.8690000Z,0.1746,0.1755,0.1332,0.1354,669823.0,907
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:35.0690000Z,2021-06-22T22:40:11.6080000Z,0.1351,0.1445,0.1157,0.1324,578558.0,489
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:04:21.5080000Z,2021-06-23T23:58:35.9570000Z,0.1318,0.17,0.1288,0.1431,1283187.0,942
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:28.8000000Z,2021-06-24T23:54:23.4780000Z,0.1431,0.151,0.1369,0.1473,897750.0,815
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:06:20.9930000Z,2021-06-25T23:55:51.9740000Z,0.1473,0.1484,0.1272,0.1295,502426.0,560
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:04:10.4420000Z,2021-06-26T23:57:47.0870000Z,0.1276,0.136,0.122,0.134,1121160.0,725
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:17.1760000Z,2021-06-27T23:59:15.9590000Z,0.1347,0.1372,0.1265,0.1372,584009.0,540
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:13:40.3440000Z,2021-06-28T23:57:29.8710000Z,0.1366,0.1549,0.1355,0.1455,830290.0,865
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:06:58.0280000Z,2021-06-29T23:59:56.8420000Z,0.1451,0.1551,0.1438,0.1461,800664.0,926
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:05:22.7160000Z,2021-06-30T23:57:09.7260000Z,0.145,0.1515,0.138,0.1484,1151619.0,1309
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:10:05.2350000Z,2021-07-01T23:51:48.2280000Z,0.1473,0.1515,0.1347,0.1375,1227626.0,1053
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:07:30.9880000Z,2021-07-02T23:50:17.0360000Z,0.1377,0.1457,0.13,0.1352,1487577.0,1344
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:21:43.9310000Z,2021-07-03T23:59:51.7610000Z,0.1352,0.1459,0.1327,0.1406,946172.0,766
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:20.2980000Z,2021-07-04T23:58:50.4900000Z,0.1408,0.1682,0.1365,0.1501,3354957.0,4206
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:29.3160000Z,2021-07-05T23:53:40.1860000Z,0.1493,0.1522,0.1371,0.1415,1671688.0,1855
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:07:13.0840000Z,2021-07-06T23:44:30.2860000Z,0.1429,0.1586,0.1429,0.1488,3323624.0,3067
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:08:20.3860000Z,2021-07-07T23:57:05.3310000Z,0.1493,0.1785,0.1473,0.16,4720400.0,4179
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:32.2780000Z,2021-07-08T23:54:25.3900000Z,0.1588,0.1859,0.1507,0.1529,28212295.0,48468
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:08.4510000Z,2021-07-09T23:59:39.3540000Z,0.1529,0.16,0.1451,0.1553,7224972.0,12556
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:00:40.2950000Z,2021-07-10T23:59:02.6890000Z,0.1552,0.1928,0.154,0.1908,16778990.0,21752
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:17.5560000Z,2021-07-11T23:59:10.0660000Z,0.1902,0.1949,0.1737,0.1766,11511670.0,14450
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:00:11.6660000Z,2021-07-12T23:59:01.3850000Z,0.177,0.1837,0.1597,0.165,7915310.0,12673
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:00:01.2820000Z,2021-07-13T23:59:59.6710000Z,0.1647,0.2171,0.1617,0.2052,21089023.0,25396
