time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T08:00:01.6460000Z,2021-03-13T23:59:59.2600000Z,0.95,1.09,0.5784,0.6023,28966487.13,62221
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:01.2560000Z,2021-03-14T23:59:56.8380000Z,0.6021,0.7594,0.5677,0.6524,37689013.96,85690
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:00.7390000Z,2021-03-15T23:59:57.3990000Z,0.6524,0.6872,0.5851,0.6063,31265738.83,59768
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:01.9380000Z,2021-03-16T23:59:59.6530000Z,0.6063,0.6135,0.471,0.5202,48335071.8,72486
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:05.2370000Z,2021-03-17T23:59:50.5910000Z,0.5206,0.618,0.4795,0.5813,48932595.18,83657
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:01.9410000Z,2021-03-18T23:59:45.5060000Z,0.5807,0.6732,0.5646,0.6389,39963429.96,88513
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:07.7880000Z,2021-03-19T23:59:59.1580000Z,0.6376,0.72,0.5863,0.6049,31092372.17,75616
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:12.2010000Z,2021-03-20T23:59:49.5240000Z,0.6055,0.6171,0.5348,0.5441,16000374.47,40359
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:09.5330000Z,2021-03-21T23:59:57.6350000Z,0.545,0.6,0.532,0.5555,15162796.97,40233
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:00.3030000Z,2021-03-22T23:59:52.2100000Z,0.5549,0.5645,0.4952,0.508,13995793.03,31815
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:03.9010000Z,2021-03-23T23:59:50.2910000Z,0.5088,0.5374,0.475,0.5077,17494653.22,41932
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:02.5700000Z,2021-03-24T23:59:56.1990000Z,0.5076,0.5606,0.4448,0.4821,23847535.72,51172
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:19.5700000Z,2021-03-25T23:59:48.6920000Z,0.4816,0.5025,0.458,0.4836,14051685.76,32008
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:13.0210000Z,2021-03-26T23:59:59.5190000Z,0.4825,0.5329,0.4812,0.516,13186927.19,26967
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:00:00.9830000Z,2021-03-27T23:59:52.3570000Z,0.5155,0.5475,0.4904,0.5237,14716002.6,27610
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:13.3730000Z,2021-03-28T23:59:47.6520000Z,0.5239,0.5571,0.5107,0.5409,18265234.27,33262
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:10.0240000Z,2021-03-29T23:59:46.5790000Z,0.541,0.5433,0.5149,0.53,9542917.72,19317
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:19.1280000Z,2021-03-30T23:59:32.9530000Z,0.531,0.5419,0.5162,0.5257,12713127.07,21506
2021-03-31T00:00:00.0000000Z,2021-04-01T00:00:00.0000000Z,2021-03-31T00:00:22.8180000Z,2021-03-31T23:59:48.5380000Z,0.5257,0.5264,0.47,0.5007,12701032.04,27092
2021-04-01T00:00:00.0000000Z,2021-04-02T00:00:00.0000000Z,2021-04-01T00:00:09.2990000Z,2021-04-01T23:59:38.2780000Z,0.5009,0.5065,0.4801,0.4879,7956053.76,17625
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T00:00:04.1810000Z,2021-04-02T23:59:51.7060000Z,0.4887,0.5226,0.4831,0.4921,13951275.04,27120
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:07.1580000Z,2021-04-03T23:59:39.7750000Z,0.4935,0.5067,0.4227,0.4533,16754126.03,29721
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:06.4030000Z,2021-04-04T23:59:52.9230000Z,0.4533,0.5494,0.4433,0.4875,67890518.64,234977
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:02.7630000Z,2021-04-05T23:59:46.7500000Z,0.4874,0.4984,0.4559,0.4601,11723279.68,25908
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:03.3130000Z,2021-04-06T23:59:48.8410000Z,0.4601,0.4683,0.4228,0.4466,14559343.15,29435
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:01.9870000Z,2021-04-07T23:59:36.5300000Z,0.4466,0.4944,0.3679,0.4512,37376437.31,73646
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:10.7370000Z,2021-04-08T23:59:57.9870000Z,0.4525,0.5311,0.4367,0.4884,38118328.13,70444
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:00:39.6700000Z,2021-04-09T23:59:55.3370000Z,0.4897,0.5076,0.4691,0.4823,15973769.32,29865
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:01.4790000Z,2021-04-10T05:34:06.8010000Z,0.4823,0.4826,0.4656,0.4739,1560373.73,3719
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:06.7650000Z,2021-04-11T23:59:55.4880000Z,0.4614,0.4817,0.4359,0.4649,15178499.59,29092
2021-04-12T00:00:00.0000000Z,2021-04-13T00:00:00.0000000Z,2021-04-12T00:00:02.1640000Z,2021-04-12T23:59:57.0700000Z,0.4648,0.5899,0.4562,0.5678,43647938.89,80014
2021-04-13T00:00:00.0000000Z,2021-04-14T00:00:00.0000000Z,2021-04-13T00:00:00.7890000Z,2021-04-13T23:59:55.7730000Z,0.5675,0.575,0.5011,0.5189,37606515.81,67016
2021-04-14T00:00:00.0000000Z,2021-04-15T00:00:00.0000000Z,2021-04-14T00:00:06.9810000Z,2021-04-14T23:59:59.2630000Z,0.5189,0.5281,0.4753,0.5025,31630788.29,43967
2021-04-15T00:00:00.0000000Z,2021-04-16T00:00:00.0000000Z,2021-04-15T00:00:05.5810000Z,2021-04-15T23:59:39.9480000Z,0.503,0.5763,0.496,0.5339,42661901.54,74696
2021-04-16T00:00:00.0000000Z,2021-04-17T00:00:00.0000000Z,2021-04-16T00:00:00.6020000Z,2021-04-16T23:59:57.6280000Z,0.5349,0.8402,0.5099,0.77,130070610.98,250953
2021-04-17T00:00:00.0000000Z,2021-04-18T00:00:00.0000000Z,2021-04-17T00:00:04.3310000Z,2021-04-17T23:59:56.1450000Z,0.7712,0.7923,0.5966,0.6185,66252549.86,109706
2021-04-18T00:00:00.0000000Z,2021-04-19T00:00:00.0000000Z,2021-04-18T00:00:05.6180000Z,2021-04-18T23:59:58.0340000Z,0.6195,0.6641,0.452,0.551,52237841.75,99296
2021-04-19T00:00:00.0000000Z,2021-04-20T00:00:00.0000000Z,2021-04-19T00:00:06.0040000Z,2021-04-19T23:59:56.3000000Z,0.5509,0.5875,0.485,0.507,37209081.81,64581
2021-04-20T00:00:00.0000000Z,2021-04-21T00:00:00.0000000Z,2021-04-20T00:00:06.3420000Z,2021-04-20T01:59:59.9140000Z,0.5075,0.512,0.4511,0.471,6964332.72,12210
2021-04-21T00:00:00.0000000Z,2021-04-22T00:00:00.0000000Z,2021-04-21T00:00:00.2860000Z,2021-04-21T23:59:30.1460000Z,0.5127,0.5917,0.5028,0.5216,57217421.17,85568
2021-04-22T00:00:00.0000000Z,2021-04-23T00:00:00.0000000Z,2021-04-22T00:00:12.3950000Z,2021-04-22T23:59:34.3340000Z,0.5228,0.5418,0.4401,0.4667,36622017.78,54795
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T00:00:16.2620000Z,2021-04-23T23:59:53.7680000Z,0.4647,0.4748,0.3224,0.4312,72705665.79,67693
2021-04-24T00:00:00.0000000Z,2021-04-25T00:00:00.0000000Z,2021-04-24T00:00:03.4480000Z,2021-04-24T23:59:26.3630000Z,0.4316,0.4403,0.3846,0.3888,36637411.13,39343
2021-04-25T00:00:00.0000000Z,2021-04-26T00:00:00.0000000Z,2021-04-25T00:00:04.4900000Z,2021-04-25T04:00:48.4760000Z,0.3889,0.4017,0.3863,0.3901,2235370.17,4332
2021-04-26T00:00:00.0000000Z,2021-04-27T00:00:00.0000000Z,2021-04-26T00:00:27.2490000Z,2021-04-26T23:59:54.1710000Z,0.393,0.4791,0.388,0.4574,39974538.67,49662
2021-04-27T00:00:00.0000000Z,2021-04-28T00:00:00.0000000Z,2021-04-27T00:01:17.4650000Z,2021-04-27T23:59:59.4550000Z,0.449,0.5385,0.4449,0.518,42314054.9,51957
2021-04-28T00:00:00.0000000Z,2021-04-29T00:00:00.0000000Z,2021-04-28T00:00:06.1690000Z,2021-04-28T23:59:57.9890000Z,0.5178,0.5666,0.4745,0.536,50026588.08,69629
2021-04-29T00:00:00.0000000Z,2021-04-30T00:00:00.0000000Z,2021-04-29T00:00:01.2370000Z,2021-04-29T23:59:46.7000000Z,0.5357,0.6181,0.513,0.5633,72756669.1,88869
2021-04-30T00:00:00.0000000Z,2021-05-01T00:00:00.0000000Z,2021-04-30T00:00:06.8420000Z,2021-04-30T23:59:54.7090000Z,0.5634,0.58,0.5389,0.571,28833594.19,32395
