time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T08:12:13.1710000Z,2021-11-10T23:59:59.9840000Z,19.95,20.5,14.56,16.36,2734155.7,108750
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:00.1700000Z,2021-11-11T23:59:57.1370000Z,16.31,17.74,14.9,15.13,896744.43,43072
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:00.6450000Z,2021-11-12T23:59:59.1680000Z,15.13,15.21,14.23,14.58,347260.75,16392
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:15.2340000Z,2021-11-13T23:59:59.1880000Z,14.55,15.93,14.33,15.03,405345.8,18931
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:05.6020000Z,2021-11-14T23:59:38.6910000Z,15.03,15.19,14.6,14.83,209428.85,9688
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:08.9640000Z,2021-11-15T23:58:32.9290000Z,14.85,15.5,14.68,15.0,286087.97,11752
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:05.9430000Z,2021-11-16T23:58:26.6420000Z,15.03,15.05,13.5,14.05,297042.32,12942
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:25.1160000Z,2021-11-17T23:59:06.6260000Z,14.05,14.28,13.52,13.77,144822.59,7095
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:19.2260000Z,2021-11-18T23:59:44.3880000Z,13.77,13.81,12.6,12.7,241872.25,9797
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:02.9590000Z,2021-11-19T23:59:26.5440000Z,12.7,14.45,12.63,13.42,286500.97,10714
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:01:01.1860000Z,2021-11-20T23:58:31.3370000Z,13.39,13.72,13.1,13.31,187652.48,7020
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:16.5740000Z,2021-11-21T23:59:41.8490000Z,13.31,14.3,12.88,13.11,249639.4,10319
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:01.8840000Z,2021-11-22T23:58:51.9780000Z,13.11,14.23,12.92,13.3,369974.56,17966
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:01:10.9330000Z,2021-11-23T23:58:01.0710000Z,13.3,13.77,12.34,12.6,289851.66,13370
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:52.7260000Z,2021-11-24T23:59:57.4950000Z,12.64,12.77,12.09,12.35,282050.33,13110
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:01:40.4380000Z,2021-11-25T23:59:52.0850000Z,12.37,12.6,12.07,12.36,192361.19,9992
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:08.6970000Z,2021-11-26T23:59:47.8300000Z,12.38,12.46,11.01,11.17,216366.35,8580
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:02.6830000Z,2021-11-27T23:59:38.0850000Z,11.18,11.75,11.17,11.43,94484.17,4848
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:02:55.5670000Z,2021-11-28T23:59:01.1750000Z,11.41,11.42,10.9,11.41,91705.74,4508
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:42.8890000Z,2021-11-29T23:58:40.3150000Z,11.43,11.54,11.23,11.49,82033.09,4545
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:12.7230000Z,2021-11-30T23:59:38.5290000Z,11.49,11.84,10.95,11.06,230930.65,9344
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:19.5430000Z,2021-12-01T23:55:54.5350000Z,11.06,11.41,10.87,10.92,133042.52,7110
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:19.8700000Z,2021-12-02T23:57:18.7950000Z,10.9,10.91,10.48,10.64,107432.48,5074
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:24.4480000Z,2021-12-03T23:59:50.0600000Z,10.64,10.89,10.0,10.19,142288.67,6214
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:22.6880000Z,2021-12-04T23:59:41.3420000Z,10.2,10.2,8.5,9.62,229938.83,7947
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:03.5630000Z,2021-12-05T23:59:44.9430000Z,9.62,12.1,9.44,9.98,2146809.64,79652
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:09.6550000Z,2021-12-06T23:59:55.0840000Z,9.97,10.9,9.28,10.42,732780.47,26517
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:35.4990000Z,2021-12-07T23:59:37.4390000Z,10.4,11.0,9.93,10.29,258272.98,10839
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:02:04.6240000Z,2021-12-08T23:58:44.6810000Z,10.27,10.42,9.88,10.29,134825.32,6272
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:01:10.7540000Z,2021-12-09T23:58:19.6880000Z,10.29,12.73,9.89,10.03,636192.79,20239
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:13.9780000Z,2021-12-10T23:59:39.3600000Z,10.01,11.0,9.68,9.79,309642.12,12876
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:21.7380000Z,2021-12-11T23:57:46.7500000Z,9.81,11.0,9.67,10.1,462762.57,17331
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:01:27.0260000Z,2021-12-12T13:30:13.9610000Z,10.12,10.2,9.98,10.11,66953.35,3063
