time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-29T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,2021-07-29T06:01:04.3660000Z,2021-07-29T23:59:50.7350000Z,1.549,2.485,1.23,1.282,66799962.4,222614
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T00:00:02.7490000Z,2021-07-30T23:59:56.7640000Z,1.282,1.282,1.142,1.207,19956953.1,51801
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:00:04.0590000Z,2021-07-31T23:59:46.1780000Z,1.207,1.25,1.158,1.188,8417753.5,22430
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:00:01.0110000Z,2021-08-01T23:58:41.0540000Z,1.188,1.198,1.086,1.112,5512260.8,19694
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:00:52.8190000Z,2021-08-02T23:59:47.5610000Z,1.115,1.145,1.06,1.087,4973397.7,20268
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:00:37.4230000Z,2021-08-03T23:59:46.6410000Z,1.088,1.11,0.956,1.016,6905940.4,23345
2021-08-04T00:00:00.0000000Z,2021-08-05T00:00:00.0000000Z,2021-08-04T00:00:00.8930000Z,2021-08-04T23:59:39.4860000Z,1.015,1.22,0.989,1.137,11526606.8,44116
2021-08-05T00:00:00.0000000Z,2021-08-06T00:00:00.0000000Z,2021-08-05T00:00:03.7750000Z,2021-08-05T23:59:59.4210000Z,1.138,1.159,1.005,1.057,12046486.9,39474
2021-08-06T00:00:00.0000000Z,2021-08-07T00:00:00.0000000Z,2021-08-06T00:00:02.2130000Z,2021-08-06T23:59:55.0730000Z,1.057,1.099,1.022,1.058,6706870.2,24204
2021-08-07T00:00:00.0000000Z,2021-08-08T00:00:00.0000000Z,2021-08-07T00:00:58.7710000Z,2021-08-07T23:59:19.7480000Z,1.058,1.1,1.039,1.072,6626552.9,23109
2021-08-08T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,2021-08-08T00:00:10.8310000Z,2021-08-08T23:59:46.7860000Z,1.071,1.086,1.004,1.018,4439447.5,17402
2021-08-09T00:00:00.0000000Z,2021-08-10T00:00:00.0000000Z,2021-08-09T00:00:18.7280000Z,2021-08-09T23:59:55.7400000Z,1.02,1.169,1.0,1.081,8897813.6,33038
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T00:00:13.2490000Z,2021-08-10T23:59:24.4700000Z,1.083,1.449,1.061,1.238,24845933.1,99614
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:00:13.1410000Z,2021-08-11T23:59:24.5460000Z,1.24,1.36,1.177,1.236,16551028.9,68075
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:00.3010000Z,2021-08-12T23:59:55.0070000Z,1.236,1.888,1.221,1.543,74232442.9,365304
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:01.2740000Z,2021-08-13T23:59:24.4010000Z,1.544,1.69,1.442,1.457,15267665.7,73961
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:00.1840000Z,2021-08-14T23:59:59.0800000Z,1.457,1.647,1.424,1.51,11865648.8,59641
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:00.5120000Z,2021-08-15T23:59:58.3440000Z,1.513,1.587,1.445,1.546,8666083.8,40971
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:20.3980000Z,2021-08-16T23:59:59.9720000Z,1.546,1.969,1.546,1.897,28355130.2,161650
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:00.0110000Z,2021-08-17T23:59:59.4580000Z,1.897,1.956,1.553,1.562,15303270.9,95406
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:09.2950000Z,2021-08-18T23:59:57.6830000Z,1.56,1.668,1.506,1.559,7853331.0,42669
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:00:04.4330000Z,2021-08-19T23:59:54.0450000Z,1.552,1.74,1.522,1.664,8009693.4,43400
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:01.8920000Z,2021-08-20T23:59:38.0300000Z,1.663,1.706,1.579,1.615,7109892.3,36897
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:13.3070000Z,2021-08-21T23:59:35.8250000Z,1.615,1.675,1.556,1.558,5761448.8,27822
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:00:13.1470000Z,2021-08-22T23:59:44.0370000Z,1.557,1.561,1.468,1.513,3608503.6,17645
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:00:00.3530000Z,2021-08-23T23:59:31.0590000Z,1.513,1.639,1.45,1.541,11276202.4,48092
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:27.3800000Z,2021-08-24T23:59:28.1680000Z,1.541,1.562,1.38,1.421,6312554.4,29153
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:01.7480000Z,2021-08-25T23:59:42.6500000Z,1.421,1.645,1.338,1.586,12032447.0,57915
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:00.0780000Z,2021-08-26T23:59:53.2850000Z,1.586,1.65,1.442,1.482,11312447.3,50483
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:05.7900000Z,2021-08-27T23:59:55.8410000Z,1.48,1.709,1.424,1.619,16581439.0,83322
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:01.0640000Z,2021-08-28T23:59:57.9350000Z,1.619,1.749,1.541,1.719,14006049.0,71509
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:00.5930000Z,2021-08-29T23:59:51.1740000Z,1.722,1.743,1.558,1.607,13350831.8,68007
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:00.8100000Z,2021-08-30T23:59:56.7820000Z,1.609,1.952,1.547,1.697,34142514.1,188598
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:00.3430000Z,2021-08-31T23:59:50.0280000Z,1.698,2.177,1.67,1.765,44276018.8,248775
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:22.9470000Z,2021-09-01T23:59:54.6620000Z,1.766,1.888,1.693,1.782,19135170.0,106460
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:11.3940000Z,2021-09-02T23:59:40.3160000Z,1.781,1.806,1.682,1.747,8810405.2,42523
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:09.6140000Z,2021-09-03T23:59:45.2580000Z,1.747,1.874,1.683,1.796,9991187.4,60363
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:11.1730000Z,2021-09-04T23:59:59.9790000Z,1.796,1.808,1.706,1.714,5434244.0,24629
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:12.3860000Z,2021-09-05T23:59:55.3840000Z,1.715,1.78,1.656,1.701,6257580.5,33507
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:01:01.3990000Z,2021-09-06T23:59:39.0110000Z,1.713,1.775,1.622,1.658,7292944.7,34464
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:00:21.1690000Z,2021-09-07T23:58:54.4460000Z,1.658,1.701,1.101,1.354,12985924.1,65406
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:16.3160000Z,2021-09-08T23:59:51.9410000Z,1.354,1.39,1.185,1.291,7909620.7,39045
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:00:10.9330000Z,2021-09-09T23:59:37.4240000Z,1.291,1.502,1.263,1.393,17145543.1,78787
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:14.9550000Z,2021-09-10T23:59:54.6410000Z,1.393,1.498,1.223,1.278,7789504.9,46656
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:06.7750000Z,2021-09-11T23:59:59.3610000Z,1.276,1.699,1.242,1.554,21322985.4,129176
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:03.0970000Z,2021-09-12T23:59:55.5320000Z,1.556,1.65,1.49,1.535,14260910.9,82922
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:00.4520000Z,2021-09-13T23:57:38.6110000Z,1.535,1.588,1.324,1.412,11102233.2,61677
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:01:20.1830000Z,2021-09-14T23:59:55.0130000Z,1.412,1.5,1.384,1.459,5716522.5,33884
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:10.8870000Z,2021-09-15T23:59:32.2740000Z,1.459,1.48,1.387,1.436,5664986.1,30752
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:18.1820000Z,2021-09-16T23:59:28.8070000Z,1.434,1.439,1.327,1.36,5979586.3,31831
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:12.0060000Z,2021-09-17T23:59:56.6710000Z,1.36,1.367,1.263,1.299,8087247.4,35545
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:22.2660000Z,2021-09-18T23:59:56.0660000Z,1.299,1.396,1.285,1.342,10657817.8,37304
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:35.2460000Z,2021-09-19T23:57:28.4020000Z,1.338,1.372,1.287,1.304,5144208.4,22008
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:02:01.7850000Z,2021-09-20T23:59:55.6470000Z,1.306,1.34,1.116,1.19,9266622.9,49164
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:00.7430000Z,2021-09-21T23:59:59.1030000Z,1.191,1.259,1.124,1.154,4725722.3,21917
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:05.4370000Z,2021-09-22T23:58:35.0460000Z,1.152,1.289,1.132,1.244,5240199.3,23224
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:04.5030000Z,2021-09-23T23:59:52.9210000Z,1.244,1.28,1.187,1.228,4473836.8,22241
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:05.7590000Z,2021-09-24T23:59:35.0420000Z,1.228,1.348,1.058,1.157,10446513.3,47223
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:02:01.8160000Z,2021-09-25T23:57:58.9770000Z,1.158,1.179,1.082,1.121,3243249.7,15049
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:26.0920000Z,2021-09-26T23:59:46.3240000Z,1.122,1.124,0.954,1.041,11504993.5,32002
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:02.9510000Z,2021-09-27T23:59:49.1840000Z,1.042,1.138,1.03,1.036,6861436.7,30382
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:00.4500000Z,2021-09-28T23:59:47.4500000Z,1.036,1.069,0.988,1.01,3860482.1,16651
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:11.2250000Z,2021-09-29T23:58:06.1800000Z,1.011,1.057,0.9,0.985,5863461.5,19319
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:01:45.2270000Z,2021-09-30T23:58:32.4640000Z,0.985,1.246,0.98,1.115,14261991.5,56640
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:13.5140000Z,2021-10-01T23:58:52.6030000Z,1.116,1.229,1.101,1.157,10873927.4,48837
