time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T09:11:59.0990000Z,2021-12-03T23:58:46.2180000Z,3.2,3.27,2.7419,2.7756,347332.0,2602
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:11.0050000Z,2021-12-04T23:59:52.0500000Z,2.775,2.8347,0.8,2.3945,708939.0,4324
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:04:05.4940000Z,2021-12-05T23:59:10.3280000Z,2.42,2.5886,2.0611,2.1875,680259.0,3885
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:02:21.3000000Z,2021-12-06T23:58:15.3270000Z,2.1588,2.4214,1.7943,2.2113,779890.0,4546
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:08.3070000Z,2021-12-07T23:59:58.8110000Z,2.1745,3.2628,2.1415,2.8578,4570711.0,31400
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:09.3510000Z,2021-12-08T23:59:42.8720000Z,2.8578,3.1354,2.5161,2.6555,3786259.0,28744
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:01:06.7920000Z,2021-12-09T23:58:55.4690000Z,2.6556,2.7349,2.284,2.3161,1246039.0,9212
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:33.6520000Z,2021-12-10T23:59:17.5940000Z,2.3175,2.5536,2.1264,2.1433,1096373.0,8208
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:03.8060000Z,2021-12-11T23:56:55.8020000Z,2.1433,2.5145,2.1005,2.2985,1394134.0,8929
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:00:13.2550000Z,2021-12-12T13:30:35.4700000Z,2.2985,2.5196,2.2634,2.3017,700132.0,4836
