time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T10:02:51.6250000Z,2021-10-04T23:59:20.8580000Z,2.863,2.982,2.393,2.462,3937660.5,33739
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:06.7450000Z,2021-10-05T23:59:46.2610000Z,2.462,2.7,2.302,2.37,3154115.1,21295
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:02.2470000Z,2021-10-06T23:57:46.2560000Z,2.37,2.455,2.205,2.285,2292305.1,11638
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:20.6610000Z,2021-10-07T23:59:19.7710000Z,2.285,2.315,2.181,2.193,2150554.9,9329
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:39.8840000Z,2021-10-08T23:59:47.9830000Z,2.197,2.36,2.132,2.145,2117303.7,9169
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:02:10.2100000Z,2021-10-09T23:59:23.7310000Z,2.146,2.25,2.103,2.117,1364488.1,5449
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:01:54.1980000Z,2021-10-10T23:59:58.4640000Z,2.117,2.55,2.05,2.499,3903583.3,20872
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:00.7250000Z,2021-10-11T23:59:55.0260000Z,2.486,2.6,2.061,2.11,3581225.0,19114
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:00:16.6100000Z,2021-10-12T23:57:58.1950000Z,2.108,2.109,1.894,1.97,1132174.8,5033
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:07.2910000Z,2021-10-13T23:59:37.6730000Z,1.976,2.03,1.91,2.002,1106074.3,4669
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:01:02.5710000Z,2021-10-14T23:57:11.9360000Z,2.0,2.089,1.955,2.044,1172783.9,5757
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:31.3100000Z,2021-10-15T23:59:42.9290000Z,2.044,2.044,1.903,1.956,1204166.8,5419
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:29.0370000Z,2021-10-16T23:56:31.0710000Z,1.951,2.032,1.913,1.94,1161274.7,5190
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:01:23.0070000Z,2021-10-17T23:59:26.3340000Z,1.94,2.385,1.915,1.973,4620367.1,23470
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:37.9800000Z,2021-10-18T23:59:55.8720000Z,1.973,2.037,1.912,1.938,799500.6,3882
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:21.2950000Z,2021-10-19T23:56:55.3380000Z,1.938,1.984,1.6,1.87,867983.6,4375
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:02:33.3810000Z,2021-10-20T23:58:28.5270000Z,1.873,1.942,1.837,1.903,1128348.5,6186
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:02:00.2930000Z,2021-10-21T23:53:12.1340000Z,1.903,1.929,1.825,1.849,1145927.6,5179
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:53.0260000Z,2021-10-22T23:59:11.5510000Z,1.845,1.889,1.812,1.836,694307.6,3329
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:03:32.4090000Z,2021-10-23T23:57:05.7550000Z,1.836,1.916,1.804,1.849,1085436.5,5045
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:02:13.8010000Z,2021-10-24T23:57:35.3970000Z,1.849,2.095,1.751,1.808,3070335.0,14962
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:00:18.9830000Z,2021-10-25T23:57:55.3860000Z,1.804,1.896,1.784,1.836,856903.9,4835
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:02:03.8160000Z,2021-10-26T23:57:49.6310000Z,1.837,1.837,1.758,1.779,700951.2,4070
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:05:04.6270000Z,2021-10-27T23:58:56.3380000Z,1.783,1.801,1.561,1.561,801567.4,5051
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:01:09.0370000Z,2021-10-28T23:57:37.6870000Z,1.564,1.638,1.513,1.61,833561.8,4695
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:14:16.0380000Z,2021-10-29T23:56:07.5340000Z,1.605,1.69,1.596,1.667,739977.1,5023
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:01:07.1860000Z,2021-10-30T23:59:58.8830000Z,1.667,3.137,1.582,1.809,23536826.9,138696
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:02.0700000Z,2021-10-31T23:59:17.6580000Z,1.807,1.916,1.659,1.709,4031002.4,25960
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:10.2780000Z,2021-11-01T23:59:57.5070000Z,1.709,1.795,1.634,1.698,1331304.3,8233
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:02:05.7470000Z,2021-11-02T23:59:40.3780000Z,1.698,1.744,1.678,1.725,1126353.6,5850
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:01:27.4630000Z,2021-11-03T23:55:21.1420000Z,1.725,1.76,1.688,1.714,1278791.4,7201
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:01:18.2280000Z,2021-11-04T23:57:46.1550000Z,1.717,1.788,1.687,1.716,2018031.3,11334
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:01:11.5790000Z,2021-11-05T23:59:48.5760000Z,1.717,1.974,1.7,1.712,2553943.5,14911
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:21.2340000Z,2021-11-06T23:56:27.1900000Z,1.712,1.735,1.664,1.719,703522.4,4229
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:07:07.8280000Z,2021-11-07T23:53:39.2870000Z,1.721,1.79,1.694,1.728,945765.7,6270
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:02:47.5410000Z,2021-11-08T23:58:54.5180000Z,1.729,1.778,1.685,1.739,1121155.4,6741
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:49.4400000Z,2021-11-09T23:58:56.0470000Z,1.741,1.779,1.712,1.743,1156896.1,6950
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:02:28.3590000Z,2021-11-10T23:58:42.5050000Z,1.745,1.762,1.6,1.662,1287142.7,7946
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:09.4200000Z,2021-11-11T23:59:25.7320000Z,1.673,1.752,1.622,1.736,1031034.3,6645
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:45.5560000Z,2021-11-12T23:57:58.7640000Z,1.734,1.736,1.64,1.699,629374.2,3880
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:12:11.2890000Z,2021-11-13T23:59:39.8040000Z,1.7,1.752,1.69,1.747,781452.0,5256
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:59.9430000Z,2021-11-14T23:59:46.8610000Z,1.749,1.755,1.67,1.711,730610.0,4960
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:21.5020000Z,2021-11-15T23:57:06.4470000Z,1.711,1.725,1.685,1.694,422881.5,2900
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:47.0820000Z,2021-11-16T23:58:31.7800000Z,1.694,1.695,1.488,1.535,1092518.1,6386
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:51.4590000Z,2021-11-17T23:58:41.9820000Z,1.533,1.586,1.482,1.563,779249.1,4823
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:07.3070000Z,2021-11-18T23:59:26.3140000Z,1.563,1.58,1.379,1.408,771225.8,4400
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:30.5210000Z,2021-11-19T23:59:27.6490000Z,1.405,1.567,1.373,1.514,687137.5,4292
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:01:18.1050000Z,2021-11-20T23:58:56.8270000Z,1.514,1.679,1.48,1.568,1632549.9,9899
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:05.2240000Z,2021-11-21T23:59:10.2020000Z,1.567,2.355,1.539,1.576,6964170.3,40008
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:11.0020000Z,2021-11-22T23:54:46.1520000Z,1.573,1.576,1.47,1.495,1355481.6,6752
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:13.2850000Z,2021-11-23T23:59:28.8980000Z,1.491,1.504,1.435,1.475,850592.1,4223
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:02:39.8980000Z,2021-11-24T23:59:28.6120000Z,1.477,1.534,1.411,1.46,2427748.9,10052
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:03:26.9640000Z,2021-11-25T23:57:54.3760000Z,1.46,1.553,1.447,1.508,972158.0,5672
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:52.1700000Z,2021-11-26T23:59:52.1530000Z,1.51,1.513,1.337,1.382,1197610.2,5895
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:14.6720000Z,2021-11-27T23:59:56.5340000Z,1.385,1.75,1.381,1.564,2910760.8,14783
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:00.5290000Z,2021-11-28T23:59:41.0280000Z,1.564,1.573,1.397,1.476,1201097.9,6740
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:59.2460000Z,2021-11-29T23:59:38.7100000Z,1.481,1.499,1.437,1.465,521351.3,2847
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:01:53.0290000Z,2021-11-30T23:59:44.4470000Z,1.467,1.5,1.437,1.447,1182273.2,5285
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:01:52.2640000Z,2021-12-01T23:54:42.4990000Z,1.444,1.52,1.436,1.45,1163710.2,5388
