time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T08:02:11.6370000Z,2021-11-04T23:59:59.6480000Z,7.49947,8.34951,2.50377,3.31567,76173320.0,890196
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:00:01.1690000Z,2021-11-05T23:59:52.1610000Z,3.31546,3.388,2.51212,2.6,23886890.0,255607
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:03.6460000Z,2021-11-06T23:59:28.4530000Z,2.60287,2.84,2.1801,2.20347,9070556.0,72348
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:02.3790000Z,2021-11-07T23:59:56.2030000Z,2.20346,2.36544,2.0503,2.08042,4774055.0,32541
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:01.6890000Z,2021-11-08T23:59:57.1940000Z,2.08,2.08,1.80802,1.92612,6773973.0,35067
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:03.3980000Z,2021-11-09T23:59:50.0850000Z,1.91802,2.10372,1.85201,1.85697,5306975.0,26202
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:00:07.0970000Z,2021-11-10T23:59:32.3060000Z,1.85521,2.27019,1.85001,1.96696,9461914.0,48239
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:06.9830000Z,2021-11-11T23:59:55.1980000Z,1.96827,1.96853,1.86903,1.88433,2306968.0,13589
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:18.9500000Z,2021-11-12T23:59:21.7330000Z,1.88433,1.8899,1.685,1.78061,3300062.0,17045
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:20.2270000Z,2021-11-13T23:59:51.9730000Z,1.78061,2.86139,1.76055,2.29337,42329875.0,246985
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:04.3020000Z,2021-11-14T23:59:58.2760000Z,2.29337,2.31645,2.06243,2.13329,8700014.0,44784
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:30.5320000Z,2021-11-15T23:59:33.6150000Z,2.1339,2.34395,1.95113,1.97734,4673047.0,24927
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:25.0430000Z,2021-11-16T23:59:49.8410000Z,1.97655,2.06274,1.76772,1.91123,3621070.0,16269
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:10.1200000Z,2021-11-17T23:59:15.4500000Z,1.90744,2.67328,1.90157,2.2509,18133598.0,105350
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:21.2510000Z,2021-11-18T23:59:32.8030000Z,2.25587,2.58,2.08703,2.40807,12794554.0,69465
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:18.5860000Z,2021-11-19T23:59:50.5470000Z,2.40807,3.0243,2.27338,2.5116,17050869.0,89367
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:04.9760000Z,2021-11-20T23:59:59.5620000Z,2.512,3.78367,2.43353,3.32861,28849963.0,172497
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:07.1270000Z,2021-11-21T23:59:58.4220000Z,3.33309,4.57999,3.00211,3.14632,40679520.0,255482
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:07.1950000Z,2021-11-22T23:59:43.8710000Z,3.14633,3.43807,2.755,2.87177,18108922.0,87937
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:08.8040000Z,2021-11-23T23:59:57.2560000Z,2.86362,3.63683,2.86359,3.37415,18994316.0,123857
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:01.4410000Z,2021-11-24T23:59:52.0750000Z,3.37381,4.5,3.25269,4.16485,19519114.0,158816
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:00.0890000Z,2021-11-25T23:59:56.2460000Z,4.16485,4.89,3.56301,3.91402,22035806.0,203238
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:01.4330000Z,2021-11-26T23:59:59.6070000Z,3.92122,4.4,3.03603,3.2948,16679302.0,130745
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:01.4890000Z,2021-11-27T23:59:58.4920000Z,3.29457,3.41721,2.95195,3.1032,8722244.0,59186
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:04.1980000Z,2021-11-28T23:59:56.1580000Z,3.10503,3.76502,2.801,3.64,20492767.0,161218
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:04.4620000Z,2021-11-29T23:59:59.9000000Z,3.63836,4.17207,3.45821,3.46032,15224764.0,140656
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:01.8200000Z,2021-11-30T23:59:59.7510000Z,3.46032,3.66693,3.2268,3.63127,7786167.0,65469
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:00.6350000Z,2021-12-01T23:59:45.2680000Z,3.62293,3.89132,3.23118,3.30563,8127975.0,76858
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:13.6180000Z,2021-12-02T23:59:57.4860000Z,3.3,3.39657,3.05642,3.09844,4909656.0,42665
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:17.9080000Z,2021-12-03T23:59:57.9010000Z,3.0898,3.301,2.81538,2.83792,7198552.0,51873
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:12.0620000Z,2021-12-04T23:58:45.9390000Z,2.83485,2.8384,1.817,2.42623,10543614.0,53231
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:04.2280000Z,2021-12-05T23:59:59.0750000Z,2.42624,2.47611,2.10062,2.16803,4773341.0,30999
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-06T23:59:40.1190000Z,2.16842,2.37703,1.88018,2.31361,7258774.0,31290
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:00.8970000Z,2021-12-07T23:59:37.1120000Z,2.32357,2.3249,2.08114,2.1331,5288778.0,24159
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:30.5310000Z,2021-12-08T23:59:58.8200000Z,2.1331,2.77132,2.08535,2.56566,13070729.0,78327
