time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T11:00:00.0000000Z,2021-03-10T23:59:45.9210000Z,7.25,25.0,7.25,10.65,1074791.04,45988
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:02.9300000Z,2021-03-11T23:59:52.5580000Z,10.646,10.78,8.307,9.949,326812.294,18531
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:00.0750000Z,2021-03-12T23:59:59.7430000Z,9.963,11.565,8.452,11.286,227030.233,15326
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:00:02.3760000Z,2021-03-13T23:59:55.5540000Z,11.283,21.8,10.477,19.693,1371347.276,87709
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:00.0550000Z,2021-03-14T23:59:56.9120000Z,19.7,34.66,19.7,25.566,1947069.664,169548
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:01.5100000Z,2021-03-15T23:59:21.5020000Z,25.564,32.0,19.209,25.906,1150726.622,122713
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:00:12.3750000Z,2021-03-16T23:59:59.8120000Z,25.907,29.95,21.8,23.242,573617.58,77093
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:02.4500000Z,2021-03-17T23:59:59.8380000Z,23.248,24.675,20.239,21.153,374041.951,54490
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:00.5000000Z,2021-03-18T23:59:54.2260000Z,21.152,22.997,20.419,20.741,301882.471,35993
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:20.5300000Z,2021-03-19T23:59:23.0660000Z,20.793,20.93,18.122,18.973,242917.616,24268
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:03.2540000Z,2021-03-20T23:59:58.8630000Z,18.959,26.766,16.846,20.304,524433.693,60203
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:00.1860000Z,2021-03-21T23:59:56.7080000Z,20.304,25.0,19.53,19.872,675464.371,90980
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:01:04.6640000Z,2021-03-22T23:59:46.3620000Z,19.889,20.852,17.793,18.252,222328.004,33380
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:19.6630000Z,2021-03-23T23:57:53.2840000Z,18.187,19.938,17.137,17.485,280308.63,28429
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:00:40.1340000Z,2021-03-24T23:58:08.7360000Z,17.449,19.338,15.82,16.389,200507.949,24229
