time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-21T00:00:00.0000000Z,2021-01-22T00:00:00.0000000Z,2021-01-21T08:00:00.0000000Z,2021-01-21T23:59:29.1860000Z,5.44,8.4,4.001,4.499,1333854.557,11791
2021-01-22T00:00:00.0000000Z,2021-01-23T00:00:00.0000000Z,2021-01-22T00:00:15.7140000Z,2021-01-22T23:57:14.7110000Z,4.481,4.74,4.23,4.417,233114.737,5064
2021-01-23T00:00:00.0000000Z,2021-01-24T00:00:00.0000000Z,2021-01-23T00:00:09.1790000Z,2021-01-23T23:55:48.9570000Z,4.429,4.67,4.23,4.476,219535.413,4065
2021-01-24T00:00:00.0000000Z,2021-01-25T00:00:00.0000000Z,2021-01-24T00:05:09.8510000Z,2021-01-24T23:54:26.0780000Z,4.476,4.8,4.4,4.76,202791.687,4131
2021-01-25T00:00:00.0000000Z,2021-01-26T00:00:00.0000000Z,2021-01-25T00:04:29.0670000Z,2021-01-25T23:59:22.6360000Z,4.769,5.196,4.41,4.493,293852.191,5979
2021-01-26T00:00:00.0000000Z,2021-01-27T00:00:00.0000000Z,2021-01-26T00:00:03.6450000Z,2021-01-26T23:59:54.5000000Z,4.493,4.66,4.061,4.176,306805.254,5351
2021-01-27T00:00:00.0000000Z,2021-01-28T00:00:00.0000000Z,2021-01-27T00:00:09.1000000Z,2021-01-27T23:59:07.1610000Z,4.178,4.222,3.574,3.786,194730.837,3374
2021-01-28T00:00:00.0000000Z,2021-01-29T00:00:00.0000000Z,2021-01-28T00:10:36.5500000Z,2021-01-28T23:58:26.8070000Z,3.784,4.148,3.721,4.096,152287.533,1502
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T00:01:08.9270000Z,2021-01-29T23:55:16.1150000Z,4.095,4.187,3.702,3.798,91421.011,1954
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:00:09.5400000Z,2021-01-30T23:59:14.4860000Z,3.829,4.3,3.736,3.781,100570.095,1407
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:11:24.0400000Z,2021-01-31T23:50:35.1540000Z,3.805,4.299,3.62,3.85,228306.954,2281
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:02:48.1550000Z,2021-02-01T23:59:37.0960000Z,3.834,4.618,3.712,4.419,420262.975,2775
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:02:36.0410000Z,2021-02-02T23:58:17.4080000Z,4.421,4.753,4.101,4.422,393405.841,2440
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:08:18.4070000Z,2021-02-03T23:59:46.8000000Z,4.424,4.9,4.331,4.899,222037.885,1797
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:02:00.5490000Z,2021-02-04T23:59:06.7900000Z,4.796,4.801,4.115,4.603,216808.104,1730
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:37.1970000Z,2021-02-05T23:59:58.3210000Z,4.641,4.739,4.0,4.601,204422.458,2146
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:23.1150000Z,2021-02-06T23:59:01.6090000Z,4.606,4.617,4.229,4.267,185161.882,1876
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:45.1290000Z,2021-02-07T23:58:14.5780000Z,4.28,4.302,3.982,4.095,168515.114,1814
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:00:59.8860000Z,2021-02-08T23:59:09.2280000Z,4.093,4.6,4.0,4.25,180797.047,3683
2021-02-09T00:00:00.0000000Z,2021-02-10T00:00:00.0000000Z,2021-02-09T00:00:34.6480000Z,2021-02-09T23:59:11.9960000Z,4.263,4.99,4.22,4.8,232190.798,2682
2021-02-10T00:00:00.0000000Z,2021-02-11T00:00:00.0000000Z,2021-02-10T00:00:04.9220000Z,2021-02-10T23:59:12.7290000Z,4.802,5.988,4.27,5.626,302716.295,3041
2021-02-11T00:00:00.0000000Z,2021-02-12T00:00:00.0000000Z,2021-02-11T00:04:10.0720000Z,2021-02-11T23:59:48.3660000Z,5.644,7.092,4.94,6.754,274079.486,4181
2021-02-12T00:00:00.0000000Z,2021-02-13T00:00:00.0000000Z,2021-02-12T00:00:15.3360000Z,2021-02-12T23:57:39.4830000Z,6.756,8.508,6.4,8.505,301158.852,4703
2021-02-13T00:00:00.0000000Z,2021-02-14T00:00:00.0000000Z,2021-02-13T00:01:13.5480000Z,2021-02-13T23:58:25.4520000Z,8.502,11.99,7.499,8.863,315012.18,11221
2021-02-14T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-14T00:02:52.4590000Z,2021-02-14T23:59:57.7220000Z,8.925,9.074,7.0,7.724,202159.271,5544
2021-02-15T00:00:00.0000000Z,2021-02-16T00:00:00.0000000Z,2021-02-15T00:03:06.8530000Z,2021-02-15T23:55:49.1770000Z,7.73,8.966,7.12,7.459,242080.073,5147
2021-02-16T00:00:00.0000000Z,2021-02-17T00:00:00.0000000Z,2021-02-16T00:00:00.5640000Z,2021-02-16T23:56:03.2800000Z,7.462,8.175,6.845,7.143,256536.096,3310
2021-02-17T00:00:00.0000000Z,2021-02-18T00:00:00.0000000Z,2021-02-17T00:01:43.1300000Z,2021-02-17T23:59:55.4560000Z,7.142,15.0,6.5,10.355,881400.515,35793
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T00:00:04.5890000Z,2021-02-18T23:56:02.3190000Z,10.334,13.0,8.504,9.24,467118.796,28009
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:01.6840000Z,2021-02-19T23:55:25.9460000Z,9.163,9.42,8.602,9.092,241125.995,6620
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:08:23.8480000Z,2021-02-20T23:55:07.9650000Z,9.092,11.0,8.72,8.964,295534.672,7046
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:01:38.9950000Z,2021-02-21T23:59:36.3410000Z,8.926,10.999,8.81,9.837,239440.174,7143
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:01:31.9520000Z,2021-02-22T23:55:59.7870000Z,9.841,11.228,7.66,9.448,302174.242,9490
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:01:03.1360000Z,2021-02-23T23:52:22.1380000Z,9.447,9.5,6.1,7.308,279503.469,4439
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:03.1940000Z,2021-02-24T23:45:11.2980000Z,7.468,8.499,6.959,7.227,205055.366,2815
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:15.3790000Z,2021-02-25T23:55:22.6980000Z,7.277,8.128,6.853,7.09,180961.308,2179
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:25.4320000Z,2021-02-26T23:55:14.4830000Z,7.083,7.556,6.339,6.692,228712.823,2144
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:03:55.3240000Z,2021-02-27T23:51:29.5250000Z,6.699,7.412,6.682,6.806,211684.481,2195
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:01:47.2020000Z,2021-02-28T23:58:23.9430000Z,6.79,6.958,5.93,6.459,179234.317,1973
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:06.3470000Z,2021-03-01T23:58:02.4310000Z,6.52,7.438,6.407,7.4,214425.582,1879
