time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T10:01:55.8260000Z,2021-06-18T23:59:41.1080000Z,0.10047,0.11,0.0957,0.10176,6909830.0,6410
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:01:52.4780000Z,2021-06-19T23:58:31.7960000Z,0.10141,0.105,0.09354,0.09444,8466632.0,3907
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:02:06.7060000Z,2021-06-20T23:59:56.9030000Z,0.0936,0.10346,0.08548,0.10101,7891294.0,4059
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:00.3160000Z,2021-06-21T23:59:14.6640000Z,0.10064,0.10156,0.06377,0.06661,18929580.0,7056
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:12.2110000Z,2021-06-22T23:58:14.7970000Z,0.0666,0.09,0.04922,0.06225,28614131.0,9794
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:01:56.4990000Z,2021-06-23T23:59:10.7930000Z,0.06235,0.07899,0.059,0.06834,15426012.0,8302
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:32.6930000Z,2021-06-24T23:59:30.4250000Z,0.06834,0.0889,0.06247,0.07055,6737182.0,4032
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:07.3730000Z,2021-06-25T23:58:23.9230000Z,0.07056,0.073,0.0605,0.06239,5116282.0,2616
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:06.3700000Z,2021-06-26T23:59:55.5800000Z,0.0613,0.06455,0.05694,0.06185,2443143.0,1227
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:34.2070000Z,2021-06-27T23:58:20.6250000Z,0.06186,0.06447,0.05816,0.06344,3259178.0,2124
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:01:25.0920000Z,2021-06-28T23:59:50.2160000Z,0.06344,0.06729,0.06101,0.06594,2894770.0,1898
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:35.3370000Z,2021-06-29T23:58:26.7140000Z,0.06608,0.08499,0.06338,0.07709,25205636.0,15986
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:54.5970000Z,2021-06-30T23:59:18.8280000Z,0.07709,0.09448,0.06901,0.08398,29219435.0,16718
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:06.2630000Z,2021-07-01T23:59:13.0840000Z,0.08398,0.09791,0.08063,0.08956,49854284.0,30005
