time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T10:00:02.5960000Z,2021-02-19T23:59:59.0900000Z,10.0,21.0,5.383,6.213,8369114.187,194916
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:01.7580000Z,2021-02-20T23:59:54.2130000Z,6.25,8.8,5.75,6.506,6350360.196,178570
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:08.3680000Z,2021-02-21T23:59:56.7050000Z,6.531,7.471,6.2,6.847,2150641.267,68370
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:00.1860000Z,2021-02-22T23:59:04.4310000Z,6.847,7.058,4.35,5.686,1947401.048,56668
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:27.6240000Z,2021-02-23T23:59:59.0210000Z,5.708,5.712,3.524,4.829,2392741.07,37084
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:00:25.8090000Z,2021-02-24T23:59:55.8760000Z,4.829,5.687,4.473,4.871,1290275.196,26229
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:00:29.5080000Z,2021-02-25T23:59:48.9090000Z,4.872,5.273,4.23,4.26,816388.852,18581
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:04.6890000Z,2021-02-26T23:59:02.0440000Z,4.246,4.424,3.712,3.971,1002840.096,14284
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:00:06.7880000Z,2021-02-27T23:59:53.0750000Z,3.971,4.624,3.971,4.207,834620.028,15938
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:34.3200000Z,2021-02-28T23:59:25.9900000Z,4.189,4.357,3.289,3.623,721348.639,13547
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:13.7300000Z,2021-03-01T23:59:58.4350000Z,3.628,4.41,3.595,4.327,1027620.049,18498
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:02:10.1710000Z,2021-03-02T23:59:52.3460000Z,4.331,4.473,3.754,4.073,650491.637,12290
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:00:07.2200000Z,2021-03-03T23:59:52.8100000Z,4.087,4.8,4.021,4.404,778628.893,16017
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:12.4590000Z,2021-03-04T23:58:12.8940000Z,4.402,4.782,4.072,4.138,504947.961,10876
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:01:27.0620000Z,2021-03-05T23:59:37.9360000Z,4.137,4.598,3.8,3.922,535731.936,9553
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:01:42.8510000Z,2021-03-06T23:55:53.1200000Z,3.92,4.107,3.827,3.975,263389.071,6254
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:08.1950000Z,2021-03-07T23:59:53.0080000Z,3.975,4.349,3.937,4.223,378179.085,8958
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:00:29.4210000Z,2021-03-08T23:59:49.6700000Z,4.214,4.251,3.892,4.006,491788.025,10541
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:00:08.4550000Z,2021-03-09T23:59:34.9270000Z,4.007,4.2,3.901,4.088,1176287.136,17950
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:00:03.1460000Z,2021-03-10T23:59:57.5100000Z,4.088,4.3,3.51,3.657,916905.448,15501
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:47.2270000Z,2021-03-11T23:58:32.8090000Z,3.671,3.89,3.503,3.689,715959.714,11218
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:11.5750000Z,2021-03-12T23:59:59.8350000Z,3.702,3.714,3.301,3.433,512088.749,9166
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:01:09.9230000Z,2021-03-13T23:59:56.2210000Z,3.436,4.17,3.302,3.938,1174378.642,19338
