time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T02:00:16.9740000Z,2021-09-09T23:59:56.3690000Z,12.132,16.41,10.54,12.97,18348509.23,739370
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:00.1610000Z,2021-09-10T23:59:57.9970000Z,12.971,14.455,9.823,10.406,3568159.89,108549
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:15.1550000Z,2021-09-11T23:59:57.1900000Z,10.43,12.758,10.43,10.929,1739716.86,48973
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:55.7110000Z,2021-09-12T23:57:14.0260000Z,10.925,12.689,10.7,11.315,1288016.68,45999
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:06.0080000Z,2021-09-13T23:59:30.5290000Z,11.275,11.467,9.111,10.393,1519434.76,43418
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:14.4110000Z,2021-09-14T23:59:11.1440000Z,10.413,12.2,10.0,11.693,1511164.78,51435
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:17.8000000Z,2021-09-15T23:59:43.0530000Z,11.682,12.494,11.035,11.595,1175941.97,37973
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:11.0210000Z,2021-09-16T23:59:51.4380000Z,11.598,16.99,11.597,15.372,5598707.95,218084
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:07.7110000Z,2021-09-17T23:59:59.5300000Z,15.388,18.335,14.904,16.5,4168634.84,159178
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:05.5830000Z,2021-09-18T23:59:48.7920000Z,16.499,18.013,15.51,16.084,1675874.5,67916
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:04.9020000Z,2021-09-19T23:58:41.6080000Z,16.084,16.352,13.86,14.255,1211726.93,48189
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:01.1520000Z,2021-09-20T23:59:48.4860000Z,14.255,14.276,11.192,11.839,2235064.49,75255
