time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T07:12:11.2760000Z,2021-11-10T23:59:59.6220000Z,65.39,85.63,54.3,73.82,5643342.17,695416
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:00.0980000Z,2021-11-11T23:59:59.6830000Z,73.87,86.76,55.06,55.31,3912810.26,506184
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:04.3190000Z,2021-11-12T23:59:51.6510000Z,55.38,64.94,50.0,54.65,2126466.36,236262
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:08.5100000Z,2021-11-13T23:59:52.5080000Z,54.6,63.58,48.0,55.57,2120611.1,212978
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:09.3410000Z,2021-11-14T23:59:55.6130000Z,55.58,62.49,53.2,56.21,1322151.69,135747
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:05.8770000Z,2021-11-15T23:59:56.6120000Z,56.22,60.15,50.05,55.77,1803171.58,149028
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:00.6490000Z,2021-11-16T23:59:57.2860000Z,55.75,55.94,47.91,48.17,1764678.35,141185
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:02.4440000Z,2021-11-17T23:59:50.7370000Z,48.21,50.6,45.45,48.16,1310706.19,99826
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:00.8950000Z,2021-11-18T23:59:59.3750000Z,48.14,50.94,40.05,41.31,1418892.44,96950
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:00:01.0130000Z,2021-11-19T23:59:50.4220000Z,41.33,51.2,38.39,47.84,1513024.78,111725
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:00:05.5290000Z,2021-11-20T23:59:58.5720000Z,47.8,49.69,44.51,46.78,832147.33,57783
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:21.0640000Z,2021-11-21T23:59:54.6070000Z,46.78,46.83,41.39,42.06,982994.22,74137
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:06.6130000Z,2021-11-22T23:59:41.7230000Z,42.06,47.13,39.86,40.97,1524600.87,106246
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:03.7380000Z,2021-11-23T23:59:59.6110000Z,40.92,53.0,40.46,50.8,2288542.92,187641
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:00:01.0320000Z,2021-11-24T23:59:59.5130000Z,50.8,51.21,45.84,49.17,1127555.25,96713
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:00.0330000Z,2021-11-25T23:59:59.0350000Z,49.22,73.0,48.3,68.31,4009101.54,454046
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:00.1960000Z,2021-11-26T23:59:59.3640000Z,68.24,77.0,55.1,59.51,3653704.77,351804
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:00.8930000Z,2021-11-27T23:59:59.8650000Z,59.52,84.0,59.1,73.45,3728749.65,395876
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:00.0230000Z,2021-11-28T23:59:59.2210000Z,73.45,76.69,65.0,76.15,2684598.99,267946
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:00.4950000Z,2021-11-29T23:59:58.7850000Z,76.14,82.75,69.5,70.21,2037858.51,209468
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:00.3660000Z,2021-11-30T23:59:55.3940000Z,70.21,78.12,66.0,69.93,1654851.04,206260
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:00.0090000Z,2021-12-01T23:59:52.8470000Z,69.98,74.91,63.21,64.81,1576698.61,177048
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:00.3070000Z,2021-12-02T23:59:58.8940000Z,64.81,64.84,58.5,61.67,1131214.78,132090
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:02.3100000Z,2021-12-03T23:59:58.4750000Z,61.68,63.29,50.0,54.24,1543989.9,171498
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:00:02.3320000Z,2021-12-04T23:59:59.2280000Z,54.29,54.93,39.0,50.81,2239096.3,218462
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:00:01.2590000Z,2021-12-05T23:59:56.7520000Z,50.79,54.74,45.47,49.3,1630160.97,167669
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:00:02.7890000Z,2021-12-06T23:59:58.0820000Z,49.34,51.5,42.0,51.42,1353972.63,134999
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:00:00.3390000Z,2021-12-07T23:59:36.9370000Z,51.46,53.99,48.62,50.69,962952.66,98011
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:18.4200000Z,2021-12-08T23:59:41.8470000Z,50.72,52.43,47.0,49.36,639982.12,77913
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:00.0120000Z,2021-12-09T23:59:45.3560000Z,49.37,50.72,44.69,44.97,798670.22,75733
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:01.4470000Z,2021-12-10T23:59:54.8690000Z,44.97,46.8,42.5,42.61,622039.94,66461
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:06.4980000Z,2021-12-11T23:59:59.5270000Z,42.6,49.28,41.55,47.48,1037245.79,109337
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:00:12.3310000Z,2021-12-12T13:30:33.4340000Z,47.46,47.65,44.11,45.76,424066.62,43285
