time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-02T00:00:00.0000000Z,2021-04-03T00:00:00.0000000Z,2021-04-02T09:00:01.5320000Z,2021-04-02T23:59:57.7530000Z,8.402,11.337,6.574,6.931,17687819.616,429306
2021-04-03T00:00:00.0000000Z,2021-04-04T00:00:00.0000000Z,2021-04-03T00:00:05.8320000Z,2021-04-03T23:59:58.5550000Z,6.931,8.469,5.685,5.685,7946247.534,198245
2021-04-04T00:00:00.0000000Z,2021-04-05T00:00:00.0000000Z,2021-04-04T00:00:00.7030000Z,2021-04-04T23:59:53.2980000Z,5.685,6.236,5.45,5.674,14114084.533,271277
2021-04-05T00:00:00.0000000Z,2021-04-06T00:00:00.0000000Z,2021-04-05T00:00:00.0180000Z,2021-04-05T23:59:59.6070000Z,5.671,5.699,4.625,4.914,6075760.459,123942
2021-04-06T00:00:00.0000000Z,2021-04-07T00:00:00.0000000Z,2021-04-06T00:00:00.0680000Z,2021-04-06T23:59:59.1620000Z,4.92,5.009,3.841,3.936,4650565.496,85083
2021-04-07T00:00:00.0000000Z,2021-04-08T00:00:00.0000000Z,2021-04-07T00:00:17.7850000Z,2021-04-07T23:59:58.7870000Z,3.929,4.37,3.288,3.511,5735674.164,81179
2021-04-08T00:00:00.0000000Z,2021-04-09T00:00:00.0000000Z,2021-04-08T00:00:00.5530000Z,2021-04-08T23:59:45.7010000Z,3.511,4.0,3.403,3.515,5117428.046,75831
2021-04-09T00:00:00.0000000Z,2021-04-10T00:00:00.0000000Z,2021-04-09T00:00:07.8760000Z,2021-04-09T23:59:59.9420000Z,3.517,5.2,3.466,4.374,16252346.488,192367
2021-04-10T00:00:00.0000000Z,2021-04-11T00:00:00.0000000Z,2021-04-10T00:00:08.0650000Z,2021-04-10T05:34:11.0470000Z,4.374,4.949,4.201,4.396,2976565.996,38691
2021-04-11T00:00:00.0000000Z,2021-04-12T00:00:00.0000000Z,2021-04-11T00:00:08.0360000Z,2021-04-11T23:59:55.1670000Z,3.859,4.399,3.643,4.301,6171963.805,87722
