time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T06:13:26.6760000Z,2021-06-22T23:59:17.0730000Z,8.568,8.799,5.508,6.381,246599.6,11978
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:00:31.3900000Z,2021-06-23T23:59:51.0970000Z,6.394,7.999,6.207,7.105,65059.1,5326
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:10:05.7460000Z,2021-06-24T23:57:35.0330000Z,7.105,7.229,6.323,6.77,24724.0,1386
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:10.1650000Z,2021-06-25T23:59:16.6980000Z,6.771,6.874,5.738,6.006,55550.8,1909
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:28:20.9250000Z,2021-06-26T23:59:11.2520000Z,6.028,6.187,5.333,5.87,22537.6,1126
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:07.8190000Z,2021-06-27T23:58:52.0150000Z,5.87,7.019,5.87,6.607,109066.7,3954
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:03:53.3560000Z,2021-06-28T23:51:01.7170000Z,6.607,6.83,6.147,6.289,22031.4,1067
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:10:03.9660000Z,2021-06-29T23:54:21.9710000Z,6.289,6.696,6.126,6.294,24088.4,1163
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:34.1280000Z,2021-06-30T23:54:29.1840000Z,6.289,6.352,5.832,6.218,21763.9,752
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:01:21.5120000Z,2021-07-01T23:42:46.0970000Z,6.216,6.216,5.508,5.677,35026.4,1386
