time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T08:09:15.5540000Z,2021-08-11T23:59:38.7400000Z,459.7,525.0,263.3,288.5,125626.811,160058
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:25.0500000Z,2021-08-12T23:59:50.8580000Z,290.1,325.6,272.6,290.4,29884.806,38776
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:00.3130000Z,2021-08-13T23:59:43.2310000Z,291.3,306.0,285.0,300.0,5121.551,6002
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:05.9720000Z,2021-08-14T23:59:57.8260000Z,298.5,307.6,266.5,274.0,6283.65,9417
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:00:10.5950000Z,2021-08-15T23:59:56.6100000Z,273.9,274.6,253.3,269.3,6521.046,7627
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:06:43.4360000Z,2021-08-16T23:59:01.0600000Z,269.3,274.0,252.6,255.4,4423.446,5940
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:05:20.8240000Z,2021-08-17T23:58:50.5130000Z,255.3,300.0,241.0,263.1,11974.226,11905
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:26.5370000Z,2021-08-18T23:59:13.2080000Z,263.5,290.0,255.1,258.0,12231.391,13601
2021-08-19T00:00:00.0000000Z,2021-08-20T00:00:00.0000000Z,2021-08-19T00:00:42.7150000Z,2021-08-19T23:57:18.1700000Z,257.8,274.5,250.6,264.6,7340.761,10332
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T00:00:22.8520000Z,2021-08-20T23:59:09.0720000Z,265.0,270.7,252.5,259.9,6218.308,9564
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:40.6660000Z,2021-08-21T23:58:27.3000000Z,259.5,266.0,247.0,253.6,4758.045,7806
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:01:03.3150000Z,2021-08-22T23:59:40.4740000Z,253.9,255.0,234.9,244.6,8187.789,11167
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:02:04.2040000Z,2021-08-23T23:59:37.5840000Z,244.5,244.9,235.2,242.3,5802.432,6916
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:03:21.9490000Z,2021-08-24T23:59:40.3180000Z,242.3,245.0,215.3,224.0,4018.996,5988
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:02:30.6600000Z,2021-08-25T23:56:23.3000000Z,225.5,245.0,220.4,230.3,4372.313,7154
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:04:03.5960000Z,2021-08-26T23:59:07.7310000Z,231.9,234.6,216.5,216.5,3520.552,5779
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:57.2630000Z,2021-08-27T23:59:30.7230000Z,216.1,242.5,211.2,239.8,5359.75,8007
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:01:33.7540000Z,2021-08-28T23:59:58.6560000Z,239.4,387.6,231.4,303.3,175692.677,205679
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:01.0340000Z,2021-08-29T23:58:32.4100000Z,303.4,326.5,268.0,274.5,61900.958,75921
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:17.8690000Z,2021-08-30T23:59:57.1990000Z,274.6,285.0,251.0,253.3,28342.241,33194
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:03.3130000Z,2021-08-31T23:59:14.3060000Z,252.4,280.0,243.1,246.4,22457.611,26424
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:02:10.2570000Z,2021-09-01T23:59:47.5090000Z,246.4,263.6,238.2,259.0,11415.558,14985
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:00:27.5070000Z,2021-09-02T23:57:57.3200000Z,258.7,274.6,251.2,255.2,11429.553,15578
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:25.9920000Z,2021-09-03T23:58:14.5240000Z,254.4,254.9,238.3,246.8,11375.604,13078
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:02:25.3110000Z,2021-09-04T23:59:58.3370000Z,247.0,252.9,242.0,243.5,5451.912,7837
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:18.3490000Z,2021-09-05T23:58:12.1030000Z,243.3,274.0,242.7,261.2,13368.648,18035
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:09.4230000Z,2021-09-06T23:59:27.9210000Z,261.3,269.9,248.4,253.8,7468.015,11451
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:02:06.7360000Z,2021-09-07T23:58:37.5850000Z,254.6,255.9,170.0,213.0,10391.071,13231
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:01:56.6900000Z,2021-09-08T23:58:59.3390000Z,213.2,219.8,186.4,209.7,6230.687,8200
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:01:49.3900000Z,2021-09-09T23:59:07.7200000Z,209.6,226.0,202.3,205.7,7278.068,10911
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:00:24.2980000Z,2021-09-10T23:59:26.5350000Z,205.5,212.0,185.8,192.7,7619.994,12102
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:00:23.2760000Z,2021-09-11T23:59:10.1240000Z,192.4,244.5,191.0,210.3,31366.488,34563
2021-09-12T00:00:00.0000000Z,2021-09-13T00:00:00.0000000Z,2021-09-12T00:00:56.6290000Z,2021-09-12T23:59:44.6050000Z,210.8,225.5,203.3,207.7,11921.636,13889
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T00:00:01.9700000Z,2021-09-13T23:55:49.6800000Z,207.5,213.5,179.3,200.0,12295.295,15497
