time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T12:07:25.2130000Z,2021-09-30T23:59:57.6370000Z,6.71,6.79,5.971,6.035,3795333.3,65755
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:11.0920000Z,2021-10-01T23:59:49.4270000Z,6.028,6.79,5.781,6.611,2549786.5,44384
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:38.8160000Z,2021-10-02T23:59:46.3080000Z,6.606,7.193,6.33,6.908,1144589.5,21422
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:09.0930000Z,2021-10-03T23:59:58.4740000Z,6.899,7.315,6.8,7.115,676409.4,13820
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:14.5330000Z,2021-10-04T23:59:11.0820000Z,7.115,7.167,6.651,6.869,636539.4,10634
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:03:25.3510000Z,2021-10-05T23:59:23.0400000Z,6.871,7.0,6.367,6.797,423756.5,8311
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:06.7440000Z,2021-10-06T23:57:44.5070000Z,6.794,6.817,6.243,6.459,280218.6,5862
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:48.1830000Z,2021-10-07T23:58:10.5450000Z,6.44,6.7,6.282,6.445,149202.3,3922
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:29.9390000Z,2021-10-08T23:59:48.7170000Z,6.448,6.938,6.37,6.567,185994.3,5328
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:04.7580000Z,2021-10-09T23:59:47.1590000Z,6.568,6.7,6.447,6.504,140749.9,3561
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:03:19.1920000Z,2021-10-10T23:57:24.2420000Z,6.52,6.566,6.12,6.131,66268.4,2392
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:00:05.5020000Z,2021-10-11T23:58:33.3730000Z,6.139,6.422,5.881,6.082,125765.6,3555
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:05:00.3070000Z,2021-10-12T23:59:20.4050000Z,6.055,6.498,5.781,6.352,125734.9,4297
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:10.7240000Z,2021-10-13T23:58:17.2290000Z,6.351,6.429,5.974,6.227,88808.7,2625
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:01:01.9740000Z,2021-10-14T23:46:32.4150000Z,6.228,6.507,6.178,6.308,108664.8,3912
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:03:09.0830000Z,2021-10-15T23:55:38.3540000Z,6.307,6.839,6.194,6.756,163443.4,6611
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:06.0320000Z,2021-10-16T23:59:52.3590000Z,6.768,6.85,6.516,6.549,48604.4,2589
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:06:52.3400000Z,2021-10-17T23:56:56.1370000Z,6.549,7.091,6.348,6.635,154226.7,5213
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:00:22.0700000Z,2021-10-18T23:57:39.7290000Z,6.635,6.758,6.417,6.535,91437.1,2598
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:38.6260000Z,2021-10-19T23:58:35.1490000Z,6.531,6.614,6.396,6.498,45846.5,1520
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:03.1230000Z,2021-10-20T23:59:46.1320000Z,6.507,7.342,6.4,7.306,303123.2,10510
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:36.1550000Z,2021-10-21T23:59:50.3610000Z,7.321,8.0,7.29,7.709,1316063.4,33777
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:00:02.9860000Z,2021-10-22T23:59:44.2470000Z,7.72,8.66,7.644,7.97,489181.6,18087
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:12.1400000Z,2021-10-23T23:59:56.6540000Z,7.942,8.288,7.79,7.954,131644.8,5615
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:50.5000000Z,2021-10-24T23:57:38.2220000Z,7.954,8.229,7.5,8.112,89208.1,4347
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:02:40.1060000Z,2021-10-25T23:59:45.9210000Z,8.145,8.909,7.971,8.447,227822.2,10001
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:01:36.9020000Z,2021-10-26T23:56:54.5340000Z,8.435,8.569,7.97,8.027,141170.3,5481
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:01:03.4550000Z,2021-10-27T23:59:52.4950000Z,8.031,8.289,7.128,7.384,64487.5,2941
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:00.0610000Z,2021-10-28T23:56:05.1490000Z,7.377,8.052,7.31,7.828,105704.5,3551
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:47.8040000Z,2021-10-29T23:58:40.5890000Z,7.856,8.25,7.814,8.093,54186.6,2601
