time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-01-29T00:00:00.0000000Z,2021-01-30T00:00:00.0000000Z,2021-01-29T02:00:00.0000000Z,2021-01-29T23:58:59.6990000Z,4.446,6.38,4.052,4.317,944134.259,20280
2021-01-30T00:00:00.0000000Z,2021-01-31T00:00:00.0000000Z,2021-01-30T00:00:28.6680000Z,2021-01-30T23:57:28.3210000Z,4.317,4.54,4.1,4.126,278483.836,7668
2021-01-31T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-31T00:00:36.9150000Z,2021-01-31T23:58:01.1690000Z,4.126,4.199,3.86,3.957,185775.157,4830
2021-02-01T00:00:00.0000000Z,2021-02-02T00:00:00.0000000Z,2021-02-01T00:00:10.6990000Z,2021-02-01T23:55:02.5800000Z,3.957,4.074,3.645,3.726,233017.402,6189
2021-02-02T00:00:00.0000000Z,2021-02-03T00:00:00.0000000Z,2021-02-02T00:00:01.8330000Z,2021-02-02T23:56:30.3430000Z,3.726,4.2,3.688,4.15,205086.308,5032
2021-02-03T00:00:00.0000000Z,2021-02-04T00:00:00.0000000Z,2021-02-03T00:01:02.1700000Z,2021-02-03T23:58:36.8490000Z,4.143,4.23,3.981,4.161,176900.997,4910
2021-02-04T00:00:00.0000000Z,2021-02-05T00:00:00.0000000Z,2021-02-04T00:00:04.6380000Z,2021-02-04T23:59:35.1390000Z,4.15,4.47,3.864,3.962,270296.823,6568
2021-02-05T00:00:00.0000000Z,2021-02-06T00:00:00.0000000Z,2021-02-05T00:00:14.9010000Z,2021-02-05T23:59:33.7970000Z,3.962,4.9,3.902,4.702,591956.282,11053
2021-02-06T00:00:00.0000000Z,2021-02-07T00:00:00.0000000Z,2021-02-06T00:00:24.6550000Z,2021-02-06T23:59:58.3140000Z,4.702,5.4,4.343,4.85,578489.127,13456
2021-02-07T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-07T00:00:07.3410000Z,2021-02-07T23:57:29.6280000Z,4.85,5.208,4.4,4.572,347880.9,9897
2021-02-08T00:00:00.0000000Z,2021-02-09T00:00:00.0000000Z,2021-02-08T00:07:06.7130000Z,2021-02-08T23:59:41.4220000Z,4.588,5.011,4.554,4.995,272037.536,8782
