time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T13:04:22.1130000Z,2021-07-30T23:59:58.7430000Z,26.62,27.0,22.21,23.91,1070474.2,83661
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:00:01.8530000Z,2021-07-31T23:59:53.0540000Z,23.91,27.98,22.84,24.38,1355768.8,74874
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:00:00.1050000Z,2021-08-01T23:59:49.5070000Z,24.38,24.42,21.16,21.16,466540.78,23142
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:00:08.5760000Z,2021-08-02T23:59:59.1870000Z,21.21,22.7,20.76,22.16,267782.59,17267
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:00:10.6750000Z,2021-08-03T23:59:42.1070000Z,22.14,22.41,20.5,20.83,150718.35,9545
2021-08-04T00:00:00.0000000Z,2021-08-05T00:00:00.0000000Z,2021-08-04T00:00:08.2370000Z,2021-08-04T23:58:41.0660000Z,20.84,22.45,20.28,22.31,263393.15,18768
2021-08-05T00:00:00.0000000Z,2021-08-06T00:00:00.0000000Z,2021-08-05T00:00:05.3790000Z,2021-08-05T23:58:13.7820000Z,22.31,23.48,20.91,22.29,142011.36,11221
2021-08-06T00:00:00.0000000Z,2021-08-07T00:00:00.0000000Z,2021-08-06T00:00:40.6510000Z,2021-08-06T23:59:35.8340000Z,22.27,22.67,21.53,22.42,78222.69,5429
2021-08-07T00:00:00.0000000Z,2021-08-08T00:00:00.0000000Z,2021-08-07T00:00:13.4980000Z,2021-08-07T23:59:30.1740000Z,22.47,23.4,21.93,22.67,98985.94,8038
2021-08-08T00:00:00.0000000Z,2021-08-09T00:00:00.0000000Z,2021-08-08T00:00:35.1270000Z,2021-08-08T23:58:10.3160000Z,22.64,23.48,21.23,21.49,87199.51,7276
2021-08-09T00:00:00.0000000Z,2021-08-10T00:00:00.0000000Z,2021-08-09T00:00:37.7680000Z,2021-08-09T23:59:59.1550000Z,21.46,22.36,20.58,22.21,155681.21,9407
2021-08-10T00:00:00.0000000Z,2021-08-11T00:00:00.0000000Z,2021-08-10T00:00:00.1880000Z,2021-08-10T23:59:58.5240000Z,22.19,24.14,21.68,23.09,220054.92,20137
2021-08-11T00:00:00.0000000Z,2021-08-12T00:00:00.0000000Z,2021-08-11T00:00:00.6830000Z,2021-08-11T23:57:35.2520000Z,23.07,26.69,22.97,23.91,231708.89,24142
2021-08-12T00:00:00.0000000Z,2021-08-13T00:00:00.0000000Z,2021-08-12T00:00:00.0510000Z,2021-08-12T23:56:55.6100000Z,23.81,24.01,21.92,22.56,121826.85,11315
2021-08-13T00:00:00.0000000Z,2021-08-14T00:00:00.0000000Z,2021-08-13T00:00:07.2210000Z,2021-08-13T23:57:08.8380000Z,22.6,23.99,22.41,23.69,42522.15,4211
2021-08-14T00:00:00.0000000Z,2021-08-15T00:00:00.0000000Z,2021-08-14T00:00:11.8870000Z,2021-08-14T23:58:27.2940000Z,23.66,23.91,22.56,23.29,53385.71,3771
2021-08-15T00:00:00.0000000Z,2021-08-16T00:00:00.0000000Z,2021-08-15T00:01:57.5930000Z,2021-08-15T23:59:53.8120000Z,23.39,23.41,22.13,23.08,38134.24,3221
2021-08-16T00:00:00.0000000Z,2021-08-17T00:00:00.0000000Z,2021-08-16T00:00:44.1070000Z,2021-08-16T23:59:22.5630000Z,23.02,23.75,22.52,22.76,61175.66,5030
2021-08-17T00:00:00.0000000Z,2021-08-18T00:00:00.0000000Z,2021-08-17T00:00:00.0980000Z,2021-08-17T23:59:58.0420000Z,22.82,25.11,21.87,22.24,108809.89,7257
2021-08-18T00:00:00.0000000Z,2021-08-19T00:00:00.0000000Z,2021-08-18T00:00:10.6120000Z,2021-08-18T23:56:35.5010000Z,22.23,23.94,21.12,22.39,78374.09,5912
