time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-04-23T00:00:00.0000000Z,2021-04-24T00:00:00.0000000Z,2021-04-23T09:03:37.9330000Z,2021-04-23T09:04:18.2960000Z,40.654,41.892,40.653,41.294,6031.566,599
2021-05-21T00:00:00.0000000Z,2021-05-22T00:00:00.0000000Z,2021-05-21T16:33:57.9160000Z,2021-05-21T23:59:20.1360000Z,19.283,20.007,18.0,19.546,99428.121,3384
2021-05-22T00:00:00.0000000Z,2021-05-23T00:00:00.0000000Z,2021-05-22T00:00:21.2480000Z,2021-05-22T23:46:57.5650000Z,19.512,20.424,18.0,19.193,180509.823,9568
2021-05-23T00:00:00.0000000Z,2021-05-24T00:00:00.0000000Z,2021-05-23T00:01:30.1610000Z,2021-05-23T23:58:02.8590000Z,19.013,19.171,14.0,15.967,180231.129,8476
2021-05-24T00:00:00.0000000Z,2021-05-25T00:00:00.0000000Z,2021-05-24T00:01:42.2470000Z,2021-05-24T23:59:26.4010000Z,15.967,19.732,15.102,19.057,168826.119,12122
2021-05-25T00:00:00.0000000Z,2021-05-26T00:00:00.0000000Z,2021-05-25T00:00:27.3160000Z,2021-05-25T23:59:19.5010000Z,19.057,19.889,16.0,18.011,123822.809,10641
2021-05-26T00:00:00.0000000Z,2021-05-27T00:00:00.0000000Z,2021-05-26T00:02:27.7930000Z,2021-05-26T23:59:18.0480000Z,18.068,21.0,17.868,19.673,157057.123,13617
2021-05-27T00:00:00.0000000Z,2021-05-28T00:00:00.0000000Z,2021-05-27T00:00:27.9570000Z,2021-05-27T23:59:59.0640000Z,19.673,25.88,17.959,23.382,327146.048,32136
2021-05-28T00:00:00.0000000Z,2021-05-29T00:00:00.0000000Z,2021-05-28T00:00:03.0980000Z,2021-05-28T23:59:57.7270000Z,23.2,24.9,18.412,19.367,275723.258,23007
2021-05-29T00:00:00.0000000Z,2021-05-30T00:00:00.0000000Z,2021-05-29T00:00:12.8300000Z,2021-05-29T23:59:59.7250000Z,19.365,27.0,19.11,22.801,695035.236,51876
2021-05-30T00:00:00.0000000Z,2021-05-31T00:00:00.0000000Z,2021-05-30T00:00:00.5660000Z,2021-05-30T23:59:50.2990000Z,22.802,22.804,20.382,21.989,274622.76,25207
