time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-20T00:00:00.0000000Z,2021-08-21T00:00:00.0000000Z,2021-08-20T10:00:37.5070000Z,2021-08-20T23:59:58.6140000Z,0.13314,0.135,0.09555,0.0965,405097802.0,141534
2021-08-21T00:00:00.0000000Z,2021-08-22T00:00:00.0000000Z,2021-08-21T00:00:03.1880000Z,2021-08-21T23:59:58.0610000Z,0.09651,0.0968,0.08312,0.08716,254801347.0,90578
2021-08-22T00:00:00.0000000Z,2021-08-23T00:00:00.0000000Z,2021-08-22T00:00:02.0780000Z,2021-08-22T23:59:58.1880000Z,0.08739,0.08788,0.07741,0.07963,129421557.0,38843
2021-08-23T00:00:00.0000000Z,2021-08-24T00:00:00.0000000Z,2021-08-23T00:00:00.7250000Z,2021-08-23T23:59:42.0220000Z,0.07978,0.0845,0.07516,0.0781,158267305.0,38812
2021-08-24T00:00:00.0000000Z,2021-08-25T00:00:00.0000000Z,2021-08-24T00:00:13.9810000Z,2021-08-24T23:59:59.9980000Z,0.07808,0.10254,0.07406,0.08366,728238442.0,191566
2021-08-25T00:00:00.0000000Z,2021-08-26T00:00:00.0000000Z,2021-08-25T00:00:00.0100000Z,2021-08-25T23:59:39.7250000Z,0.08366,0.104,0.08049,0.08595,468109944.0,131480
2021-08-26T00:00:00.0000000Z,2021-08-27T00:00:00.0000000Z,2021-08-26T00:00:04.3350000Z,2021-08-26T23:59:59.6620000Z,0.08589,0.088,0.075,0.07672,137194219.0,43984
2021-08-27T00:00:00.0000000Z,2021-08-28T00:00:00.0000000Z,2021-08-27T00:00:23.0340000Z,2021-08-27T23:59:56.5200000Z,0.07672,0.09614,0.07381,0.0822,259414785.0,77033
2021-08-28T00:00:00.0000000Z,2021-08-29T00:00:00.0000000Z,2021-08-28T00:00:00.3230000Z,2021-08-28T23:59:59.8710000Z,0.0822,0.0854,0.0788,0.082,96766121.0,30209
2021-08-29T00:00:00.0000000Z,2021-08-30T00:00:00.0000000Z,2021-08-29T00:00:00.4660000Z,2021-08-29T23:59:46.5600000Z,0.08201,0.08505,0.0762,0.07912,111290771.0,32815
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T00:00:26.0170000Z,2021-08-30T23:59:56.2720000Z,0.07913,0.0841,0.077,0.07723,95163464.0,28230
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:20.0670000Z,2021-08-31T23:59:39.6810000Z,0.07723,0.08065,0.07485,0.07621,66955963.0,20380
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:07.2030000Z,2021-09-01T23:58:36.0200000Z,0.07625,0.08167,0.074,0.07949,90125797.0,24973
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:01:44.9910000Z,2021-09-02T23:59:48.3730000Z,0.0795,0.086,0.07886,0.08096,72288507.0,23141
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:00:08.6460000Z,2021-09-03T23:59:52.6920000Z,0.0809,0.08098,0.07877,0.07997,44238608.0,15588
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:00:41.1460000Z,2021-09-04T23:59:35.6020000Z,0.0798,0.0803,0.07619,0.07759,65158351.0,22265
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:00:29.5440000Z,2021-09-05T23:58:40.8420000Z,0.07765,0.0805,0.07537,0.07754,77786970.0,21880
