time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T10:02:52.7760000Z,2021-10-04T23:59:10.6430000Z,1.4014,1.46,1.2692,1.3132,3720087.0,16768
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:34.8030000Z,2021-10-05T23:58:24.4450000Z,1.3117,1.3984,1.2485,1.307,2765044.0,9900
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:01:07.6630000Z,2021-10-06T23:59:37.7490000Z,1.3108,1.3308,1.1818,1.24,1980556.0,7763
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:19.8010000Z,2021-10-07T23:59:35.7720000Z,1.235,1.3259,1.1992,1.2733,1635047.0,5699
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:06.5830000Z,2021-10-08T23:59:58.6780000Z,1.2727,1.33,1.252,1.275,1440984.0,4930
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:05:02.2290000Z,2021-10-09T23:59:26.8650000Z,1.2723,1.2979,1.2515,1.2624,742600.0,3104
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:24.7970000Z,2021-10-10T23:59:58.4380000Z,1.2675,1.276,1.2052,1.2174,897440.0,3301
2021-10-11T00:00:00.0000000Z,2021-10-12T00:00:00.0000000Z,2021-10-11T00:01:36.9770000Z,2021-10-11T23:58:19.9300000Z,1.2117,1.241,1.1821,1.1971,609208.0,2769
2021-10-12T00:00:00.0000000Z,2021-10-13T00:00:00.0000000Z,2021-10-12T00:08:03.2860000Z,2021-10-12T23:51:58.2670000Z,1.1956,1.35,1.1496,1.2055,2519529.0,10570
2021-10-13T00:00:00.0000000Z,2021-10-14T00:00:00.0000000Z,2021-10-13T00:00:17.7100000Z,2021-10-13T23:59:56.7090000Z,1.2051,1.33,1.1665,1.2151,1618102.0,6924
2021-10-14T00:00:00.0000000Z,2021-10-15T00:00:00.0000000Z,2021-10-14T00:00:00.6200000Z,2021-10-14T23:58:09.4080000Z,1.2202,1.29,1.2103,1.2332,798479.0,3958
2021-10-15T00:00:00.0000000Z,2021-10-16T00:00:00.0000000Z,2021-10-15T00:00:08.7170000Z,2021-10-15T23:59:21.7270000Z,1.2266,1.32,1.1805,1.2624,1919661.0,8142
2021-10-16T00:00:00.0000000Z,2021-10-17T00:00:00.0000000Z,2021-10-16T00:00:44.5640000Z,2021-10-16T23:57:25.9200000Z,1.264,1.4598,1.2394,1.2718,3774518.0,14781
2021-10-17T00:00:00.0000000Z,2021-10-18T00:00:00.0000000Z,2021-10-17T00:00:42.7430000Z,2021-10-17T23:59:02.0970000Z,1.2715,1.35,1.2,1.2286,1843934.0,8374
2021-10-18T00:00:00.0000000Z,2021-10-19T00:00:00.0000000Z,2021-10-18T00:04:18.2790000Z,2021-10-18T23:59:53.6400000Z,1.2301,1.3765,1.2001,1.2961,2823843.0,10545
2021-10-19T00:00:00.0000000Z,2021-10-20T00:00:00.0000000Z,2021-10-19T00:00:37.1100000Z,2021-10-19T23:59:19.3990000Z,1.296,1.37,1.203,1.2582,1618272.0,7121
2021-10-20T00:00:00.0000000Z,2021-10-21T00:00:00.0000000Z,2021-10-20T00:00:03.2260000Z,2021-10-20T23:59:49.8630000Z,1.2582,1.2997,1.2135,1.2966,989464.0,5802
2021-10-21T00:00:00.0000000Z,2021-10-22T00:00:00.0000000Z,2021-10-21T00:00:49.2440000Z,2021-10-21T23:58:44.3610000Z,1.2916,1.3489,1.2386,1.2616,2009998.0,9458
2021-10-22T00:00:00.0000000Z,2021-10-23T00:00:00.0000000Z,2021-10-22T00:01:51.2540000Z,2021-10-22T23:59:59.4350000Z,1.2647,1.3406,1.2594,1.2819,1532194.0,7522
2021-10-23T00:00:00.0000000Z,2021-10-24T00:00:00.0000000Z,2021-10-23T00:00:00.1850000Z,2021-10-23T23:59:51.6560000Z,1.2819,1.313,1.2494,1.2675,835424.0,4993
2021-10-24T00:00:00.0000000Z,2021-10-25T00:00:00.0000000Z,2021-10-24T00:00:54.6530000Z,2021-10-24T23:59:22.1500000Z,1.2711,1.2792,1.2329,1.2393,868914.0,4790
2021-10-25T00:00:00.0000000Z,2021-10-26T00:00:00.0000000Z,2021-10-25T00:01:36.5500000Z,2021-10-25T23:59:55.3810000Z,1.2331,1.3289,1.2072,1.2677,1408365.0,6559
2021-10-26T00:00:00.0000000Z,2021-10-27T00:00:00.0000000Z,2021-10-26T00:00:14.8640000Z,2021-10-26T23:59:37.6390000Z,1.2737,1.2742,1.2272,1.2372,1010068.0,5533
2021-10-27T00:00:00.0000000Z,2021-10-28T00:00:00.0000000Z,2021-10-27T00:02:22.9940000Z,2021-10-27T23:59:52.1430000Z,1.2372,1.259,0.9249,1.0407,1843236.0,9032
2021-10-28T00:00:00.0000000Z,2021-10-29T00:00:00.0000000Z,2021-10-28T00:00:21.7940000Z,2021-10-28T23:59:13.2310000Z,1.0435,1.2743,1.0324,1.1418,5315623.0,26071
2021-10-29T00:00:00.0000000Z,2021-10-30T00:00:00.0000000Z,2021-10-29T00:00:15.4790000Z,2021-10-29T23:59:43.7780000Z,1.1454,1.1805,1.1087,1.1552,1249392.0,7048
2021-10-30T00:00:00.0000000Z,2021-10-31T00:00:00.0000000Z,2021-10-30T00:00:22.0990000Z,2021-10-30T23:59:59.0940000Z,1.1567,1.1615,1.0589,1.1027,4200721.0,18125
2021-10-31T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-31T00:00:01.2830000Z,2021-10-31T23:59:16.8630000Z,1.1027,1.1909,1.07,1.144,3275754.0,14892
2021-11-01T00:00:00.0000000Z,2021-11-02T00:00:00.0000000Z,2021-11-01T00:00:00.7100000Z,2021-11-01T23:59:31.0900000Z,1.1479,1.24,1.1089,1.126,2138848.0,10202
2021-11-02T00:00:00.0000000Z,2021-11-03T00:00:00.0000000Z,2021-11-02T00:00:03.1020000Z,2021-11-02T23:59:30.8970000Z,1.126,1.1876,1.1113,1.136,1758514.0,8804
2021-11-03T00:00:00.0000000Z,2021-11-04T00:00:00.0000000Z,2021-11-03T00:00:12.7740000Z,2021-11-03T23:59:55.1840000Z,1.1396,1.169,1.1,1.1298,1771811.0,7762
2021-11-04T00:00:00.0000000Z,2021-11-05T00:00:00.0000000Z,2021-11-04T00:00:10.6490000Z,2021-11-04T23:59:45.0400000Z,1.1298,1.1651,1.0976,1.1538,2027237.0,7483
2021-11-05T00:00:00.0000000Z,2021-11-06T00:00:00.0000000Z,2021-11-05T00:02:00.9440000Z,2021-11-05T23:59:31.6650000Z,1.156,1.1636,1.1046,1.131,1199641.0,5345
2021-11-06T00:00:00.0000000Z,2021-11-07T00:00:00.0000000Z,2021-11-06T00:00:16.6150000Z,2021-11-06T23:57:06.3540000Z,1.131,1.1434,1.0842,1.1046,706249.0,3063
2021-11-07T00:00:00.0000000Z,2021-11-08T00:00:00.0000000Z,2021-11-07T00:00:06.2600000Z,2021-11-07T23:59:47.9450000Z,1.1046,1.153,1.1011,1.1238,934620.0,4265
2021-11-08T00:00:00.0000000Z,2021-11-09T00:00:00.0000000Z,2021-11-08T00:00:02.5680000Z,2021-11-08T23:59:34.3780000Z,1.1238,1.3278,1.0949,1.2503,5302835.0,23330
2021-11-09T00:00:00.0000000Z,2021-11-10T00:00:00.0000000Z,2021-11-09T00:00:21.5310000Z,2021-11-09T23:59:48.8330000Z,1.2465,1.2559,1.1399,1.1644,1450902.0,7015
2021-11-10T00:00:00.0000000Z,2021-11-11T00:00:00.0000000Z,2021-11-10T00:00:03.6740000Z,2021-11-10T23:59:00.2300000Z,1.1644,1.1676,1.04,1.0746,1689779.0,8583
2021-11-11T00:00:00.0000000Z,2021-11-12T00:00:00.0000000Z,2021-11-11T00:00:00.1410000Z,2021-11-11T23:59:43.7410000Z,1.0742,1.1152,1.061,1.099,1115167.0,6152
2021-11-12T00:00:00.0000000Z,2021-11-13T00:00:00.0000000Z,2021-11-12T00:00:00.1160000Z,2021-11-12T23:59:38.3230000Z,1.0983,1.1142,1.03,1.0611,3100527.0,10483
2021-11-13T00:00:00.0000000Z,2021-11-14T00:00:00.0000000Z,2021-11-13T00:00:27.9580000Z,2021-11-13T23:59:46.4810000Z,1.0621,1.16,1.0145,1.0897,2207987.0,8727
2021-11-14T00:00:00.0000000Z,2021-11-15T00:00:00.0000000Z,2021-11-14T00:00:36.0140000Z,2021-11-14T23:59:55.0900000Z,1.0895,1.1356,1.0614,1.0795,1901636.0,7458
2021-11-15T00:00:00.0000000Z,2021-11-16T00:00:00.0000000Z,2021-11-15T00:00:16.9930000Z,2021-11-15T23:59:47.9580000Z,1.0801,1.1651,1.0667,1.0899,3103169.0,10591
2021-11-16T00:00:00.0000000Z,2021-11-17T00:00:00.0000000Z,2021-11-16T00:00:27.1040000Z,2021-11-16T23:59:30.6860000Z,1.0897,1.09,0.9303,0.9716,2552003.0,10196
2021-11-17T00:00:00.0000000Z,2021-11-18T00:00:00.0000000Z,2021-11-17T00:00:20.1780000Z,2021-11-17T23:59:41.5200000Z,0.9707,0.9832,0.94,0.9674,1169492.0,5415
2021-11-18T00:00:00.0000000Z,2021-11-19T00:00:00.0000000Z,2021-11-18T00:00:00.5810000Z,2021-11-18T23:58:36.3120000Z,0.9672,0.9834,0.8501,0.8708,1574593.0,6663
2021-11-19T00:00:00.0000000Z,2021-11-20T00:00:00.0000000Z,2021-11-19T00:01:00.7820000Z,2021-11-19T23:59:24.9000000Z,0.8706,0.95,0.8344,0.9264,1587033.0,5923
2021-11-20T00:00:00.0000000Z,2021-11-21T00:00:00.0000000Z,2021-11-20T00:02:58.1780000Z,2021-11-20T23:59:32.3590000Z,0.9277,0.9889,0.8971,0.9765,1576458.0,5874
2021-11-21T00:00:00.0000000Z,2021-11-22T00:00:00.0000000Z,2021-11-21T00:00:17.7290000Z,2021-11-21T23:59:56.3860000Z,0.9783,1.5472,0.9455,1.1244,26798391.0,82338
2021-11-22T00:00:00.0000000Z,2021-11-23T00:00:00.0000000Z,2021-11-22T00:00:05.3170000Z,2021-11-22T23:59:49.4130000Z,1.1244,1.4109,1.02,1.0856,31743006.0,145899
2021-11-23T00:00:00.0000000Z,2021-11-24T00:00:00.0000000Z,2021-11-23T00:00:07.6270000Z,2021-11-23T23:59:40.4100000Z,1.0848,1.1517,1.0451,1.0607,4147841.0,17575
2021-11-24T00:00:00.0000000Z,2021-11-25T00:00:00.0000000Z,2021-11-24T00:01:03.6600000Z,2021-11-24T23:59:53.9690000Z,1.0607,1.1459,0.9533,0.9885,2902013.0,11875
2021-11-25T00:00:00.0000000Z,2021-11-26T00:00:00.0000000Z,2021-11-25T00:00:39.0950000Z,2021-11-25T23:56:00.8110000Z,0.988,1.0458,0.98,1.0052,1944171.0,8630
2021-11-26T00:00:00.0000000Z,2021-11-27T00:00:00.0000000Z,2021-11-26T00:00:34.3850000Z,2021-11-26T23:58:00.7560000Z,1.0009,1.0085,0.8829,0.9075,1729136.0,7557
2021-11-27T00:00:00.0000000Z,2021-11-28T00:00:00.0000000Z,2021-11-27T00:00:21.2610000Z,2021-11-27T23:59:22.4670000Z,0.9051,1.0459,0.9011,0.9934,4040178.0,16460
2021-11-28T00:00:00.0000000Z,2021-11-29T00:00:00.0000000Z,2021-11-28T00:00:05.7830000Z,2021-11-28T23:59:29.8650000Z,0.9954,0.9999,0.8502,0.9405,1849767.0,7249
2021-11-29T00:00:00.0000000Z,2021-11-30T00:00:00.0000000Z,2021-11-29T00:00:16.3630000Z,2021-11-29T23:59:55.0210000Z,0.9448,1.27,0.9239,1.0761,17621987.0,64516
2021-11-30T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-30T00:00:05.8570000Z,2021-11-30T23:59:41.9380000Z,1.0761,1.19,1.0102,1.04,11888691.0,47570
2021-12-01T00:00:00.0000000Z,2021-12-02T00:00:00.0000000Z,2021-12-01T00:00:14.7860000Z,2021-12-01T23:59:39.6100000Z,1.04,1.07,0.9491,0.9995,3814493.0,16332
2021-12-02T00:00:00.0000000Z,2021-12-03T00:00:00.0000000Z,2021-12-02T00:00:08.8050000Z,2021-12-02T23:59:50.2560000Z,0.9994,1.0254,0.9184,0.9894,3215597.0,11358
2021-12-03T00:00:00.0000000Z,2021-12-04T00:00:00.0000000Z,2021-12-03T00:00:41.6610000Z,2021-12-03T23:58:27.3800000Z,0.9904,1.0428,0.9463,0.9706,4748759.0,14954
2021-12-04T00:00:00.0000000Z,2021-12-05T00:00:00.0000000Z,2021-12-04T00:01:23.1400000Z,2021-12-04T23:56:18.4480000Z,0.9703,0.9703,0.644,0.8077,4341478.0,13014
2021-12-05T00:00:00.0000000Z,2021-12-06T00:00:00.0000000Z,2021-12-05T00:01:23.3600000Z,2021-12-05T23:59:44.3090000Z,0.8079,0.8778,0.741,0.7859,4315654.0,12653
2021-12-06T00:00:00.0000000Z,2021-12-07T00:00:00.0000000Z,2021-12-06T00:01:10.4390000Z,2021-12-06T23:59:15.8630000Z,0.7858,0.7943,0.7044,0.7939,2421585.0,8242
2021-12-07T00:00:00.0000000Z,2021-12-08T00:00:00.0000000Z,2021-12-07T00:01:12.9890000Z,2021-12-07T23:57:07.4160000Z,0.7936,0.832,0.7492,0.7618,3075120.0,8964
2021-12-08T00:00:00.0000000Z,2021-12-09T00:00:00.0000000Z,2021-12-08T00:00:27.0130000Z,2021-12-08T23:59:06.0620000Z,0.7614,0.8361,0.7508,0.7968,5570247.0,14046
2021-12-09T00:00:00.0000000Z,2021-12-10T00:00:00.0000000Z,2021-12-09T00:00:07.4050000Z,2021-12-09T23:58:57.8310000Z,0.7969,0.8238,0.7216,0.7256,6876686.0,12688
2021-12-10T00:00:00.0000000Z,2021-12-11T00:00:00.0000000Z,2021-12-10T00:00:03.3670000Z,2021-12-10T23:58:31.9910000Z,0.7246,0.7683,0.6722,0.6794,4638312.0,7959
2021-12-11T00:00:00.0000000Z,2021-12-12T00:00:00.0000000Z,2021-12-11T00:00:06.0040000Z,2021-12-11T23:57:05.0230000Z,0.6808,0.7361,0.6682,0.715,3618109.0,6400
2021-12-12T00:00:00.0000000Z,2021-12-13T00:00:00.0000000Z,2021-12-12T00:02:34.9420000Z,2021-12-12T13:29:01.4660000Z,0.7148,0.7237,0.6807,0.7045,1780097.0,3189
