time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-06T00:00:00.0000000Z,2021-06-07T00:00:00.0000000Z,2021-06-06T10:03:55.5480000Z,2021-06-06T23:59:21.5670000Z,0.3258,0.4499,0.3111,0.3407,1078716.0,1112
2021-06-07T00:00:00.0000000Z,2021-06-08T00:00:00.0000000Z,2021-06-07T00:01:20.2680000Z,2021-06-07T23:58:42.4620000Z,0.3419,0.3961,0.2945,0.2971,1390724.0,2478
2021-06-08T00:00:00.0000000Z,2021-06-09T00:00:00.0000000Z,2021-06-08T00:00:46.0400000Z,2021-06-08T23:59:47.5570000Z,0.2983,0.34,0.2574,0.2933,2158269.0,4321
2021-06-09T00:00:00.0000000Z,2021-06-10T00:00:00.0000000Z,2021-06-09T00:00:15.5570000Z,2021-06-09T23:58:39.7370000Z,0.2923,0.315,0.2729,0.3057,2084897.0,3873
2021-06-10T00:00:00.0000000Z,2021-06-11T00:00:00.0000000Z,2021-06-10T00:01:18.2820000Z,2021-06-10T23:57:25.4790000Z,0.305,0.3098,0.2686,0.279,1798822.0,2706
2021-06-11T00:00:00.0000000Z,2021-06-12T00:00:00.0000000Z,2021-06-11T00:00:16.2070000Z,2021-06-11T23:57:40.0700000Z,0.2798,0.2881,0.2481,0.2528,2575598.0,2766
2021-06-12T00:00:00.0000000Z,2021-06-13T00:00:00.0000000Z,2021-06-12T00:00:42.0590000Z,2021-06-12T23:57:28.2160000Z,0.2523,0.2552,0.2322,0.2381,1744726.0,2560
2021-06-13T00:00:00.0000000Z,2021-06-14T00:00:00.0000000Z,2021-06-13T00:00:11.3580000Z,2021-06-13T23:59:14.1500000Z,0.2393,0.2831,0.2322,0.281,1866946.0,3345
2021-06-14T00:00:00.0000000Z,2021-06-15T00:00:00.0000000Z,2021-06-14T00:02:08.8190000Z,2021-06-14T23:59:10.7990000Z,0.2816,0.309,0.2678,0.299,5513109.0,6358
2021-06-15T00:00:00.0000000Z,2021-06-16T00:00:00.0000000Z,2021-06-15T00:01:06.8610000Z,2021-06-15T23:59:28.9470000Z,0.3008,0.3099,0.281,0.289,4892724.0,4394
2021-06-16T00:00:00.0000000Z,2021-06-17T00:00:00.0000000Z,2021-06-16T00:01:05.6740000Z,2021-06-16T23:59:07.3260000Z,0.2874,0.2918,0.265,0.2804,2255407.0,3379
2021-06-17T00:00:00.0000000Z,2021-06-18T00:00:00.0000000Z,2021-06-17T00:00:15.9220000Z,2021-06-17T23:59:59.6570000Z,0.2798,0.336,0.2796,0.321,6368295.0,10858
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T00:00:04.9530000Z,2021-06-18T23:54:05.1610000Z,0.3217,0.35,0.2823,0.2939,9948196.0,16384
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:53.1970000Z,2021-06-19T23:59:53.6430000Z,0.2939,0.3492,0.2825,0.3085,4920687.0,9286
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:26.2570000Z,2021-06-20T23:59:20.2590000Z,0.3078,0.32,0.282,0.3085,3257589.0,6922
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:00:34.7560000Z,2021-06-21T23:59:55.3660000Z,0.3097,0.3111,0.2334,0.2352,3191510.0,6849
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:00:34.9030000Z,2021-06-22T23:59:55.4380000Z,0.2362,0.254,0.1862,0.217,3923593.0,5464
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:01:14.2200000Z,2021-06-23T23:58:45.1350000Z,0.2178,0.267,0.2061,0.2465,2690583.0,4634
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:00:14.4470000Z,2021-06-24T23:55:14.6540000Z,0.2467,0.258,0.2329,0.2414,1464982.0,2925
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:17.9210000Z,2021-06-25T23:59:08.5830000Z,0.2426,0.26,0.2043,0.2068,2105096.0,4328
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:13.3090000Z,2021-06-26T23:59:27.4230000Z,0.2044,0.2222,0.1938,0.2121,1626851.0,3617
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:00:02.6160000Z,2021-06-27T23:59:16.4370000Z,0.2129,0.2216,0.2004,0.2179,2500696.0,3123
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:01:29.2770000Z,2021-06-28T23:57:43.7230000Z,0.2181,0.24,0.215,0.2258,2740223.0,4419
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:24.2440000Z,2021-06-29T23:59:52.2180000Z,0.2262,0.2537,0.2248,0.2355,2664030.0,5114
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:00:38.7170000Z,2021-06-30T23:59:59.0210000Z,0.2359,0.2429,0.2133,0.2414,2750997.0,5105
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:00:48.1790000Z,2021-07-01T23:57:34.3440000Z,0.2417,0.245,0.219,0.2218,2604629.0,5099
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:00:00.1600000Z,2021-07-02T23:55:40.0300000Z,0.2216,0.2351,0.2143,0.227,1702602.0,3747
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:35.0770000Z,2021-07-03T23:58:18.1880000Z,0.2276,0.2399,0.2249,0.2346,924271.0,2532
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:03:06.9660000Z,2021-07-04T23:57:15.0960000Z,0.2345,0.2533,0.2272,0.2425,1203378.0,3133
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:01:40.8180000Z,2021-07-05T23:58:29.9840000Z,0.2416,0.2458,0.225,0.2298,1038720.0,2416
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:00:34.8500000Z,2021-07-06T23:59:45.0540000Z,0.2299,0.2549,0.2299,0.2499,2425893.0,4736
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:00:05.4350000Z,2021-07-07T23:59:08.2870000Z,0.2495,0.278,0.2459,0.2581,2662503.0,6016
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:34.0600000Z,2021-07-08T23:54:54.9660000Z,0.257,0.26,0.2316,0.2385,1827604.0,3742
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:00:15.9810000Z,2021-07-09T23:58:42.2140000Z,0.2379,0.2411,0.224,0.2338,858693.0,2792
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:00:15.3710000Z,2021-07-10T23:54:37.5820000Z,0.2347,0.2413,0.2216,0.2255,839665.0,2038
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:22.0010000Z,2021-07-11T23:40:02.5170000Z,0.2265,0.2488,0.2205,0.2308,895981.0,2241
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:05:12.4480000Z,2021-07-12T23:59:38.6070000Z,0.2322,0.2437,0.2189,0.224,1623984.0,2814
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:00:00.8030000Z,2021-07-13T23:58:49.4380000Z,0.2239,0.2421,0.215,0.2229,2236777.0,3107
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:00:29.7390000Z,2021-07-14T23:50:41.2920000Z,0.2229,0.2257,0.2062,0.2193,2129838.0,3169
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:01:35.2400000Z,2021-07-15T23:59:20.0390000Z,0.2197,0.2233,0.203,0.2117,1879535.0,2676
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:00:50.3120000Z,2021-07-16T23:59:51.6210000Z,0.2117,0.2159,0.1936,0.1936,1306599.0,2363
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:00:07.7500000Z,2021-07-17T23:56:37.6750000Z,0.1936,0.1979,0.1883,0.1965,586747.0,1350
2021-07-18T00:00:00.0000000Z,2021-07-19T00:00:00.0000000Z,2021-07-18T00:03:13.0330000Z,2021-07-18T23:59:16.8880000Z,0.1958,0.2032,0.1876,0.1906,1193412.0,1582
2021-07-19T00:00:00.0000000Z,2021-07-20T00:00:00.0000000Z,2021-07-19T00:00:11.3170000Z,2021-07-19T23:57:50.5340000Z,0.1903,0.1912,0.1682,0.1699,1812437.0,2614
2021-07-20T00:00:00.0000000Z,2021-07-21T00:00:00.0000000Z,2021-07-20T00:03:34.9980000Z,2021-07-20T23:47:37.6650000Z,0.1699,0.1733,0.1525,0.1606,2779806.0,3569
2021-07-21T00:00:00.0000000Z,2021-07-22T00:00:00.0000000Z,2021-07-21T00:03:53.0280000Z,2021-07-21T23:50:17.6170000Z,0.1593,0.1862,0.1561,0.1765,1897625.0,2974
2021-07-22T00:00:00.0000000Z,2021-07-23T00:00:00.0000000Z,2021-07-22T00:01:55.9210000Z,2021-07-22T23:59:47.4780000Z,0.1761,0.1978,0.1718,0.1855,2412217.0,3671
2021-07-23T00:00:00.0000000Z,2021-07-24T00:00:00.0000000Z,2021-07-23T00:02:07.7120000Z,2021-07-23T23:59:22.8290000Z,0.1858,0.195,0.1791,0.1908,2164847.0,2584
2021-07-24T00:00:00.0000000Z,2021-07-25T00:00:00.0000000Z,2021-07-24T00:00:52.4760000Z,2021-07-24T23:51:56.9850000Z,0.1908,0.2018,0.1894,0.1945,2381021.0,3619
2021-07-25T00:00:00.0000000Z,2021-07-26T00:00:00.0000000Z,2021-07-25T00:01:09.0670000Z,2021-07-25T23:58:12.6190000Z,0.1945,0.2074,0.1863,0.1988,1644890.0,2554
2021-07-26T00:00:00.0000000Z,2021-07-27T00:00:00.0000000Z,2021-07-26T00:01:30.0610000Z,2021-07-26T23:59:42.2720000Z,0.1976,0.243,0.1958,0.2093,8672786.0,13218
2021-07-27T00:00:00.0000000Z,2021-07-28T00:00:00.0000000Z,2021-07-27T00:00:05.8350000Z,2021-07-27T23:58:46.3380000Z,0.2091,0.239,0.2002,0.2252,5144018.0,6133
2021-07-28T00:00:00.0000000Z,2021-07-29T00:00:00.0000000Z,2021-07-28T00:02:02.9220000Z,2021-07-28T23:58:44.2850000Z,0.2242,0.2322,0.2157,0.2274,2952343.0,4155
2021-07-29T00:00:00.0000000Z,2021-07-30T00:00:00.0000000Z,2021-07-29T00:01:37.9020000Z,2021-07-29T23:59:54.1560000Z,0.2269,0.2572,0.2232,0.2495,8829765.0,11023
2021-07-30T00:00:00.0000000Z,2021-07-31T00:00:00.0000000Z,2021-07-30T00:00:11.7220000Z,2021-07-30T23:59:06.1010000Z,0.2496,0.2582,0.2282,0.2533,3514636.0,5452
2021-07-31T00:00:00.0000000Z,2021-08-01T00:00:00.0000000Z,2021-07-31T00:00:17.2390000Z,2021-07-31T23:59:42.6690000Z,0.2542,0.2599,0.2443,0.2555,2426560.0,4248
2021-08-01T00:00:00.0000000Z,2021-08-02T00:00:00.0000000Z,2021-08-01T00:02:00.2810000Z,2021-08-01T23:59:53.9120000Z,0.2554,0.2676,0.2426,0.2457,3177617.0,6590
2021-08-02T00:00:00.0000000Z,2021-08-03T00:00:00.0000000Z,2021-08-02T00:00:22.0390000Z,2021-08-02T23:59:08.6170000Z,0.2459,0.2549,0.2375,0.2509,2294605.0,4160
2021-08-03T00:00:00.0000000Z,2021-08-04T00:00:00.0000000Z,2021-08-03T00:00:20.7620000Z,2021-08-03T23:59:09.9860000Z,0.2514,0.2579,0.2334,0.2377,1932637.0,3848
2021-08-04T00:00:00.0000000Z,2021-08-05T00:00:00.0000000Z,2021-08-04T00:02:12.3670000Z,2021-08-04T23:58:50.5860000Z,0.2384,0.2514,0.23,0.2445,2618465.0,3869
2021-08-05T00:00:00.0000000Z,2021-08-06T00:00:00.0000000Z,2021-08-05T00:00:10.6450000Z,2021-08-05T23:59:19.9630000Z,0.2461,0.2659,0.2315,0.2601,3619622.0,4832
