time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-06-18T00:00:00.0000000Z,2021-06-19T00:00:00.0000000Z,2021-06-18T10:02:08.1280000Z,2021-06-18T23:59:55.3800000Z,31.6,33.45,28.0,29.74,29102.9,2279
2021-06-19T00:00:00.0000000Z,2021-06-20T00:00:00.0000000Z,2021-06-19T00:00:16.9690000Z,2021-06-19T23:47:17.2760000Z,29.74,30.46,28.99,29.44,13626.3,1191
2021-06-20T00:00:00.0000000Z,2021-06-21T00:00:00.0000000Z,2021-06-20T00:01:25.2870000Z,2021-06-20T23:52:04.6840000Z,29.4,30.17,27.71,29.97,17620.2,1007
2021-06-21T00:00:00.0000000Z,2021-06-22T00:00:00.0000000Z,2021-06-21T00:02:11.5390000Z,2021-06-21T23:59:24.6000000Z,29.98,30.09,24.85,25.12,20835.6,1473
2021-06-22T00:00:00.0000000Z,2021-06-23T00:00:00.0000000Z,2021-06-22T00:01:59.6040000Z,2021-06-22T23:25:54.7100000Z,24.95,26.22,22.46,24.81,7085.0,868
2021-06-23T00:00:00.0000000Z,2021-06-24T00:00:00.0000000Z,2021-06-23T00:09:28.2180000Z,2021-06-23T23:59:25.2970000Z,24.56,29.4,24.3,26.34,7518.3,943
2021-06-24T00:00:00.0000000Z,2021-06-25T00:00:00.0000000Z,2021-06-24T00:01:38.5210000Z,2021-06-24T23:57:43.7230000Z,26.45,26.98,25.13,26.31,6773.3,1248
2021-06-25T00:00:00.0000000Z,2021-06-26T00:00:00.0000000Z,2021-06-25T00:00:33.6670000Z,2021-06-25T23:59:14.7830000Z,26.33,26.86,23.2,23.33,11290.2,1604
2021-06-26T00:00:00.0000000Z,2021-06-27T00:00:00.0000000Z,2021-06-26T00:02:06.0280000Z,2021-06-26T23:57:56.7230000Z,23.21,23.89,21.97,22.72,10447.5,1107
2021-06-27T00:00:00.0000000Z,2021-06-28T00:00:00.0000000Z,2021-06-27T00:06:17.7150000Z,2021-06-27T23:59:37.3190000Z,22.68,24.62,22.56,24.59,11771.3,879
2021-06-28T00:00:00.0000000Z,2021-06-29T00:00:00.0000000Z,2021-06-28T00:02:21.1540000Z,2021-06-28T23:42:17.6740000Z,24.69,26.32,24.41,25.5,11981.7,1199
2021-06-29T00:00:00.0000000Z,2021-06-30T00:00:00.0000000Z,2021-06-29T00:00:40.2060000Z,2021-06-29T23:56:12.1080000Z,25.57,27.72,25.5,26.83,15039.2,1362
2021-06-30T00:00:00.0000000Z,2021-07-01T00:00:00.0000000Z,2021-06-30T00:04:26.7500000Z,2021-06-30T23:55:23.5770000Z,26.96,27.54,25.69,27.46,13015.6,1212
2021-07-01T00:00:00.0000000Z,2021-07-02T00:00:00.0000000Z,2021-07-01T00:01:57.8450000Z,2021-07-01T23:49:40.4210000Z,27.46,27.54,25.7,26.31,11203.8,871
2021-07-02T00:00:00.0000000Z,2021-07-03T00:00:00.0000000Z,2021-07-02T00:01:41.2350000Z,2021-07-02T23:48:51.7910000Z,26.18,27.31,25.35,27.31,14321.6,1118
2021-07-03T00:00:00.0000000Z,2021-07-04T00:00:00.0000000Z,2021-07-03T00:00:47.3620000Z,2021-07-03T23:58:00.1310000Z,27.39,28.26,26.76,28.0,10953.5,672
2021-07-04T00:00:00.0000000Z,2021-07-05T00:00:00.0000000Z,2021-07-04T00:00:44.0880000Z,2021-07-04T23:56:45.5140000Z,27.99,28.19,26.69,27.49,79528.0,2675
2021-07-05T00:00:00.0000000Z,2021-07-06T00:00:00.0000000Z,2021-07-05T00:00:05.9050000Z,2021-07-05T23:59:51.9400000Z,27.47,27.52,25.22,25.35,56324.6,2810
2021-07-06T00:00:00.0000000Z,2021-07-07T00:00:00.0000000Z,2021-07-06T00:00:26.4900000Z,2021-07-06T23:58:47.8690000Z,25.35,28.92,25.31,28.92,54132.0,3180
2021-07-07T00:00:00.0000000Z,2021-07-08T00:00:00.0000000Z,2021-07-07T00:01:44.7120000Z,2021-07-07T23:55:20.9300000Z,28.74,30.51,28.39,29.99,54738.8,2757
2021-07-08T00:00:00.0000000Z,2021-07-09T00:00:00.0000000Z,2021-07-08T00:00:06.1060000Z,2021-07-08T23:53:46.8710000Z,30.04,30.12,28.25,28.8,44986.5,1140
2021-07-09T00:00:00.0000000Z,2021-07-10T00:00:00.0000000Z,2021-07-09T00:23:45.2960000Z,2021-07-09T23:55:08.2020000Z,28.8,30.47,28.03,30.3,15294.9,973
2021-07-10T00:00:00.0000000Z,2021-07-11T00:00:00.0000000Z,2021-07-10T00:09:42.6680000Z,2021-07-10T23:53:10.1310000Z,30.36,30.72,27.5,30.19,23229.0,1630
2021-07-11T00:00:00.0000000Z,2021-07-12T00:00:00.0000000Z,2021-07-11T00:00:42.8970000Z,2021-07-11T23:40:05.8680000Z,30.2,31.54,29.79,30.93,16862.4,1328
2021-07-12T00:00:00.0000000Z,2021-07-13T00:00:00.0000000Z,2021-07-12T00:01:41.7520000Z,2021-07-12T23:55:44.3630000Z,30.95,32.15,30.15,30.55,30625.9,2113
2021-07-13T00:00:00.0000000Z,2021-07-14T00:00:00.0000000Z,2021-07-13T00:02:11.0340000Z,2021-07-13T23:57:04.5700000Z,30.4,30.97,29.14,29.73,20225.9,1462
2021-07-14T00:00:00.0000000Z,2021-07-15T00:00:00.0000000Z,2021-07-14T00:21:17.6440000Z,2021-07-14T23:57:21.1550000Z,29.59,29.76,28.01,28.39,30180.2,1080
2021-07-15T00:00:00.0000000Z,2021-07-16T00:00:00.0000000Z,2021-07-15T00:00:15.0800000Z,2021-07-15T23:59:33.6660000Z,28.47,28.85,25.63,25.88,56526.5,3177
2021-07-16T00:00:00.0000000Z,2021-07-17T00:00:00.0000000Z,2021-07-16T00:00:07.2320000Z,2021-07-16T23:56:57.4030000Z,25.97,27.15,23.33,25.5,117630.3,6205
2021-07-17T00:00:00.0000000Z,2021-07-18T00:00:00.0000000Z,2021-07-17T00:00:07.2110000Z,2021-07-17T23:44:35.7840000Z,25.49,27.17,25.05,26.38,62028.6,4229
2021-07-18T00:00:00.0000000Z,2021-07-19T00:00:00.0000000Z,2021-07-18T00:05:23.5780000Z,2021-07-18T23:46:18.7610000Z,26.45,27.21,25.77,26.15,21232.9,1429
2021-07-19T00:00:00.0000000Z,2021-07-20T00:00:00.0000000Z,2021-07-19T00:00:31.3610000Z,2021-07-19T23:40:36.6270000Z,26.03,26.25,24.41,25.06,26395.5,1733
