time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-02-18T00:00:00.0000000Z,2021-02-19T00:00:00.0000000Z,2021-02-18T09:00:00.0000000Z,2021-02-18T23:59:58.7600000Z,7.43,18.9,7.43,13.695,4194975.187,181801
2021-02-19T00:00:00.0000000Z,2021-02-20T00:00:00.0000000Z,2021-02-19T00:00:20.0650000Z,2021-02-19T23:59:57.3400000Z,13.69,16.666,10.0,11.0,2311042.154,111577
2021-02-20T00:00:00.0000000Z,2021-02-21T00:00:00.0000000Z,2021-02-20T00:00:00.2210000Z,2021-02-20T23:59:51.3910000Z,10.971,11.49,8.801,9.8,1369307.064,49942
2021-02-21T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-21T00:00:04.1730000Z,2021-02-21T23:59:57.0270000Z,9.8,11.9,9.204,10.306,1101601.101,39482
2021-02-22T00:00:00.0000000Z,2021-02-23T00:00:00.0000000Z,2021-02-22T00:00:33.8680000Z,2021-02-22T23:59:54.2040000Z,10.307,11.05,8.5,9.352,926664.963,26726
2021-02-23T00:00:00.0000000Z,2021-02-24T00:00:00.0000000Z,2021-02-23T00:00:10.2730000Z,2021-02-23T23:57:13.0420000Z,9.326,9.729,6.201,7.535,792082.312,16178
2021-02-24T00:00:00.0000000Z,2021-02-25T00:00:00.0000000Z,2021-02-24T00:01:07.2050000Z,2021-02-24T23:58:20.8210000Z,7.645,8.439,7.185,7.502,531457.629,13280
2021-02-25T00:00:00.0000000Z,2021-02-26T00:00:00.0000000Z,2021-02-25T00:01:18.2490000Z,2021-02-25T23:59:51.9500000Z,7.502,8.05,6.78,6.809,558051.485,14703
2021-02-26T00:00:00.0000000Z,2021-02-27T00:00:00.0000000Z,2021-02-26T00:00:06.2700000Z,2021-02-26T23:59:51.4550000Z,6.811,6.878,5.88,6.086,523144.285,10495
2021-02-27T00:00:00.0000000Z,2021-02-28T00:00:00.0000000Z,2021-02-27T00:01:09.1280000Z,2021-02-27T23:59:57.9650000Z,6.051,8.917,6.048,7.998,1615152.777,37534
2021-02-28T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-28T00:00:03.2740000Z,2021-02-28T23:59:41.4350000Z,7.997,8.431,6.791,7.829,878539.171,16320
2021-03-01T00:00:00.0000000Z,2021-03-02T00:00:00.0000000Z,2021-03-01T00:00:06.0400000Z,2021-03-01T23:57:38.4910000Z,7.828,8.9,7.799,8.274,628506.76,13802
2021-03-02T00:00:00.0000000Z,2021-03-03T00:00:00.0000000Z,2021-03-02T00:02:24.4100000Z,2021-03-02T23:55:07.2700000Z,8.192,8.56,7.3,7.5,571508.419,12433
2021-03-03T00:00:00.0000000Z,2021-03-04T00:00:00.0000000Z,2021-03-03T00:02:06.9260000Z,2021-03-03T23:59:13.0960000Z,7.497,8.015,7.25,7.603,482070.387,11672
2021-03-04T00:00:00.0000000Z,2021-03-05T00:00:00.0000000Z,2021-03-04T00:00:26.5100000Z,2021-03-04T23:59:50.3350000Z,7.599,7.911,6.487,6.7,612927.303,11435
2021-03-05T00:00:00.0000000Z,2021-03-06T00:00:00.0000000Z,2021-03-05T00:00:01.4060000Z,2021-03-05T23:59:04.8290000Z,6.701,6.92,6.22,6.76,456095.84,9341
2021-03-06T00:00:00.0000000Z,2021-03-07T00:00:00.0000000Z,2021-03-06T00:00:22.9410000Z,2021-03-06T23:52:06.4480000Z,6.761,6.85,6.441,6.611,274348.111,5887
2021-03-07T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-07T00:00:57.9540000Z,2021-03-07T23:59:41.2270000Z,6.609,7.65,6.536,7.288,649260.56,13004
2021-03-08T00:00:00.0000000Z,2021-03-09T00:00:00.0000000Z,2021-03-08T00:03:27.3300000Z,2021-03-08T23:58:03.3530000Z,7.287,7.393,6.777,7.285,434868.752,10269
2021-03-09T00:00:00.0000000Z,2021-03-10T00:00:00.0000000Z,2021-03-09T00:01:52.2340000Z,2021-03-09T23:59:56.6610000Z,7.245,9.6,7.039,9.054,991582.774,21778
2021-03-10T00:00:00.0000000Z,2021-03-11T00:00:00.0000000Z,2021-03-10T00:01:14.1300000Z,2021-03-10T23:59:38.0210000Z,9.055,9.643,8.061,8.222,787033.569,17325
2021-03-11T00:00:00.0000000Z,2021-03-12T00:00:00.0000000Z,2021-03-11T00:00:05.1550000Z,2021-03-11T23:59:39.9970000Z,8.167,10.66,8.13,10.3,834596.927,15989
2021-03-12T00:00:00.0000000Z,2021-03-13T00:00:00.0000000Z,2021-03-12T00:00:56.7520000Z,2021-03-12T23:59:56.7010000Z,10.299,12.48,9.901,11.911,1202463.348,26817
2021-03-13T00:00:00.0000000Z,2021-03-14T00:00:00.0000000Z,2021-03-13T00:00:00.2320000Z,2021-03-13T23:59:45.1110000Z,11.911,15.77,11.911,13.502,1075175.951,36855
2021-03-14T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-14T00:00:27.9450000Z,2021-03-14T23:59:19.1620000Z,13.503,15.5,12.6,14.315,692000.78,21231
2021-03-15T00:00:00.0000000Z,2021-03-16T00:00:00.0000000Z,2021-03-15T00:00:16.9020000Z,2021-03-15T23:58:33.1870000Z,14.315,16.0,13.2,14.206,582684.013,20952
2021-03-16T00:00:00.0000000Z,2021-03-17T00:00:00.0000000Z,2021-03-16T00:03:12.1470000Z,2021-03-16T23:59:55.0740000Z,14.15,14.325,10.653,11.565,865722.903,22504
2021-03-17T00:00:00.0000000Z,2021-03-18T00:00:00.0000000Z,2021-03-17T00:00:07.4730000Z,2021-03-17T23:59:56.4800000Z,11.565,12.5,9.701,11.216,889827.118,20509
2021-03-18T00:00:00.0000000Z,2021-03-19T00:00:00.0000000Z,2021-03-18T00:00:00.6610000Z,2021-03-18T23:59:59.6930000Z,11.169,11.95,9.88,9.955,488554.797,12818
2021-03-19T00:00:00.0000000Z,2021-03-20T00:00:00.0000000Z,2021-03-19T00:00:01.8780000Z,2021-03-19T23:58:03.6310000Z,9.928,11.299,9.55,10.91,629543.819,17577
2021-03-20T00:00:00.0000000Z,2021-03-21T00:00:00.0000000Z,2021-03-20T00:00:36.6900000Z,2021-03-20T23:59:50.4310000Z,10.909,11.6,10.482,10.605,307528.487,11288
2021-03-21T00:00:00.0000000Z,2021-03-22T00:00:00.0000000Z,2021-03-21T00:00:59.5680000Z,2021-03-21T23:59:55.6070000Z,10.607,10.669,9.211,9.405,472261.306,12020
2021-03-22T00:00:00.0000000Z,2021-03-23T00:00:00.0000000Z,2021-03-22T00:00:06.0800000Z,2021-03-22T23:58:03.8460000Z,9.405,9.594,8.301,8.371,492206.73,14048
2021-03-23T00:00:00.0000000Z,2021-03-24T00:00:00.0000000Z,2021-03-23T00:00:06.6900000Z,2021-03-23T23:59:01.0700000Z,8.38,8.435,7.6,7.95,633551.077,13604
2021-03-24T00:00:00.0000000Z,2021-03-25T00:00:00.0000000Z,2021-03-24T00:01:03.8420000Z,2021-03-24T23:57:12.4680000Z,7.952,8.974,7.741,7.834,654259.019,14907
2021-03-25T00:00:00.0000000Z,2021-03-26T00:00:00.0000000Z,2021-03-25T00:00:29.6370000Z,2021-03-25T23:59:43.0120000Z,7.831,7.958,7.301,7.773,403548.722,7275
2021-03-26T00:00:00.0000000Z,2021-03-27T00:00:00.0000000Z,2021-03-26T00:00:26.1270000Z,2021-03-26T23:59:20.9220000Z,7.811,8.579,7.811,8.541,467564.228,10454
2021-03-27T00:00:00.0000000Z,2021-03-28T00:00:00.0000000Z,2021-03-27T00:01:47.7020000Z,2021-03-27T23:59:03.9120000Z,8.541,9.45,8.246,8.965,658735.457,17010
2021-03-28T00:00:00.0000000Z,2021-03-29T00:00:00.0000000Z,2021-03-28T00:00:14.3660000Z,2021-03-28T23:59:16.1620000Z,8.977,9.52,8.089,8.253,391645.073,11758
2021-03-29T00:00:00.0000000Z,2021-03-30T00:00:00.0000000Z,2021-03-29T00:00:13.6250000Z,2021-03-29T23:59:21.2910000Z,8.254,8.979,8.0,8.978,414075.806,13450
2021-03-30T00:00:00.0000000Z,2021-03-31T00:00:00.0000000Z,2021-03-30T00:00:05.9990000Z,2021-03-30T23:59:48.0140000Z,8.977,9.949,8.931,9.531,472888.445,16170
