time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-13T00:00:00.0000000Z,2021-09-14T00:00:00.0000000Z,2021-09-13T06:00:34.6670000Z,2021-09-13T23:59:58.5520000Z,0.06622,0.07805,0.04688,0.04721,5316859974.0,629731
2021-09-14T00:00:00.0000000Z,2021-09-15T00:00:00.0000000Z,2021-09-14T00:00:01.3220000Z,2021-09-14T23:59:59.8890000Z,0.04721,0.0537,0.04379,0.04389,1415181567.0,172429
2021-09-15T00:00:00.0000000Z,2021-09-16T00:00:00.0000000Z,2021-09-15T00:00:00.0010000Z,2021-09-15T23:59:59.5300000Z,0.04388,0.057,0.04299,0.05141,1051097809.0,138185
2021-09-16T00:00:00.0000000Z,2021-09-17T00:00:00.0000000Z,2021-09-16T00:00:00.6650000Z,2021-09-16T23:59:59.6850000Z,0.05141,0.14675,0.05114,0.10014,13525850970.0,2183802
2021-09-17T00:00:00.0000000Z,2021-09-18T00:00:00.0000000Z,2021-09-17T00:00:00.3530000Z,2021-09-17T23:59:59.7150000Z,0.10005,0.12455,0.08526,0.1167,5064486023.0,951887
2021-09-18T00:00:00.0000000Z,2021-09-19T00:00:00.0000000Z,2021-09-18T00:00:00.1680000Z,2021-09-18T23:59:59.8990000Z,0.11677,0.1385,0.10249,0.11561,5893019582.0,1306228
2021-09-19T00:00:00.0000000Z,2021-09-20T00:00:00.0000000Z,2021-09-19T00:00:00.2160000Z,2021-09-19T23:59:59.2140000Z,0.11561,0.13,0.1075,0.1101,2629792431.0,575478
2021-09-20T00:00:00.0000000Z,2021-09-21T00:00:00.0000000Z,2021-09-20T00:00:00.2370000Z,2021-09-20T23:59:59.7810000Z,0.11014,0.1119,0.085,0.0903,2658329767.0,472546
2021-09-21T00:00:00.0000000Z,2021-09-22T00:00:00.0000000Z,2021-09-21T00:00:00.0480000Z,2021-09-21T23:59:59.6650000Z,0.09031,0.115,0.0835,0.09919,3505954593.0,605945
2021-09-22T00:00:00.0000000Z,2021-09-23T00:00:00.0000000Z,2021-09-22T00:00:00.3700000Z,2021-09-22T23:59:59.0520000Z,0.09923,0.1114,0.0979,0.10786,2024688526.0,410550
2021-09-23T00:00:00.0000000Z,2021-09-24T00:00:00.0000000Z,2021-09-23T00:00:00.0860000Z,2021-09-23T23:59:59.9120000Z,0.10781,0.12226,0.10586,0.11261,1894363461.0,434532
2021-09-24T00:00:00.0000000Z,2021-09-25T00:00:00.0000000Z,2021-09-24T00:00:00.2820000Z,2021-09-24T23:59:58.1080000Z,0.11267,0.11497,0.092,0.0971,1758824260.0,376762
2021-09-25T00:00:00.0000000Z,2021-09-26T00:00:00.0000000Z,2021-09-25T00:00:02.5890000Z,2021-09-25T23:59:59.6830000Z,0.09714,0.10144,0.09036,0.09247,897045626.0,195333
2021-09-26T00:00:00.0000000Z,2021-09-27T00:00:00.0000000Z,2021-09-26T00:00:10.0470000Z,2021-09-26T23:59:59.4390000Z,0.09247,0.09768,0.08112,0.08788,1213867195.0,233504
2021-09-27T00:00:00.0000000Z,2021-09-28T00:00:00.0000000Z,2021-09-27T00:00:00.3000000Z,2021-09-27T23:59:58.4950000Z,0.08787,0.09565,0.084,0.08421,954059461.0,196699
2021-09-28T00:00:00.0000000Z,2021-09-29T00:00:00.0000000Z,2021-09-28T00:00:00.1510000Z,2021-09-28T23:59:59.4310000Z,0.08426,0.08759,0.0759,0.07673,685272619.0,127470
2021-09-29T00:00:00.0000000Z,2021-09-30T00:00:00.0000000Z,2021-09-29T00:00:02.1690000Z,2021-09-29T23:59:58.9990000Z,0.07673,0.09026,0.07632,0.08354,996890947.0,188064
2021-09-30T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T00:00:00.2970000Z,2021-09-30T23:59:59.3330000Z,0.08349,0.10146,0.082,0.10046,1771512229.0,392974
2021-10-01T00:00:00.0000000Z,2021-10-02T00:00:00.0000000Z,2021-10-01T00:00:00.0620000Z,2021-10-01T23:59:59.2400000Z,0.10042,0.10688,0.093,0.10047,1843889558.0,470750
2021-10-02T00:00:00.0000000Z,2021-10-03T00:00:00.0000000Z,2021-10-02T00:00:00.0180000Z,2021-10-02T23:59:56.0950000Z,0.10051,0.1097,0.09975,0.1014,1306754259.0,332348
2021-10-03T00:00:00.0000000Z,2021-10-04T00:00:00.0000000Z,2021-10-03T00:00:03.5060000Z,2021-10-03T23:59:59.9770000Z,0.10139,0.1236,0.096,0.11402,2426637171.0,607939
2021-10-04T00:00:00.0000000Z,2021-10-05T00:00:00.0000000Z,2021-10-04T00:00:00.0920000Z,2021-10-04T23:59:59.2290000Z,0.11401,0.1195,0.10661,0.11244,1522386939.0,389776
2021-10-05T00:00:00.0000000Z,2021-10-06T00:00:00.0000000Z,2021-10-05T00:00:01.8450000Z,2021-10-05T23:59:50.0740000Z,0.11244,0.1138,0.10171,0.10477,813685154.0,238458
2021-10-06T00:00:00.0000000Z,2021-10-07T00:00:00.0000000Z,2021-10-06T00:00:00.0310000Z,2021-10-06T23:59:59.9290000Z,0.10477,0.10699,0.09333,0.09906,908999336.0,248579
2021-10-07T00:00:00.0000000Z,2021-10-08T00:00:00.0000000Z,2021-10-07T00:00:00.0380000Z,2021-10-07T23:59:58.0910000Z,0.09911,0.10264,0.094,0.09635,694658669.0,207007
2021-10-08T00:00:00.0000000Z,2021-10-09T00:00:00.0000000Z,2021-10-08T00:00:03.8550000Z,2021-10-08T23:59:53.0470000Z,0.09634,0.105,0.09621,0.09948,730709619.0,232630
2021-10-09T00:00:00.0000000Z,2021-10-10T00:00:00.0000000Z,2021-10-09T00:00:04.7320000Z,2021-10-09T23:59:54.3700000Z,0.09958,0.107,0.09732,0.09929,630432377.0,196955
2021-10-10T00:00:00.0000000Z,2021-10-11T00:00:00.0000000Z,2021-10-10T00:00:00.6220000Z,2021-10-10T23:59:58.2370000Z,0.09929,0.09998,0.08998,0.09052,512405014.0,153316
