time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-08-30T00:00:00.0000000Z,2021-08-31T00:00:00.0000000Z,2021-08-30T06:05:19.1190000Z,2021-08-30T23:59:51.9190000Z,348.0,373.7,299.0,309.0,46822.078,56163
2021-08-31T00:00:00.0000000Z,2021-09-01T00:00:00.0000000Z,2021-08-31T00:00:07.5490000Z,2021-08-31T23:57:52.5620000Z,309.1,331.0,280.8,281.2,11844.718,12836
2021-09-01T00:00:00.0000000Z,2021-09-02T00:00:00.0000000Z,2021-09-01T00:00:11.9860000Z,2021-09-01T23:56:06.6510000Z,282.4,312.0,263.4,294.6,9074.951,13924
2021-09-02T00:00:00.0000000Z,2021-09-03T00:00:00.0000000Z,2021-09-02T00:02:22.0960000Z,2021-09-02T23:59:18.2750000Z,294.6,327.8,288.6,306.4,9055.075,10527
2021-09-03T00:00:00.0000000Z,2021-09-04T00:00:00.0000000Z,2021-09-03T00:05:11.2360000Z,2021-09-03T23:56:57.6820000Z,306.4,343.5,298.1,311.5,10692.857,11284
2021-09-04T00:00:00.0000000Z,2021-09-05T00:00:00.0000000Z,2021-09-04T00:01:56.0250000Z,2021-09-04T23:58:39.1480000Z,311.5,324.8,300.0,302.4,1295.127,2200
2021-09-05T00:00:00.0000000Z,2021-09-06T00:00:00.0000000Z,2021-09-05T00:02:42.8010000Z,2021-09-05T23:59:57.4290000Z,302.4,313.0,299.1,308.3,957.975,1318
2021-09-06T00:00:00.0000000Z,2021-09-07T00:00:00.0000000Z,2021-09-06T00:00:28.2950000Z,2021-09-06T23:58:42.4930000Z,308.5,314.6,300.0,314.6,851.946,1186
2021-09-07T00:00:00.0000000Z,2021-09-08T00:00:00.0000000Z,2021-09-07T00:01:17.7140000Z,2021-09-07T23:48:52.6910000Z,314.6,314.6,240.1,260.3,1873.917,2044
2021-09-08T00:00:00.0000000Z,2021-09-09T00:00:00.0000000Z,2021-09-08T00:00:50.7130000Z,2021-09-08T23:42:09.4720000Z,262.0,279.1,244.7,265.7,752.128,1014
2021-09-09T00:00:00.0000000Z,2021-09-10T00:00:00.0000000Z,2021-09-09T00:09:00.5030000Z,2021-09-09T23:07:41.4600000Z,266.1,310.2,264.2,294.5,1276.082,1776
2021-09-10T00:00:00.0000000Z,2021-09-11T00:00:00.0000000Z,2021-09-10T00:36:00.0450000Z,2021-09-10T23:43:33.9180000Z,294.5,295.4,273.0,273.3,740.441,838
2021-09-11T00:00:00.0000000Z,2021-09-12T00:00:00.0000000Z,2021-09-11T00:01:18.5820000Z,2021-09-11T23:53:54.3010000Z,276.0,290.1,273.5,283.0,462.363,811
